date,bets,staked,profit,cumulative_profit,drawdown,cash_reserved
2021-12-01,0,0.0,0.0,0.0,0.0,100.0
2021-12-02,0,0.0,0.0,0.0,0.0,100.0
2021-12-03,0,0.0,0.0,0.0,0.0,100.0
2021-12-04,0,0.0,0.0,0.0,0.0,100.0
2021-12-05,1,1.0,-1.0,-1.0,1.0,99.0
2021-12-06,0,0.0,0.0,-1.0,1.0,100.0
2021-12-07,0,0.0,0.0,-1.0,1.0,100.0
2021-12-08,0,0.0,0.0,-1.0,1.0,100.0
2021-12-09,0,0.0,0.0,-1.0,1.0,100.0
2021-12-10,1,4.36,4.19,3.19,0.0,95.64
2021-12-11,2,3.63,1.55,4.74,0.0,96.37
2021-12-12,1,4.07,4.19,8.93,0.0,95.93
2021-12-13,0,0.0,0.0,8.93,0.0,100.0
2021-12-14,0,0.0,0.0,8.93,0.0,100.0
2021-12-15,0,0.0,0.0,8.93,0.0,100.0
2021-12-16,0,0.0,0.0,8.93,0.0,100.0
2021-12-17,0,0.0,0.0,8.93,0.0,100.0
2021-12-18,0,0.0,0.0,8.93,0.0,100.0
2021-12-19,0,0.0,0.0,8.93,0.0,100.0
2021-12-20,0,0.0,0.0,8.93,0.0,100.0
2021-12-21,0,0.0,0.0,8.93,0.0,100.0
2021-12-22,0,0.0,0.0,8.93,0.0,100.0
2021-12-23,0,0.0,0.0,8.93,0.0,100.0
2021-12-24,0,0.0,0.0,8.93,0.0,100.0
2021-12-25,0,0.0,0.0,8.93,0.0,100.0
2021-12-26,0,0.0,0.0,8.93,0.0,100.0
2021-12-27,0,0.0,0.0,8.93,0.0,100.0
2021-12-28,0,0.0,0.0,8.93,0.0,100.0
2021-12-29,0,0.0,0.0,8.93,0.0,100.0
2021-12-30,0,0.0,0.0,8.93,0.0,100.0
2021-12-31,0,0.0,0.0,8.93,0.0,100.0
2022-01-01,0,0.0,0.0,8.93,0.0,100.0
2022-01-02,0,0.0,0.0,8.93,0.0,100.0
2022-01-03,0,0.0,0.0,8.93,0.0,100.0
2022-01-04,0,0.0,0.0,8.93,0.0,100.0
2022-01-05,0,0.0,0.0,8.93,0.0,100.0
2022-01-06,0,0.0,0.0,8.93,0.0,100.0
2022-01-07,0,0.0,0.0,8.93,0.0,100.0
2022-01-08,0,0.0,0.0,8.93,0.0,100.0
2022-01-09,0,0.0,0.0,8.93,0.0,100.0
2022-01-10,0,0.0,0.0,8.93,0.0,100.0
2022-01-11,0,0.0,0.0,8.93,0.0,100.0
2022-01-12,0,0.0,0.0,8.93,0.0,100.0
2022-01-13,0,0.0,0.0,8.93,0.0,100.0
2022-01-14,1,1.25,3.06,11.99,0.0,98.75
2022-01-15,0,0.0,0.0,11.99,0.0,100.0
2022-01-16,0,0.0,0.0,11.99,0.0,100.0
2022-01-17,0,0.0,0.0,11.99,0.0,100.0
2022-01-18,0,0.0,0.0,11.99,0.0,100.0
2022-01-19,0,0.0,0.0,11.99,0.0,100.0
2022-01-20,0,0.0,0.0,11.99,0.0,100.0
2022-01-21,0,0.0,0.0,11.99,0.0,100.0
2022-01-22,0,0.0,0.0,11.99,0.0,100.0
2022-01-23,0,0.0,0.0,11.99,0.0,100.0
2022-01-24,0,0.0,0.0,11.99,0.0,100.0
2022-01-25,0,0.0,0.0,11.99,0.0,100.0
2022-01-26,0,0.0,0.0,11.99,0.0,100.0
2022-01-27,0,0.0,0.0,11.99,0.0,100.0
2022-01-28,0,0.0,0.0,11.99,0.0,100.0
2022-01-29,0,0.0,0.0,11.99,0.0,100.0
2022-01-30,0,0.0,0.0,11.99,0.0,100.0
2022-01-31,0,0.0,0.0,11.99,0.0,100.0
2022-02-01,0,0.0,0.0,11.99,0.0,100.0
2022-02-02,0,0.0,0.0,11.99,0.0,100.0
2022-02-03,0,0.0,0.0,11.99,0.0,100.0
2022-02-04,0,0.0,0.0,11.99,0.0,100.0
2022-02-05,1,0.81,-0.81,11.18,0.81,99.19
2022-02-06,1,1.25,-1.25,9.93,2.06,98.75
2022-02-07,0,0.0,0.0,9.93,2.06,100.0
2022-02-08,0,0.0,0.0,9.93,2.06,100.0
2022-02-09,0,0.0,0.0,9.93,2.06,100.0
2022-02-10,0,0.0,0.0,9.93,2.06,100.0
2022-02-11,0,0.0,0.0,9.93,2.06,100.0
2022-02-12,2,6.46,7.9,17.83,0.0,93.54
2022-02-13,2,15.0,-7.44,10.39,7.44,85.0
2022-02-14,0,0.0,0.0,10.39,7.44,100.0
2022-02-15,0,0.0,0.0,10.39,7.44,100.0
2022-02-16,0,0.0,0.0,10.39,7.44,100.0
2022-02-17,0,0.0,0.0,10.39,7.44,100.0
2022-02-18,1,5.14,7.3,17.69,0.14,94.86
2022-02-19,2,3.46,3.71,21.4,0.0,96.54
2022-02-20,0,0.0,0.0,21.4,0.0,100.0
2022-02-21,0,0.0,0.0,21.4,0.0,100.0
2022-02-22,0,0.0,0.0,21.4,0.0,100.0
2022-02-23,0,0.0,0.0,21.4,0.0,100.0
2022-02-24,0,0.0,0.0,21.4,0.0,100.0
2022-02-25,1,0.52,-0.52,20.88,0.52,99.48
2022-02-26,3,9.48,8.46,29.34,0.0,90.52
2022-02-27,1,0.48,1.28,30.62,0.0,99.52
2022-02-28,0,0.0,0.0,30.62,0.0,100.0
2022-03-01,0,0.0,0.0,30.62,0.0,100.0
2022-03-02,0,0.0,0.0,30.62,0.0,100.0
2022-03-03,0,0.0,0.0,30.62,0.0,100.0
2022-03-04,0,0.0,0.0,30.62,0.0,100.0
2022-03-05,1,7.95,-7.95,22.67,7.95,92.05
2022-03-06,0,0.0,0.0,22.67,7.95,100.0
2022-03-07,0,0.0,0.0,22.67,7.95,100.0
2022-03-08,0,0.0,0.0,22.67,7.95,100.0
2022-03-09,0,0.0,0.0,22.67,7.95,100.0
2022-03-10,0,0.0,0.0,22.67,7.95,100.0
2022-03-11,0,0.0,0.0,22.67,7.95,100.0
2022-03-12,0,0.0,0.0,22.67,7.95,100.0
2022-03-13,2,4.91,-4.91,17.76,12.86,95.09
2022-03-14,0,0.0,0.0,17.76,12.86,100.0
2022-03-15,2,6.54,0.01,17.77,12.85,93.46
2022-03-16,0,0.0,0.0,17.77,12.85,100.0
2022-03-17,0,0.0,0.0,17.77,12.85,100.0
2022-03-18,0,0.0,0.0,17.77,12.85,100.0
2022-03-19,1,6.61,-6.61,11.16,19.46,93.39
2022-03-20,1,2.61,-2.61,8.55,22.07,97.39
2022-03-21,0,0.0,0.0,8.55,22.07,100.0
2022-03-22,0,0.0,0.0,8.55,22.07,100.0
2022-03-23,0,0.0,0.0,8.55,22.07,100.0
2022-03-24,0,0.0,0.0,8.55,22.07,100.0
2022-03-25,0,0.0,0.0,8.55,22.07,100.0
2022-03-26,2,10.35,1.25,9.8,20.82,89.65
2022-03-27,1,3.84,5.83,15.63,14.99,96.16
2022-03-28,1,2.72,3.47,19.1,11.52,97.28
2022-03-29,0,0.0,0.0,19.1,11.52,100.0
2022-03-30,0,0.0,0.0,19.1,11.52,100.0
2022-03-31,0,0.0,0.0,19.1,11.52,100.0
2022-04-01,0,0.0,0.0,19.1,11.52,100.0
2022-04-02,0,0.0,0.0,19.1,11.52,100.0
2022-04-03,0,0.0,0.0,19.1,11.52,100.0
2022-04-04,0,0.0,0.0,19.1,11.52,100.0
2022-04-05,0,0.0,0.0,19.1,11.52,100.0
2022-04-06,0,0.0,0.0,19.1,11.52,100.0
2022-04-07,0,0.0,0.0,19.1,11.52,100.0
2022-04-08,0,0.0,0.0,19.1,11.52,100.0
2022-04-09,2,9.69,8.47,27.57,3.05,90.31
2022-04-10,3,9.09,-1.65,25.92,4.7,90.91
2022-04-11,0,0.0,0.0,25.92,4.7,100.0
2022-04-12,0,0.0,0.0,25.92,4.7,100.0
2022-04-13,0,0.0,0.0,25.92,4.7,100.0
2022-04-14,0,0.0,0.0,25.92,4.7,100.0
2022-04-15,0,0.0,0.0,25.92,4.7,100.0
2022-04-16,0,0.0,0.0,25.92,4.7,100.0
2022-04-17,0,0.0,0.0,25.92,4.7,100.0
2022-04-18,0,0.0,0.0,25.92,4.7,100.0
2022-04-19,0,0.0,0.0,25.92,4.7,100.0
2022-04-20,0,0.0,0.0,25.92,4.7,100.0
2022-04-21,0,0.0,0.0,25.92,4.7,100.0
2022-04-22,0,0.0,0.0,25.92,4.7,100.0
2022-04-23,0,0.0,0.0,25.92,4.7,100.0
2022-04-24,0,0.0,0.0,25.92,4.7,100.0
2022-04-25,0,0.0,0.0,25.92,4.7,100.0
2022-04-26,0,0.0,0.0,25.92,4.7,100.0
2022-04-27,0,0.0,0.0,25.92,4.7,100.0
2022-04-28,0,0.0,0.0,25.92,4.7,100.0
2022-04-29,1,10.48,8.73,34.65,0.0,89.52
2022-04-30,2,15.0,16.49,51.14,0.0,85.0
2022-05-01,1,7.65,9.0,60.14,0.0,92.35
2022-05-02,0,0.0,0.0,60.14,0.0,100.0
2022-05-03,0,0.0,0.0,60.14,0.0,100.0
2022-05-04,0,0.0,0.0,60.14,0.0,100.0
2022-05-05,0,0.0,0.0,60.14,0.0,100.0
2022-05-06,0,0.0,0.0,60.14,0.0,100.0
2022-05-07,1,1.8,-1.8,58.34,1.8,98.2
2022-05-08,0,0.0,0.0,58.34,1.8,100.0
2022-05-09,0,0.0,0.0,58.34,1.8,100.0
2022-05-10,0,0.0,0.0,58.34,1.8,100.0
2022-05-11,0,0.0,0.0,58.34,1.8,100.0
2022-05-12,0,0.0,0.0,58.34,1.8,100.0
2022-05-13,0,0.0,0.0,58.34,1.8,100.0
2022-05-14,0,0.0,0.0,58.34,1.8,100.0
2022-05-15,0,0.0,0.0,58.34,1.8,100.0
2022-05-16,0,0.0,0.0,58.34,1.8,100.0
2022-05-17,0,0.0,0.0,58.34,1.8,100.0
2022-05-18,0,0.0,0.0,58.34,1.8,100.0
2022-05-19,0,0.0,0.0,58.34,1.8,100.0
2022-05-20,0,0.0,0.0,58.34,1.8,100.0
2022-05-21,3,14.99,-6.59,51.75,8.39,85.01
2022-05-22,0,0.0,0.0,51.75,8.39,100.0
2022-05-23,0,0.0,0.0,51.75,8.39,100.0
2022-05-24,0,0.0,0.0,51.75,8.39,100.0
2022-05-25,0,0.0,0.0,51.75,8.39,100.0
2022-05-26,0,0.0,0.0,51.75,8.39,100.0
2022-05-27,0,0.0,0.0,51.75,8.39,100.0
2022-05-28,0,0.0,0.0,51.75,8.39,100.0
2022-05-29,0,0.0,0.0,51.75,8.39,100.0
2022-05-30,0,0.0,0.0,51.75,8.39,100.0
2022-05-31,0,0.0,0.0,51.75,8.39,100.0
2022-10-01,0,0.0,0.0,51.75,8.39,100.0
2022-10-02,0,0.0,0.0,51.75,8.39,100.0
2022-10-03,0,0.0,0.0,51.75,8.39,100.0
2022-10-04,0,0.0,0.0,51.75,8.39,100.0
2022-10-05,0,0.0,0.0,51.75,8.39,100.0
2022-10-06,0,0.0,0.0,51.75,8.39,100.0
2022-10-07,0,0.0,0.0,51.75,8.39,100.0
2022-10-08,1,0.22,0.65,52.4,7.74,99.78
2022-10-09,0,0.0,0.0,52.4,7.74,100.0
2022-10-10,0,0.0,0.0,52.4,7.74,100.0
2022-10-11,0,0.0,0.0,52.4,7.74,100.0
