candidate_id,odds_source,window_start,window_end,bets,total_staked,profit,roi_pct,max_drawdown,active_bet_days,positive_months,negative_months,walk_forward_active_months,rule_contributions,active_rules,passes_window,fail_reasons
diagnostic-league-outcome-odds-bucket-i1-away-1p0-1p8,AVG_OPEN,2024-11,2025-10,5,50.0,13.5,27.0,10.0,5,1,1,2,"[{'rule_label': 'league|outcome|odds_bucket=I1|away|[1.0,1.8)', 'bets': 5, 'profit': 13.5, 'roi_pct': 27.0}]",1,False,"['bets<minimum', 'positive_month_edge<minimum']"
diagnostic-league-outcome-odds-bucket-i1-away-1p0-1p8,AVG_OPEN,2025-02,2026-01,5,50.0,13.5,27.0,10.0,5,1,1,2,"[{'rule_label': 'league|outcome|odds_bucket=I1|away|[1.0,1.8)', 'bets': 5, 'profit': 13.5, 'roi_pct': 27.0}]",1,False,"['bets<minimum', 'positive_month_edge<minimum']"
diagnostic-league-outcome-odds-bucket-i1-away-1p0-1p8,AVG_OPEN,2025-05,2026-04,24,240.0,23.0,9.58,39.7,21,3,2,5,"[{'rule_label': 'league|outcome|odds_bucket=I1|away|[1.0,1.8)', 'bets': 24, 'profit': 23.0, 'roi_pct': 9.58}]",1,False,['drawdown_to_profit>maximum']
diagnostic-league-outcome-odds-bucket-i1-away-1p0-1p8,MAX_OPEN,2022-08,2023-07,0,0.0,0.0,0.0,0.0,0,0,0,0,[],0,False,"['bets<minimum', 'profit<=0', 'roi<minimum', 'positive_month_edge<minimum', 'drawdown_to_profit>maximum']"
diagnostic-league-outcome-odds-bucket-i1-away-1p0-1p8,MAX_OPEN,2022-11,2023-10,0,0.0,0.0,0.0,0.0,0,0,0,0,[],0,False,"['bets<minimum', 'profit<=0', 'roi<minimum', 'positive_month_edge<minimum', 'drawdown_to_profit>maximum']"
diagnostic-league-outcome-odds-bucket-i1-away-1p0-1p8,MAX_OPEN,2023-02,2024-01,0,0.0,0.0,0.0,0.0,0,0,0,0,[],0,False,"['bets<minimum', 'profit<=0', 'roi<minimum', 'positive_month_edge<minimum', 'drawdown_to_profit>maximum']"
diagnostic-league-outcome-odds-bucket-i1-away-1p0-1p8,MAX_OPEN,2023-05,2024-04,0,0.0,0.0,0.0,0.0,0,0,0,0,[],0,False,"['bets<minimum', 'profit<=0', 'roi<minimum', 'positive_month_edge<minimum', 'drawdown_to_profit>maximum']"
diagnostic-league-outcome-odds-bucket-i1-away-1p0-1p8,MAX_OPEN,2023-08,2024-07,0,0.0,0.0,0.0,0.0,0,0,0,0,[],0,False,"['bets<minimum', 'profit<=0', 'roi<minimum', 'positive_month_edge<minimum', 'drawdown_to_profit>maximum']"
diagnostic-league-outcome-odds-bucket-i1-away-1p0-1p8,MAX_OPEN,2023-11,2024-10,0,0.0,0.0,0.0,0.0,0,0,0,0,[],0,False,"['bets<minimum', 'profit<=0', 'roi<minimum', 'positive_month_edge<minimum', 'drawdown_to_profit>maximum']"
diagnostic-league-outcome-odds-bucket-i1-away-1p0-1p8,MAX_OPEN,2024-02,2025-01,0,0.0,0.0,0.0,0.0,0,0,0,0,[],0,False,"['bets<minimum', 'profit<=0', 'roi<minimum', 'positive_month_edge<minimum', 'drawdown_to_profit>maximum']"
diagnostic-league-outcome-odds-bucket-i1-away-1p0-1p8,MAX_OPEN,2024-05,2025-04,0,0.0,0.0,0.0,0.0,0,0,0,0,[],0,False,"['bets<minimum', 'profit<=0', 'roi<minimum', 'positive_month_edge<minimum', 'drawdown_to_profit>maximum']"
diagnostic-league-outcome-odds-bucket-i1-away-1p0-1p8,MAX_OPEN,2024-08,2025-07,0,0.0,0.0,0.0,0.0,0,0,0,0,[],0,False,"['bets<minimum', 'profit<=0', 'roi<minimum', 'positive_month_edge<minimum', 'drawdown_to_profit>maximum']"
