date,bets,staked,settled_bets,settled_profit,equity,cooldown_active,skipped_reason
2018-08-17,0,0.0,0,0.0,65.1,False,
2018-08-18,0,0.0,0,0.0,65.1,False,
2018-08-19,1,10.0,0,0.0,65.1,False,
2018-08-20,0,0.0,1,-10.0,55.1,False,
2018-08-21,0,0.0,0,0.0,55.1,False,
2018-08-22,0,0.0,0,0.0,55.1,False,
2018-08-23,0,0.0,0,0.0,55.1,False,
2018-08-24,1,10.0,0,0.0,55.1,False,
2018-08-25,1,10.0,1,-10.0,45.1,False,
2018-08-26,0,0.0,1,-10.0,35.1,False,
2018-08-27,0,0.0,0,0.0,35.1,False,
2018-08-28,0,0.0,0,0.0,35.1,False,
2018-08-29,0,0.0,0,0.0,35.1,False,
2018-08-30,1,10.0,0,0.0,35.1,False,
2018-08-31,0,0.0,1,20.0,55.1,False,
2018-09-01,0,0.0,0,0.0,55.1,False,
2018-09-02,0,0.0,0,0.0,55.1,False,
2018-09-03,0,0.0,0,0.0,55.1,False,
2018-09-04,0,0.0,0,0.0,55.1,False,
2018-09-05,0,0.0,0,0.0,55.1,False,
2018-09-06,0,0.0,0,0.0,55.1,False,
2018-09-07,0,0.0,0,0.0,55.1,False,
2018-09-08,0,0.0,0,0.0,55.1,False,
2018-09-09,0,0.0,0,0.0,55.1,False,
2018-09-10,0,0.0,0,0.0,55.1,False,
2018-09-11,0,0.0,0,0.0,55.1,False,
2018-09-12,0,0.0,0,0.0,55.1,False,
2018-09-13,0,0.0,0,0.0,55.1,False,
2018-09-14,0,0.0,0,0.0,55.1,False,
2018-09-15,0,0.0,0,0.0,55.1,False,
2018-09-16,0,0.0,0,0.0,55.1,False,
2018-09-17,0,0.0,0,0.0,55.1,False,
2018-09-18,0,0.0,0,0.0,55.1,False,
2018-09-19,0,0.0,0,0.0,55.1,False,
2018-09-20,0,0.0,0,0.0,55.1,False,
2018-09-21,0,0.0,0,0.0,55.1,False,
2018-09-22,0,0.0,0,0.0,55.1,False,
2018-09-23,0,0.0,0,0.0,55.1,False,
2018-09-24,0,0.0,0,0.0,55.1,False,
2018-09-25,0,0.0,0,0.0,55.1,False,
2018-09-26,0,0.0,0,0.0,55.1,False,
2018-09-27,0,0.0,0,0.0,55.1,False,
2018-09-28,0,0.0,0,0.0,55.1,False,
2018-09-29,0,0.0,0,0.0,55.1,False,
2018-09-30,0,0.0,0,0.0,55.1,False,
2018-10-01,0,0.0,0,0.0,55.1,False,
2018-10-02,0,0.0,0,0.0,55.1,False,
2018-10-03,0,0.0,0,0.0,55.1,False,
2018-10-04,0,0.0,0,0.0,55.1,False,
2018-10-05,0,0.0,0,0.0,55.1,False,
2018-10-06,0,0.0,0,0.0,55.1,False,
2018-10-07,1,10.0,0,0.0,55.1,False,
2018-10-08,0,0.0,1,-10.0,45.1,False,
2018-10-09,0,0.0,0,0.0,45.1,False,
2018-10-10,0,0.0,0,0.0,45.1,False,
2018-10-11,0,0.0,0,0.0,45.1,False,
2018-10-12,0,0.0,0,0.0,45.1,False,
2018-10-13,0,0.0,0,0.0,45.1,False,
2018-10-14,0,0.0,0,0.0,45.1,False,
2018-10-15,0,0.0,0,0.0,45.1,False,
2018-10-16,0,0.0,0,0.0,45.1,False,
2018-10-17,0,0.0,0,0.0,45.1,False,
2018-10-18,0,0.0,0,0.0,45.1,False,
2018-10-19,0,0.0,0,0.0,45.1,False,
2018-10-20,0,0.0,0,0.0,45.1,False,
2018-10-21,1,10.0,0,0.0,45.1,False,
2018-10-22,0,0.0,1,35.7,80.8,False,
2018-10-23,0,0.0,0,0.0,80.8,False,
2018-10-24,0,0.0,0,0.0,80.8,False,
2018-10-25,0,0.0,0,0.0,80.8,False,
2018-10-26,0,0.0,0,0.0,80.8,False,
2018-10-27,0,0.0,0,0.0,80.8,False,
2018-10-28,1,10.0,0,0.0,80.8,False,
2018-10-29,0,0.0,1,37.5,118.3,False,
2018-10-30,0,0.0,0,0.0,118.3,False,
2018-10-31,0,0.0,0,0.0,118.3,False,
2018-11-01,0,0.0,0,0.0,118.3,False,
2018-11-02,0,0.0,0,0.0,118.3,False,
2018-11-03,0,0.0,0,0.0,118.3,False,
2018-11-04,1,10.0,0,0.0,118.3,False,
2018-11-05,1,10.0,1,14.9,133.2,False,
2018-11-06,0,0.0,1,-10.0,123.2,False,
2018-11-07,0,0.0,0,0.0,123.2,False,
2018-11-08,0,0.0,0,0.0,123.2,False,
2018-11-09,0,0.0,0,0.0,123.2,False,
2018-11-10,0,0.0,0,0.0,123.2,False,
2018-11-11,0,0.0,0,0.0,123.2,False,
2018-11-12,0,0.0,0,0.0,123.2,False,
2018-11-13,0,0.0,0,0.0,123.2,False,
2018-11-14,0,0.0,0,0.0,123.2,False,
2018-11-15,0,0.0,0,0.0,123.2,False,
2018-11-16,0,0.0,0,0.0,123.2,False,
2018-11-17,0,0.0,0,0.0,123.2,False,
2018-11-18,0,0.0,0,0.0,123.2,False,
2018-11-19,0,0.0,0,0.0,123.2,False,
2018-11-20,0,0.0,0,0.0,123.2,False,
2018-11-21,0,0.0,0,0.0,123.2,False,
2018-11-22,0,0.0,0,0.0,123.2,False,
2018-11-23,0,0.0,0,0.0,123.2,False,
2018-11-24,0,0.0,0,0.0,123.2,False,
2018-11-25,0,0.0,0,0.0,123.2,False,
2018-11-26,0,0.0,0,0.0,123.2,False,
2018-11-27,0,0.0,0,0.0,123.2,False,
2018-11-28,0,0.0,0,0.0,123.2,False,
2018-11-29,0,0.0,0,0.0,123.2,False,
2018-11-30,0,0.0,0,0.0,123.2,False,
2018-12-01,0,0.0,0,0.0,123.2,False,
2018-12-02,0,0.0,0,0.0,123.2,False,
2018-12-03,0,0.0,0,0.0,123.2,False,
2018-12-04,0,0.0,0,0.0,123.2,False,
2018-12-05,0,0.0,0,0.0,123.2,False,
2018-12-06,0,0.0,0,0.0,123.2,False,
2018-12-07,0,0.0,0,0.0,123.2,False,
2018-12-08,0,0.0,0,0.0,123.2,False,
2018-12-09,0,0.0,0,0.0,123.2,False,
2018-12-10,0,0.0,0,0.0,123.2,False,
2018-12-11,0,0.0,0,0.0,123.2,False,
2018-12-12,0,0.0,0,0.0,123.2,False,
2018-12-13,0,0.0,0,0.0,123.2,False,
2018-12-14,0,0.0,0,0.0,123.2,False,
2018-12-15,0,0.0,0,0.0,123.2,False,
2018-12-16,0,0.0,0,0.0,123.2,False,
2018-12-17,0,0.0,0,0.0,123.2,False,
2018-12-18,0,0.0,0,0.0,123.2,False,
2018-12-19,0,0.0,0,0.0,123.2,False,
2018-12-20,0,0.0,0,0.0,123.2,False,
2018-12-21,0,0.0,0,0.0,123.2,False,
2018-12-22,0,0.0,0,0.0,123.2,False,
2018-12-23,0,0.0,0,0.0,123.2,False,
2018-12-24,0,0.0,0,0.0,123.2,False,
2018-12-25,0,0.0,0,0.0,123.2,False,
2018-12-26,0,0.0,0,0.0,123.2,False,
2018-12-27,0,0.0,0,0.0,123.2,False,
2018-12-28,0,0.0,0,0.0,123.2,False,
2018-12-29,0,0.0,0,0.0,123.2,False,
2018-12-30,0,0.0,0,0.0,123.2,False,
2018-12-31,0,0.0,0,0.0,123.2,False,
2019-01-01,0,0.0,0,0.0,123.2,False,
2019-01-02,0,0.0,0,0.0,123.2,False,
2019-01-03,0,0.0,0,0.0,123.2,False,
2019-01-04,0,0.0,0,0.0,123.2,False,
2019-01-05,0,0.0,0,0.0,123.2,False,
2019-01-06,0,0.0,0,0.0,123.2,False,
2019-01-07,0,0.0,0,0.0,123.2,False,
2019-01-08,0,0.0,0,0.0,123.2,False,
2019-01-09,0,0.0,0,0.0,123.2,False,
2019-01-10,0,0.0,0,0.0,123.2,False,
2019-01-11,0,0.0,0,0.0,123.2,False,
2019-01-12,0,0.0,0,0.0,123.2,False,
2019-01-13,0,0.0,0,0.0,123.2,False,
2019-01-14,0,0.0,0,0.0,123.2,False,
2019-01-15,0,0.0,0,0.0,123.2,False,
2019-01-16,0,0.0,0,0.0,123.2,False,
2019-01-17,0,0.0,0,0.0,123.2,False,
2019-01-18,0,0.0,0,0.0,123.2,False,
2019-01-19,0,0.0,0,0.0,123.2,False,
2019-01-20,0,0.0,0,0.0,123.2,False,
2019-01-21,0,0.0,0,0.0,123.2,False,
2019-01-22,0,0.0,0,0.0,123.2,False,
2019-01-23,0,0.0,0,0.0,123.2,False,
2019-01-24,0,0.0,0,0.0,123.2,False,
2019-01-25,0,0.0,0,0.0,123.2,False,
2019-01-26,0,0.0,0,0.0,123.2,False,
2019-01-27,0,0.0,0,0.0,123.2,False,
2019-01-28,0,0.0,0,0.0,123.2,False,
2019-01-29,0,0.0,0,0.0,123.2,False,
2019-01-30,0,0.0,0,0.0,123.2,False,
2019-01-31,0,0.0,0,0.0,123.2,False,
2019-02-01,0,0.0,0,0.0,123.2,False,
2019-02-02,0,0.0,0,0.0,123.2,False,
2019-02-03,0,0.0,0,0.0,123.2,False,
2019-02-04,0,0.0,0,0.0,123.2,False,
2019-02-05,0,0.0,0,0.0,123.2,False,
2019-02-06,0,0.0,0,0.0,123.2,False,
2019-02-07,0,0.0,0,0.0,123.2,False,
2019-02-08,0,0.0,0,0.0,123.2,False,
2019-02-09,0,0.0,0,0.0,123.2,False,
2019-02-10,0,0.0,0,0.0,123.2,False,
2019-02-11,0,0.0,0,0.0,123.2,False,
2019-02-12,0,0.0,0,0.0,123.2,False,
2019-02-13,0,0.0,0,0.0,123.2,False,
2019-02-14,0,0.0,0,0.0,123.2,False,
2019-02-15,0,0.0,0,0.0,123.2,False,
2019-02-16,0,0.0,0,0.0,123.2,False,
2019-02-17,0,0.0,0,0.0,123.2,False,
2019-02-18,0,0.0,0,0.0,123.2,False,
2019-02-19,0,0.0,0,0.0,123.2,False,
2019-02-20,0,0.0,0,0.0,123.2,False,
2019-02-21,0,0.0,0,0.0,123.2,False,
2019-02-22,0,0.0,0,0.0,123.2,False,
2019-02-23,0,0.0,0,0.0,123.2,False,
2019-02-24,0,0.0,0,0.0,123.2,False,
2019-02-25,0,0.0,0,0.0,123.2,False,
2019-02-26,0,0.0,0,0.0,123.2,False,
2019-02-27,0,0.0,0,0.0,123.2,False,
2019-02-28,0,0.0,0,0.0,123.2,False,
2019-03-01,0,0.0,0,0.0,123.2,False,
2019-03-02,1,10.0,0,0.0,123.2,False,
2019-03-03,1,10.0,1,-10.0,113.2,False,
2019-03-04,1,10.0,1,-10.0,103.2,False,
2019-03-05,0,0.0,1,11.7,114.9,False,
2019-03-06,0,0.0,0,0.0,114.9,False,
2019-03-07,0,0.0,0,0.0,114.9,False,
2019-03-08,0,0.0,0,0.0,114.9,False,
2019-03-09,1,10.0,0,0.0,114.9,False,
2019-03-10,1,10.0,1,-10.0,104.9,False,
2019-03-11,0,0.0,1,-10.0,94.9,False,
2019-03-12,0,0.0,0,0.0,94.9,False,
2019-03-13,0,0.0,0,0.0,94.9,False,
2019-03-14,0,0.0,0,0.0,94.9,False,
2019-03-15,0,0.0,0,0.0,94.9,False,
2019-03-16,1,10.0,0,0.0,94.9,False,
2019-03-17,1,10.0,1,-10.0,84.9,False,
2019-03-18,1,10.0,1,16.2,101.1,False,
2019-03-19,0,0.0,1,-10.0,91.1,False,
2019-03-20,0,0.0,0,0.0,91.1,False,
2019-03-21,0,0.0,0,0.0,91.1,False,
2019-03-22,0,0.0,0,0.0,91.1,False,
2019-03-23,1,10.0,0,0.0,91.1,False,
2019-03-24,0,0.0,1,12.8,103.9,False,
2019-03-25,0,0.0,0,0.0,103.9,False,
2019-03-26,0,0.0,0,0.0,103.9,False,
2019-03-27,0,0.0,0,0.0,103.9,False,
2019-03-28,0,0.0,0,0.0,103.9,False,
2019-03-29,0,0.0,0,0.0,103.9,False,
2019-03-30,1,10.0,0,0.0,103.9,False,
2019-03-31,1,10.0,1,-10.0,93.9,False,
2019-04-01,1,10.0,1,-10.0,83.9,False,
2019-04-02,0,0.0,1,7.2,91.1,False,
2019-04-03,0,0.0,0,0.0,91.1,False,
2019-04-04,0,0.0,0,0.0,91.1,False,
2019-04-05,0,0.0,0,0.0,91.1,False,
2019-04-06,1,10.0,0,0.0,91.1,False,
2019-04-07,1,10.0,1,-10.0,81.1,False,
2019-04-08,0,0.0,1,23.2,104.3,False,
2019-04-09,0,0.0,0,0.0,104.3,False,
2019-04-10,1,10.0,0,0.0,104.3,False,
2019-04-11,0,0.0,1,-10.0,94.3,False,
2019-04-12,0,0.0,0,0.0,94.3,False,
2019-04-13,1,10.0,0,0.0,94.3,False,
2019-04-14,1,10.0,1,13.2,107.5,False,
2019-04-15,1,10.0,1,-10.0,97.5,False,
2019-04-16,0,0.0,1,-10.0,87.5,False,
2019-04-17,0,0.0,0,0.0,87.5,False,
2019-04-18,1,10.0,0,0.0,87.5,False,
2019-04-19,0,0.0,1,26.3,113.8,False,
2019-04-20,1,10.0,0,0.0,113.8,False,
2019-04-21,1,10.0,1,-10.0,103.8,False,
2019-04-22,1,10.0,1,28.4,132.2,False,
2019-04-23,0,0.0,1,6.9,139.1,False,
2019-04-24,0,0.0,0,0.0,139.1,False,
2019-04-25,1,10.0,0,0.0,139.1,False,
2019-04-26,0,0.0,1,-10.0,129.1,False,
2019-04-27,1,10.0,0,0.0,129.1,False,
2019-04-28,1,10.0,1,-10.0,119.1,False,
2019-04-29,1,10.0,1,-10.0,109.1,False,
2019-04-30,0,0.0,1,5.4,114.5,False,
2019-05-01,0,0.0,0,0.0,114.5,False,
2019-05-02,0,0.0,0,0.0,114.5,False,
2019-05-03,0,0.0,0,0.0,114.5,False,
2019-05-04,1,10.0,0,0.0,114.5,False,
2019-05-05,1,10.0,1,-10.0,104.5,False,
2019-05-06,1,10.0,1,14.9,119.4,False,
2019-05-07,0,0.0,1,-10.0,109.4,False,
2019-05-08,0,0.0,0,0.0,109.4,False,
2019-05-09,0,0.0,0,0.0,109.4,False,
2019-05-10,0,0.0,0,0.0,109.4,False,
2019-05-11,1,10.0,0,0.0,109.4,False,
2019-05-12,1,10.0,1,15.7,125.1,False,
2019-05-13,1,10.0,1,-10.0,115.1,False,
2019-05-14,0,0.0,1,11.1,126.2,False,
2019-05-15,0,0.0,0,0.0,126.2,False,
2019-05-16,1,10.0,0,0.0,126.2,False,
2019-05-17,0,0.0,1,-10.0,116.2,False,
2019-05-18,1,10.0,0,0.0,116.2,False,
2019-05-19,1,10.0,1,12.0,128.2,False,
2019-05-20,1,10.0,1,17.7,145.9,False,
2019-05-21,0,0.0,1,-10.0,135.9,False,
2019-05-22,0,0.0,0,0.0,135.9,False,
2019-05-23,0,0.0,0,0.0,135.9,False,
2019-05-24,0,0.0,0,0.0,135.9,False,
2019-05-25,1,10.0,0,0.0,135.9,False,
2019-05-26,1,10.0,1,15.7,151.6,False,
2019-05-27,0,0.0,1,-10.0,141.6,False,
2019-05-28,0,0.0,0,0.0,141.6,False,
2019-05-29,0,0.0,0,0.0,141.6,False,
2019-05-30,1,10.0,0,0.0,141.6,False,
2019-05-31,0,0.0,1,-10.0,131.6,False,
2019-06-01,1,10.0,0,0.0,131.6,False,
2019-06-02,1,10.0,1,-10.0,121.6,False,
2019-06-03,0,0.0,1,-10.0,111.6,False,
2019-06-04,0,0.0,0,0.0,111.6,False,
2019-06-05,0,0.0,0,0.0,111.6,False,
2019-06-06,0,0.0,0,0.0,111.6,False,
2019-06-07,0,0.0,0,0.0,111.6,False,
2019-06-08,0,0.0,0,0.0,111.6,False,
2019-06-09,0,0.0,0,0.0,111.6,False,
2019-06-10,0,0.0,0,0.0,111.6,False,
2019-06-11,0,0.0,0,0.0,111.6,False,
2019-06-12,0,0.0,0,0.0,111.6,False,
2019-06-13,0,0.0,0,0.0,111.6,False,
2019-06-14,0,0.0,0,0.0,111.6,False,
2019-06-15,0,0.0,0,0.0,111.6,False,
2019-06-16,0,0.0,0,0.0,111.6,False,
2019-06-17,0,0.0,0,0.0,111.6,False,
2019-06-18,0,0.0,0,0.0,111.6,False,
2019-06-19,0,0.0,0,0.0,111.6,False,
2019-06-20,0,0.0,0,0.0,111.6,False,
2019-06-21,0,0.0,0,0.0,111.6,False,
2019-06-22,0,0.0,0,0.0,111.6,False,
2019-06-23,1,10.0,0,0.0,111.6,False,
2019-06-24,0,0.0,1,-10.0,101.6,False,
2019-06-25,0,0.0,0,0.0,101.6,False,
2019-06-26,0,0.0,0,0.0,101.6,False,
2019-06-27,1,10.0,0,0.0,101.6,False,
2019-06-28,0,0.0,1,14.7,116.3,False,
2019-06-29,1,10.0,0,0.0,116.3,False,
2019-06-30,0,0.0,1,37.0,153.3,False,
2019-07-01,0,0.0,0,0.0,153.3,False,
2019-07-02,0,0.0,0,0.0,153.3,False,
2019-07-03,0,0.0,0,0.0,153.3,False,
2019-07-04,1,10.0,0,0.0,153.3,False,
2019-07-05,1,10.0,1,-10.0,143.3,False,
2019-07-06,0,0.0,1,-10.0,133.3,False,
2019-07-07,1,10.0,0,0.0,133.3,False,
2019-07-08,0,0.0,1,23.5,156.8,False,
2019-07-09,0,0.0,0,0.0,156.8,False,
2019-07-10,0,0.0,0,0.0,156.8,False,
2019-07-11,0,0.0,0,0.0,156.8,False,
2019-07-12,0,0.0,0,0.0,156.8,False,
2019-07-13,1,10.0,0,0.0,156.8,False,
2019-07-14,1,10.0,1,-10.0,146.8,False,
2019-07-15,0,0.0,1,-10.0,136.8,False,
2019-07-16,0,0.0,0,0.0,136.8,False,
2019-07-17,0,0.0,0,0.0,136.8,False,
2019-07-18,0,0.0,0,0.0,136.8,False,
2019-07-19,1,10.0,0,0.0,136.8,False,
2019-07-20,1,10.0,1,-10.0,126.8,False,
2019-07-21,1,10.0,1,42.3,169.1,False,
2019-07-22,1,10.0,1,-10.0,159.1,False,
2019-07-23,0,0.0,1,-10.0,149.1,False,
2019-07-24,0,0.0,0,0.0,149.1,False,
2019-07-25,0,0.0,0,0.0,149.1,False,
2019-07-26,0,0.0,0,0.0,149.1,False,
2019-07-27,0,0.0,0,0.0,149.1,False,
2019-07-28,1,10.0,0,0.0,149.1,False,
2019-07-29,0,0.0,1,13.5,162.6,False,
2019-07-30,0,0.0,0,0.0,162.6,False,
2019-07-31,0,0.0,0,0.0,162.6,False,
2019-08-01,0,0.0,0,0.0,162.6,False,
2019-08-02,0,0.0,0,0.0,162.6,False,
2019-08-03,0,0.0,0,0.0,162.6,False,
2019-08-04,1,10.0,0,0.0,162.6,False,
2019-08-05,1,10.0,1,-10.0,152.6,False,
2019-08-06,0,0.0,1,-10.0,142.6,False,
2019-08-07,0,0.0,0,0.0,142.6,False,
2019-08-08,0,0.0,0,0.0,142.6,False,
2019-08-09,0,0.0,0,0.0,142.6,False,
2019-08-10,0,0.0,0,0.0,142.6,False,
2019-08-11,1,10.0,0,0.0,142.6,False,
2019-08-12,1,10.0,1,15.7,158.3,False,
2019-08-13,0,0.0,1,20.3,178.6,False,
2019-08-14,0,0.0,0,0.0,178.6,False,
2019-08-15,1,10.0,0,0.0,178.6,False,
2019-08-16,0,0.0,1,16.7,195.3,False,
2019-08-17,0,0.0,0,0.0,195.3,False,
2019-08-18,1,10.0,0,0.0,195.3,False,
2019-08-19,0,0.0,1,-10.0,185.3,False,
2019-08-20,0,0.0,0,0.0,185.3,False,
2019-08-21,0,0.0,0,0.0,185.3,False,
2019-08-22,1,10.0,0,0.0,185.3,False,
2019-08-23,0,0.0,1,-10.0,175.3,False,
2019-08-24,1,10.0,0,0.0,175.3,False,
2019-08-25,1,10.0,1,-10.0,165.3,False,
2019-08-26,0,0.0,1,-10.0,155.3,False,
2019-08-27,0,0.0,0,0.0,155.3,False,
2019-08-28,0,0.0,0,0.0,155.3,False,
2019-08-29,0,0.0,0,0.0,155.3,False,
2019-08-30,0,0.0,0,0.0,155.3,False,
2019-08-31,0,0.0,0,0.0,155.3,False,
2019-09-01,1,10.0,0,0.0,155.3,False,
2019-09-02,0,0.0,1,-10.0,145.3,False,
2019-09-03,0,0.0,0,0.0,145.3,False,
2019-09-04,0,0.0,0,0.0,145.3,False,
2019-09-05,0,0.0,0,0.0,145.3,False,
2019-09-06,0,0.0,0,0.0,145.3,False,
2019-09-07,0,0.0,0,0.0,145.3,False,
2019-09-08,1,10.0,0,0.0,145.3,False,
2019-09-09,0,0.0,1,-10.0,135.3,False,
2019-09-10,0,0.0,0,0.0,135.3,False,
2019-09-11,0,0.0,0,0.0,135.3,False,
2019-09-12,1,10.0,0,0.0,135.3,False,
2019-09-13,0,0.0,1,17.4,152.7,False,
2019-09-14,0,0.0,0,0.0,152.7,False,
2019-09-15,1,10.0,0,0.0,152.7,False,
2019-09-16,1,10.0,1,-10.0,142.7,False,
2019-09-17,0,0.0,1,10.6,153.3,False,
2019-09-18,0,0.0,0,0.0,153.3,False,
2019-09-19,1,10.0,0,0.0,153.3,False,
2019-09-20,0,0.0,1,-10.0,143.3,False,
2019-09-21,1,10.0,0,0.0,143.3,False,
2019-09-22,1,10.0,1,-10.0,133.3,False,
2019-09-23,1,10.0,1,-10.0,123.3,False,
2019-09-24,0,0.0,1,14.1,137.4,False,
2019-09-25,0,0.0,0,0.0,137.4,False,
2019-09-26,1,10.0,0,0.0,137.4,False,
2019-09-27,0,0.0,1,2.4,139.8,False,
2019-09-28,0,0.0,0,0.0,139.8,False,
2019-09-29,1,10.0,0,0.0,139.8,False,
2019-09-30,1,10.0,1,-10.0,129.8,False,
2019-10-01,0,0.0,1,-10.0,119.8,False,
2019-10-02,0,0.0,0,0.0,119.8,False,
2019-10-03,0,0.0,0,0.0,119.8,False,
2019-10-04,0,0.0,0,0.0,119.8,False,
2019-10-05,0,0.0,0,0.0,119.8,False,
2019-10-06,1,10.0,0,0.0,119.8,False,
2019-10-07,0,0.0,1,-10.0,109.8,False,
2019-10-08,0,0.0,0,0.0,109.8,False,
2019-10-09,0,0.0,0,0.0,109.8,False,
2019-10-10,0,0.0,0,0.0,109.8,False,
2019-10-11,0,0.0,0,0.0,109.8,False,
2019-10-12,0,0.0,0,0.0,109.8,False,
2019-10-13,0,0.0,0,0.0,109.8,False,
2019-10-14,0,0.0,0,0.0,109.8,False,
2019-10-15,0,0.0,0,0.0,109.8,False,
2019-10-16,0,0.0,0,0.0,109.8,False,
2019-10-17,0,0.0,0,0.0,109.8,False,
2019-10-18,0,0.0,0,0.0,109.8,False,
2019-10-19,0,0.0,0,0.0,109.8,False,
2019-10-20,1,10.0,0,0.0,109.8,False,
2019-10-21,0,0.0,1,13.5,123.3,False,
2019-10-22,0,0.0,0,0.0,123.3,False,
2019-10-23,0,0.0,0,0.0,123.3,False,
2019-10-24,0,0.0,0,0.0,123.3,False,
2019-10-25,0,0.0,0,0.0,123.3,False,
2019-10-26,0,0.0,0,0.0,123.3,False,
2019-10-27,0,0.0,0,0.0,123.3,False,
2019-10-28,0,0.0,0,0.0,123.3,False,
2019-10-29,0,0.0,0,0.0,123.3,False,
2019-10-30,0,0.0,0,0.0,123.3,False,
2019-10-31,0,0.0,0,0.0,123.3,False,
2019-11-01,0,0.0,0,0.0,123.3,False,
2019-11-02,0,0.0,0,0.0,123.3,False,
2019-11-03,0,0.0,0,0.0,123.3,False,
2019-11-04,0,0.0,0,0.0,123.3,False,
2019-11-05,0,0.0,0,0.0,123.3,False,
2019-11-06,0,0.0,0,0.0,123.3,False,
2019-11-07,0,0.0,0,0.0,123.3,False,
2019-11-08,0,0.0,0,0.0,123.3,False,
2019-11-09,0,0.0,0,0.0,123.3,False,
2019-11-10,0,0.0,0,0.0,123.3,False,
2019-11-11,0,0.0,0,0.0,123.3,False,
2019-11-12,0,0.0,0,0.0,123.3,False,
2019-11-13,0,0.0,0,0.0,123.3,False,
2019-11-14,0,0.0,0,0.0,123.3,False,
2019-11-15,0,0.0,0,0.0,123.3,False,
2019-11-16,0,0.0,0,0.0,123.3,False,
2019-11-17,0,0.0,0,0.0,123.3,False,
2019-11-18,0,0.0,0,0.0,123.3,False,
2019-11-19,0,0.0,0,0.0,123.3,False,
2019-11-20,0,0.0,0,0.0,123.3,False,
2019-11-21,0,0.0,0,0.0,123.3,False,
2019-11-22,0,0.0,0,0.0,123.3,False,
2019-11-23,0,0.0,0,0.0,123.3,False,
2019-11-24,0,0.0,0,0.0,123.3,False,
2019-11-25,0,0.0,0,0.0,123.3,False,
2019-11-26,0,0.0,0,0.0,123.3,False,
2019-11-27,0,0.0,0,0.0,123.3,False,
2019-11-28,0,0.0,0,0.0,123.3,False,
2019-11-29,0,0.0,0,0.0,123.3,False,
2019-11-30,0,0.0,0,0.0,123.3,False,
2019-12-01,0,0.0,0,0.0,123.3,False,
2019-12-02,0,0.0,0,0.0,123.3,False,
2019-12-03,0,0.0,0,0.0,123.3,False,
2019-12-04,0,0.0,0,0.0,123.3,False,
2019-12-05,0,0.0,0,0.0,123.3,False,
2019-12-06,0,0.0,0,0.0,123.3,False,
2019-12-07,0,0.0,0,0.0,123.3,False,
2019-12-08,0,0.0,0,0.0,123.3,False,
2019-12-09,0,0.0,0,0.0,123.3,False,
2019-12-10,0,0.0,0,0.0,123.3,False,
2019-12-11,0,0.0,0,0.0,123.3,False,
2019-12-12,0,0.0,0,0.0,123.3,False,
2019-12-13,0,0.0,0,0.0,123.3,False,
2019-12-14,0,0.0,0,0.0,123.3,False,
2019-12-15,0,0.0,0,0.0,123.3,False,
2019-12-16,0,0.0,0,0.0,123.3,False,
2019-12-17,0,0.0,0,0.0,123.3,False,
2019-12-18,0,0.0,0,0.0,123.3,False,
2019-12-19,0,0.0,0,0.0,123.3,False,
2019-12-20,0,0.0,0,0.0,123.3,False,
2019-12-21,0,0.0,0,0.0,123.3,False,
2019-12-22,0,0.0,0,0.0,123.3,False,
2019-12-23,0,0.0,0,0.0,123.3,False,
2019-12-24,0,0.0,0,0.0,123.3,False,
2019-12-25,0,0.0,0,0.0,123.3,False,
2019-12-26,0,0.0,0,0.0,123.3,False,
2019-12-27,0,0.0,0,0.0,123.3,False,
2019-12-28,0,0.0,0,0.0,123.3,False,
2019-12-29,0,0.0,0,0.0,123.3,False,
2019-12-30,0,0.0,0,0.0,123.3,False,
2019-12-31,0,0.0,0,0.0,123.3,False,
2020-01-01,0,0.0,0,0.0,123.3,False,
2020-01-02,0,0.0,0,0.0,123.3,False,
2020-01-03,0,0.0,0,0.0,123.3,False,
2020-01-04,0,0.0,0,0.0,123.3,False,
2020-01-05,0,0.0,0,0.0,123.3,False,
2020-01-06,0,0.0,0,0.0,123.3,False,
2020-01-07,0,0.0,0,0.0,123.3,False,
2020-01-08,0,0.0,0,0.0,123.3,False,
2020-01-09,0,0.0,0,0.0,123.3,False,
2020-01-10,0,0.0,0,0.0,123.3,False,
2020-01-11,0,0.0,0,0.0,123.3,False,
2020-01-12,0,0.0,0,0.0,123.3,False,
2020-01-13,0,0.0,0,0.0,123.3,False,
2020-01-14,0,0.0,0,0.0,123.3,False,
2020-01-15,0,0.0,0,0.0,123.3,False,
2020-01-16,0,0.0,0,0.0,123.3,False,
2020-01-17,0,0.0,0,0.0,123.3,False,
2020-01-18,0,0.0,0,0.0,123.3,False,
2020-01-19,0,0.0,0,0.0,123.3,False,
2020-01-20,0,0.0,0,0.0,123.3,False,
2020-01-21,0,0.0,0,0.0,123.3,False,
2020-01-22,0,0.0,0,0.0,123.3,False,
2020-01-23,0,0.0,0,0.0,123.3,False,
2020-01-24,0,0.0,0,0.0,123.3,False,
2020-01-25,0,0.0,0,0.0,123.3,False,
2020-01-26,0,0.0,0,0.0,123.3,False,
2020-01-27,0,0.0,0,0.0,123.3,False,
2020-01-28,0,0.0,0,0.0,123.3,False,
2020-01-29,0,0.0,0,0.0,123.3,False,
2020-01-30,0,0.0,0,0.0,123.3,False,
2020-01-31,0,0.0,0,0.0,123.3,False,
2020-02-01,0,0.0,0,0.0,123.3,False,
2020-02-02,0,0.0,0,0.0,123.3,False,
