month,train_window,status,training_candidates,bets,active_days,staked,profit,roi_pct,available_capacity,test_candidates,alpha,safety_margin,maximum_odds,validation_rmse_pct,average_closing_edge_pct,positive_clv_rate,outcome_counts
2024-08,2024-02-01..2024-07-31,ABSTAIN_INNER_VALIDATION,4,0,0,0.0,0.0,0.0,3100.0,,,,,,,,
2024-09,2024-03-01..2024-08-31,ABSTAIN_INNER_VALIDATION,337,0,0,0.0,0.0,0.0,3000.0,,,,,,,,
2024-10,2024-04-01..2024-09-30,ABSTAIN_INNER_VALIDATION,759,0,0,0.0,0.0,0.0,3100.0,,,,,,,,
2024-11,2024-05-01..2024-10-31,FROZEN_MODEL_EVALUATED,1162,4,3,0.79,0.9,113.92,3000.0,394.0,100.0,0.0,5.0,8.32,-0.1508,0.5,"{'draw': 3, 'home': 1}"
2024-12,2024-06-01..2024-11-30,FROZEN_MODEL_EVALUATED,1556,4,3,1.22,3.52,288.52,3100.0,451.0,100.0,0.0,5.0,7.8116,28.6294,1.0,"{'draw': 2, 'away': 1, 'home': 1}"
2025-01,2024-07-01..2024-12-31,FROZEN_MODEL_EVALUATED,2007,11,9,1.56,0.22,14.1,3100.0,432.0,100.0,0.0,5.0,8.0959,2.5721,0.8182,"{'home': 1, 'draw': 8, 'away': 2}"
2025-02,2024-08-01..2025-01-31,FROZEN_MODEL_EVALUATED,2435,17,11,2.59,1.13,43.63,2800.0,463.0,100.0,0.0,5.0,8.0696,4.0183,0.8824,"{'away': 1, 'draw': 14, 'home': 2}"
2025-03,2024-09-01..2025-02-28,FROZEN_MODEL_EVALUATED,2565,11,8,1.32,-0.44,-33.33,3100.0,438.0,100.0,0.0,5.0,7.5948,5.7127,0.9091,"{'draw': 9, 'away': 2}"
2025-04,2024-10-01..2025-03-31,FROZEN_MODEL_EVALUATED,2581,11,7,1.58,-0.69,-43.67,3000.0,443.0,100.0,0.0,5.0,7.4022,1.4236,0.5455,{'draw': 11}
2025-05,2024-11-01..2025-04-30,FROZEN_MODEL_EVALUATED,2621,20,9,4.02,2.01,50.0,3100.0,314.0,100.0,0.0,5.0,7.2833,1.1617,0.45,"{'away': 7, 'draw': 10, 'home': 3}"
2025-08,2025-02-01..2025-07-31,ABSTAIN_INNER_VALIDATION,1666,0,0,0.0,0.0,0.0,3100.0,,,,,,,,
2025-09,2025-03-01..2025-08-31,ABSTAIN_INNER_VALIDATION,1617,0,0,0.0,0.0,0.0,3000.0,,,,,,,,
2025-10,2025-04-01..2025-09-30,FROZEN_MODEL_EVALUATED,1593,16,11,2.88,-1.1,-38.19,3100.0,416.0,10.0,0.0,5.0,8.7333,1.7511,0.5,"{'away': 10, 'draw': 2, 'home': 4}"
2025-11,2025-05-01..2025-10-31,FROZEN_MODEL_EVALUATED,1566,15,9,3.64,2.33,64.01,3000.0,441.0,10.0,0.0,5.0,8.3719,11.258,0.8667,"{'away': 13, 'home': 2}"
2025-12,2025-06-01..2025-11-30,FROZEN_MODEL_EVALUATED,1693,11,8,1.61,-0.7,-43.48,3100.0,404.0,100.0,0.0,5.0,8.0778,12.6234,0.9091,"{'away': 9, 'home': 2}"
2026-01,2025-07-01..2025-12-31,FROZEN_MODEL_EVALUATED,2093,4,4,0.57,-0.06,-10.53,3100.0,431.0,10.0,0.25,5.0,8.2897,7.0366,0.75,{'away': 4}
2026-02,2025-08-01..2026-01-31,FROZEN_MODEL_EVALUATED,2520,0,0,0.0,0.0,0.0,2800.0,391.0,1.0,0.25,5.0,8.5989,,,{}
2026-03,2025-09-01..2026-02-28,FROZEN_MODEL_EVALUATED,2497,8,6,1.21,0.16,13.22,3100.0,350.0,1.0,0.0,5.0,8.2772,3.8273,0.75,"{'away': 7, 'home': 1}"
2026-04,2025-10-01..2026-03-31,ABSTAIN_INNER_VALIDATION,2433,0,0,0.0,0.0,0.0,3000.0,,,,,,,,
