test_month,candidate_id,match_key,source_file,source_row,date,league,home_team,away_team,outcome,probability,conservative_probability,odds,raw_odds,conservative_ev_pct,reference_dispersion,reference_bookmakers,execution_cost_rate,execution_bookmaker,odds_band,source_type,implied_probability,price_ratio,probability_uncertainty,relative_dispersion,log_odds,probability_squared,odds_probability_interaction,reference_depth_inverse,raw_net_odds_gap_pct,outcome_odds_band,outcome_source_type,source_odds_band,consensus_home_probability,consensus_draw_probability,consensus_away_probability,consensus_entropy,consensus_favorite_probability,selected_vs_favorite_probability,home_away_probability_gap,consensus_max_dispersion,execution_quote_advantage_pct,execution_book_overround,execution_selected_probability_gap,execution_nonselected_mean_absolute_gap,execution_selection_specificity,consensus_favorite_outcome,direct_predicted_clv_pct,direct_lower_clv_pct,predicted_positive_clv_probability,direct_staking_probability,direct_unshrunk_market_staking_probability,direct_market_staking_probability,direct_market_calibration_weight,direct_market_logistic_staking_probability,direct_validated_market_residual_staking_probability,outcome_probability_weight,staking_probability_profile,decision_frozen_before_closing_and_result,movement_predicted_clv_pct,movement_lower_clv_pct,movement_staking_probability,movement_market_staking_probability,movement_market_logistic_staking_probability,movement_validated_market_residual_staking_probability,movement_unshrunk_market_staking_probability,movement_market_calibration_weight,predicted_closing_edge_pct,model_disagreement_pct,lower_closing_edge_pct,staking_probability,minimum_lower_clv_staking_probability,stake_multiplier,stake,stake_policy,actual_outcome,closing_edge_pct,positive_clv,closing_probability,closing_fair_odds,won,profit
2021-11,data\historical_csv\football-data\2122\B1.csv:119:home,data\historical_csv\football-data\2122\B1.csv:119,data\historical_csv\football-data\2122\B1.csv,119,2021-11-05,B1,Oud-Heverlee Leuven,Oostende,home,0.4970961823934177,0.4903947771720581,2.225,2.25,9.112837920782924,0.0047014052213596,5,0.0,WH,2.0-3.0,sportsbook,0.449438202247191,1.1060390058253544,0.0067014052213595,0.0094577375322483,0.7997569156182036,0.2471046145501099,0.3975561095965437,0.2,1.1235955056179805,home:2.0-3.0,home:sportsbook,sportsbook:2.0-3.0,0.4970961823934177,0.2413938324511595,0.2615099851554228,1.041314249009638,0.4970961823934177,0.0,0.2355861972379949,0.00571011564113,15.97938144329898,0.0793650793650793,0.0853314765110647,0.0426657382555323,0.0426657382555323,home,9.245260739032783,5.101355223476838,0.8853787303492954,0.4723656414538284,0.4981097646026142,0.4723656414538284,0.0,,,0.0,lower_clv,True,9.179385992969856,9.179385992969856,0.4906938696313251,0.4906938696313251,,,0.4981097646026142,0.0,9.21232336600132,0.06587474606292787,5.101355223476838,0.4723656414538284,0.4723656414538284,1.0,2.08,model_agreement_0.5_kelly,home,20.630505225180308,True,0.5421595740457542,1.844475405161078,True,2.55
2021-11,data\historical_csv\football-data\2122\SP2.csv:163:home,data\historical_csv\football-data\2122\SP2.csv:163,data\historical_csv\football-data\2122\SP2.csv,163,2021-11-07,SP2,Almeria,Burgos,home,0.6294575586352333,0.616145259982506,1.7153999999999998,1.73,5.693557897399071,0.0113122986527272,5,0.0,WH,1.5-2.0,sportsbook,0.5829544129649062,1.0797714960828793,0.0133122986527273,0.0179715033961212,0.5396462895741839,0.3962168181230282,0.339684435961928,0.2,0.8511134429287637,home:1.5-2.0,home:sportsbook,sportsbook:1.5-2.0,0.6294575586352333,0.2391156988143589,0.1314267425504077,0.9002075491818455,0.6294575586352333,0.0,0.4980308160848256,0.0121149828437384,13.815789473684204,0.0804856624730818,0.0944808327452445,0.0472404163726222,0.0472404163726223,home,7.48656205918971,3.3426565436337645,0.8214128091090366,0.6024405767962795,0.6324901565865254,0.6024405767962795,0.0,,,0.0,lower_clv,True,7.585503337133281,7.585503337133281,0.6271744394143249,0.6271744394143249,,,0.6324901565865254,0.0,7.536032698161495,0.09894127794357122,3.3426565436337645,0.6024405767962795,0.6024405767962795,1.0,2.34,model_agreement_0.5_kelly,home,15.50384484233538,True,0.6733347606525323,1.4851453666685717,True,1.67
2021-12,data\historical_csv\football-data\2122\B1.csv:146:home,data\historical_csv\football-data\2122\B1.csv:146,data\historical_csv\football-data\2122\B1.csv,146,2021-12-03,B1,St Truiden,St. Gilloise,home,0.2491322587215617,0.2396076089949381,4.43,4.5,6.146170784757588,0.0075246497266235,5,0.0,WH,4.0-5.0,sportsbook,0.2257336343115124,1.1036559061365183,0.0095246497266235,0.0302034339721269,1.4883995840570443,0.0620668823357071,0.3708083502563644,0.2,1.5801354401805856,home:4.0-5.0,home:sportsbook,sportsbook:4.0-5.0,0.2491322587215617,0.2780991634364587,0.4727685778419797,1.0563161756054789,0.4727685778419797,-0.2236363191204179,0.2236363191204179,0.0075246497266235,12.5,0.0771241830065359,0.0428215791099112,0.0519371374574337,-0.0091155583475225,away,10.913649336049984,7.299839171058389,0.9006146874282784,0.2422118265712379,0.2467032900087183,0.2443172289237778,0.468756426907699,,,0.0,lower_clv,True,10.821500562001509,8.516029445291773,0.244957177077408,0.2450628955863133,,,0.2467032900087183,0.0605450581171317,10.867574949025746,0.09214877404847499,7.299839171058389,0.2422118265712379,0.2422118265712379,1.0,1.06,model_agreement_0.5_kelly,away,-6.604669092081794,False,0.210824674735707,4.743277803006764,False,-1.06
2021-12,data\historical_csv\football-data\2122\D2.csv:139:home,data\historical_csv\football-data\2122\D2.csv:139,data\historical_csv\football-data\2122\D2.csv,139,2021-12-04,D2,Hansa Rostock,Ingolstadt,home,0.6345145420320519,0.6093168669209921,1.8134,1.83,10.493520647452703,0.0231976751110598,5,0.0,B365,1.5-2.0,sportsbook,0.5514503143266791,1.150628670520923,0.0251976751110598,0.03655972176267,0.5952035362298188,0.4026087040501446,0.3776652992067213,0.2,0.9154075217822744,home:1.5-2.0,home:sportsbook,sportsbook:1.5-2.0,0.6345145420320519,0.2292089706251252,0.1362764873428228,0.897898628119901,0.6345145420320519,0.0,0.4982380546892291,0.0231976751110598,21.19205298013245,0.0510920502799912,0.1146284984775122,0.0573142492387561,0.0573142492387561,home,11.04353129242094,7.429721127429344,0.9302569554983317,0.5924215348374839,0.6355457857721719,0.6126363046186993,0.468756426907699,,,0.0,lower_clv,True,12.953454302765266,11.759304680950278,0.6162970369524113,0.6174624535683859,,,0.6355457857721719,0.0605450581171317,11.998492797593103,1.9099230103443254,7.429721127429344,0.5924215348374839,0.5924215348374839,1.0,4.57,model_agreement_0.5_kelly,draw,9.98131770374988,True,0.6064923221779523,1.6488254895114527,False,-4.57
2021-12,data\historical_csv\football-data\2122\D2.csv:147:away,data\historical_csv\football-data\2122\D2.csv:147,data\historical_csv\football-data\2122\D2.csv,147,2021-12-10,D2,Schalke 04,Nurnberg,away,0.3021902208825318,0.2878940552661994,3.842,3.9,10.60889603327382,0.0122961656163324,5,0.0,BW,3.0-4.0,sportsbook,0.2602811035918792,1.1610148286306874,0.0142961656163324,0.0406901506621295,1.345993064346365,0.0913189295970333,0.4067459414211839,0.2,1.5096304008328951,away:3.0-4.0,away:sportsbook,sportsbook:3.0-4.0,0.4185547662062009,0.2792550129112671,0.3021902208825318,1.0823958941160785,0.4185547662062009,-0.1163645453236691,0.1163645453236691,0.0151502020682816,17.469879518072283,0.0594405594405595,0.0601660184622898,0.0300830092311448,0.0300830092311449,home,8.162033693865906,4.548223528874312,0.91023424792379,0.2721192699866588,0.3000406779946549,0.285207609438719,0.468756426907699,,,0.0,lower_clv,True,8.067249471267868,5.910510343739217,0.2756650451424758,0.2771408692501528,,,0.3000406779946549,0.0605450581171317,8.114641582566886,0.09478422259803843,4.548223528874312,0.2721192699866588,0.2721192699866588,1.0,0.8,model_agreement_0.5_kelly,home,4.67176791284869,True,0.2724408326726931,3.670521742977445,False,-0.8
2021-12,data\historical_csv\football-data\2122\I2.csv:162:home,data\historical_csv\football-data\2122\I2.csv:162,data\historical_csv\football-data\2122\I2.csv,162,2021-12-10,I2,Cremonese,Crotone,home,0.5471061763299465,0.5330356378786342,1.9604,1.98,4.49630644972745,0.0120705384513122,5,0.0,BW,1.5-2.0,sportsbook,0.5100999795960008,1.0725469480772272,0.0140705384513123,0.0220625154193705,0.6731485340532554,0.2993251681783745,0.3682837205679853,0.2,0.9997959600081652,home:1.5-2.0,home:sportsbook,sportsbook:1.5-2.0,0.5471061763299465,0.2570874026677567,0.1958064210022966,0.9984659810958167,0.5471061763299465,0.0,0.3512997553276499,0.0120705384513122,13.142857142857146,0.0694384223795987,0.0748484993271684,0.0374242496635843,0.0374242496635841,home,6.073015199958185,2.4592050349665904,0.8014049383300097,0.5226443839775893,0.5472597124394177,0.5341829773945154,0.468756426907699,,,0.0,lower_clv,True,6.867359905181902,5.507580085983732,0.5381941444908372,0.5387430198291489,,,0.5472597124394177,0.0605450581171317,6.470187552570044,0.7943447052237174,2.4592050349665904,0.5226443839775893,0.5226443839775893,1.0,1.28,model_agreement_0.5_kelly,home,7.271962503132157,True,0.5471942588407068,1.8275045540839805,True,1.23
2021-12,data\historical_csv\football-data\2122\B1.csv:162:home,data\historical_csv\football-data\2122\B1.csv:162,data\historical_csv\football-data\2122\B1.csv,162,2021-12-12,B1,Gent,Genk,home,0.5207001905742764,0.5087468653108813,2.029,2.05,3.224738971577823,0.009953325263395,5,0.0,WH,2.0-3.0,sportsbook,0.4928536224741252,1.0565006866752067,0.011953325263395,0.0191152710207722,0.7075430608436777,0.2711286884640878,0.3684178066208098,0.2,1.0349926071956617,home:2.0-3.0,home:sportsbook,sportsbook:2.0-3.0,0.5207001905742764,0.2503038849392368,0.2289959244864867,1.0240414572357663,0.5207001905742764,0.0,0.2917042660877896,0.0218093576436652,2.499999999999991,0.0676368108218898,0.063798673968402,0.0318993369842009,0.031899336984201,home,6.373449071912402,2.759638906920808,0.7830506881900701,0.5064546027940898,0.5205750989025622,0.5130736760960615,0.468756426907699,,,0.0,lower_clv,True,6.544519724095377,5.129967770105037,0.518136854460843,0.5182844781122706,,,0.5205750989025622,0.0605450581171317,6.4589843980038895,0.17107065218297457,2.759638906920808,0.5064546027940898,0.5064546027940898,1.0,1.34,model_agreement_0.5_kelly,home,20.93255773125138,True,0.5960204915290852,1.6777946634594878,True,1.38
2022-01,data\historical_csv\football-data\2122\SP2.csv:239:away,data\historical_csv\football-data\2122\SP2.csv:239,data\historical_csv\football-data\2122\SP2.csv,239,2022-01-02,SP2,Mirandes,Zaragoza,away,0.4296060844392185,0.4144572229411089,2.568,2.6,6.432614851276775,0.0131488614981095,5,0.0,B365,2.0-3.0,sportsbook,0.3894080996884735,1.1032284248399131,0.0151488614981095,0.0306067860171796,0.9431273858277148,0.1845613877871969,0.4051732633528406,0.2,1.2461059190031154,away:2.0-3.0,away:sportsbook,sportsbook:2.0-3.0,0.2724413086110008,0.2979526069497806,0.4296060844392185,1.0779998094380936,0.4296060844392185,0.0,0.1571647758282176,0.0131488614981095,0.0,0.1025641025641024,0.0807688751368929,0.0403844375684465,0.0403844375684463,away,3.394474066808075,1.6019306277372731,0.7218536194510585,0.3956461473042729,0.4324273413787716,0.3956461473042729,0.0,,,0.0,lower_clv,True,4.147267211053651,2.4431563727013383,0.3989219484918276,0.3989219484918276,,,0.4324273413787716,0.0,3.7708706389308633,0.7527931442455764,1.6019306277372731,0.3956461473042729,0.3956461473042729,1.0,0.51,model_agreement_0.5_kelly,home,1.890369612557774,True,0.3967693520738231,2.520355956863169,False,-0.51
2022-01,data\historical_csv\football-data\2122\N1.csv:164:home,data\historical_csv\football-data\2122\N1.csv:164,data\historical_csv\football-data\2122\N1.csv,164,2022-01-14,N1,Zwolle,Willem II,home,0.3123726560091148,0.3085295519898937,3.45,3.5,6.442695436513324,0.001843104019221,5,0.0,BW,3.0-4.0,sportsbook,0.2898550724637681,1.077685663231446,0.0038431040192211,0.0059003372534864,1.2383742310432684,0.0975766762221887,0.3868342476842309,0.2,1.4492753623188248,home:3.0-4.0,home:sportsbook,sportsbook:3.0-4.0,0.3123726560091148,0.2874209533083594,0.4002063906825257,1.0883213604878528,0.4002063906825257,-0.0878337346734109,0.0878337346734109,0.0066985710576305,14.006514657980462,0.0560224089635854,0.041815626831396,0.0298141778646409,0.012001448966755,away,5.499286418649525,3.706742979578724,0.7983255152909653,0.3005992550132716,0.3084608703539437,0.3005992550132716,0.0,,,0.0,lower_clv,True,5.61773133486636,3.6060312016700458,0.3003073368164349,0.3003073368164349,,,0.3084608703539437,0.0,5.5585088767579425,0.11844491621683417,3.6060312016700458,0.3003073368164349,0.3003073368164349,1.0,0.74,model_agreement_0.5_kelly,home,35.082187773320705,True,0.391542573256002,2.554000684227436,True,1.81
2022-02,data\historical_csv\football-data\2122\SP2.csv:284:home,data\historical_csv\football-data\2122\SP2.csv:284,data\historical_csv\football-data\2122\SP2.csv,284,2022-02-06,SP2,Fuenlabrada,Valladolid,home,0.2701310785941815,0.2593515113072516,3.94,4.0,2.184495455057145,0.0087795672869298,5,0.0,WH,3.0-4.0,sportsbook,0.2538071065989847,1.064316449661075,0.0107795672869298,0.032501137346434,1.3711807233098423,0.0729707996224558,0.3703985277352377,0.2,1.522842639593902,home:3.0-4.0,home:sportsbook,sportsbook:3.0-4.0,0.2701310785941815,0.286502659115041,0.4433662622907774,1.0723069454416747,0.4433662622907774,-0.1732351836965959,0.1732351836965959,0.0087795672869298,14.28571428571428,0.0725806451612902,0.0370483718272642,0.0185241859136321,0.018524185913632,away,4.573901864102567,4.573901864102567,0.7732023071083826,0.2654159945789405,0.2656597515995026,0.2655566282099718,0.5769418690257264,,,0.0,lower_clv,True,4.630491589266361,4.630491589266361,0.2655596233230111,0.2656255701930314,,,0.2656597515995026,0.6586238406478124,4.602196726684464,0.05658972516379457,4.573901864102567,0.2654159945789405,0.2654159945789405,1.0,0.78,model_agreement_0.5_kelly,draw,-2.235111797802969,False,0.2481342340157285,4.030076720234471,False,-0.78
