date,league,home_team,away_team,outcome,actual_result,odds_bucket,probability,lower_ev,odds,stake,won,profit,rule_label,month
2024-10-20,SP2,Ferrol,Huesca,draw,draw,"[2.8,3.5)",0.37712,0.014958,2.8,1.0,True,1.8,"ALL|draw|[2.8,3.5)|ev>=-0.02",2024-10
2024-10-22,E1,Preston,Norwich,draw,draw,"[2.8,3.5)",0.316641,-0.015224,3.25,1.0,True,2.25,"ALL|draw|[2.8,3.5)|ev>=-0.02",2024-10
2024-10-27,I2,Catanzaro,Sudtirol,draw,home,"[2.8,3.5)",0.372571,0.016059,2.85,1.0,False,-1.0,"ALL|draw|[2.8,3.5)|ev>=-0.02",2024-10
2024-10-27,SP2,Malaga,Eibar,draw,home,"[2.8,3.5)",0.360484,0.002965,2.9,1.0,False,-1.0,"ALL|draw|[2.8,3.5)|ev>=-0.02",2024-10
2024-10-27,SP2,La Coruna,Santander,draw,away,"[2.8,3.5)",0.316668,-0.01839,3.25,1.0,False,-1.0,"ALL|draw|[2.8,3.5)|ev>=-0.02",2024-10
2024-10-29,I2,Modena,Cremonese,draw,draw,"[2.8,3.5)",0.372707,-0.001386,2.8,1.0,True,1.8,"ALL|draw|[2.8,3.5)|ev>=-0.02",2024-10
2024-11-02,E1,Oxford,Swansea,draw,away,"[2.8,3.5)",0.323448,-0.009423,3.2,1.0,False,-1.0,"ALL|draw|[2.8,3.5)|ev>=-0.02",2024-11
2024-11-02,I1,Udinese,Juventus,draw,away,"[2.8,3.5)",0.323282,-0.016558,3.2,1.0,False,-1.0,"ALL|draw|[2.8,3.5)|ev>=-0.02",2024-11
2024-11-03,T1,Bodrumspor,Alanyaspor,draw,draw,"[2.8,3.5)",0.401528,0.078485,2.8,1.0,True,1.8,"ALL|draw|[2.8,3.5)|ev>=-0.02",2024-11
2024-11-03,N1,Waalwijk,Almere City,draw,home,"[2.8,3.5)",0.316395,-0.014779,3.3,1.0,False,-1.0,"ALL|draw|[2.8,3.5)|ev>=-0.02",2024-11
2024-11-04,SP1,Celta,Getafe,draw,home,"[2.8,3.5)",0.328819,0.001768,3.2,1.0,False,-1.0,"ALL|draw|[2.8,3.5)|ev>=-0.02",2024-11
2024-11-08,F2,Ajaccio,Clermont,draw,home,"[2.8,3.5)",0.37227,0.025707,2.88,1.0,False,-1.0,"ALL|draw|[2.8,3.5)|ev>=-0.02",2024-11
2024-11-10,E0,Nott'm Forest,Newcastle,draw,away,"[2.8,3.5)",0.314508,-0.015834,3.3,1.0,False,-1.0,"ALL|draw|[2.8,3.5)|ev>=-0.02",2024-11
2024-11-10,I2,Reggiana,Catanzaro,draw,draw,"[2.8,3.5)",0.322995,-0.018054,3.2,1.0,True,2.2,"ALL|draw|[2.8,3.5)|ev>=-0.02",2024-11
2024-11-16,SP2,Levante,Elche,draw,draw,"[2.8,3.5)",0.32468,-0.007846,3.2,1.0,True,2.2,"ALL|draw|[2.8,3.5)|ev>=-0.02",2024-11
2024-11-23,E1,Bristol City,Burnley,draw,away,"[2.8,3.5)",0.320958,-0.002038,3.25,1.0,False,-1.0,"ALL|draw|[2.8,3.5)|ev>=-0.02",2024-11
2024-11-23,SP2,Granada,Cadiz,draw,draw,"[2.8,3.5)",0.320683,-0.005332,3.25,1.0,True,2.25,"ALL|draw|[2.8,3.5)|ev>=-0.02",2024-11
2024-11-23,SP2,Malaga,Santander,draw,draw,"[2.8,3.5)",0.321418,-0.018283,3.2,1.0,True,2.2,"ALL|draw|[2.8,3.5)|ev>=-0.02",2024-11
2024-11-24,SP2,La Coruna,Sp Gijon,draw,draw,"[2.8,3.5)",0.320683,-0.005332,3.25,1.0,True,2.25,"ALL|draw|[2.8,3.5)|ev>=-0.02",2024-11
2024-11-30,T1,Buyuksehyr,Goztep,draw,home,"[2.8,3.5)",0.321308,-0.008904,3.25,1.0,False,-1.0,"ALL|draw|[2.8,3.5)|ev>=-0.02",2024-11
2024-11-30,SP2,Cadiz,La Coruna,draw,away,"[2.8,3.5)",0.321248,-0.018829,3.2,1.0,False,-1.0,"ALL|draw|[2.8,3.5)|ev>=-0.02",2024-11
2024-12-01,E1,Derby,Sheffield Weds,draw,away,"[2.8,3.5)",0.323298,-0.008401,3.2,1.0,False,-1.0,"ALL|draw|[2.8,3.5)|ev>=-0.02",2024-12
2024-12-06,I2,Juve Stabia,Sudtirol,draw,home,"[2.8,3.5)",0.395162,0.091402,2.88,1.0,False,-1.0,"ALL|draw|[2.8,3.5)|ev>=-0.02",2024-12
2024-12-07,SP2,La Coruna,Zaragoza,draw,draw,"[2.8,3.5)",0.319776,-0.008314,3.25,1.0,True,2.25,"ALL|draw|[2.8,3.5)|ev>=-0.02",2024-12
2024-12-07,SP1,Valencia,Vallecano,draw,away,"[2.8,3.5)",0.355683,-0.015199,2.9,1.0,False,-1.0,"ALL|draw|[2.8,3.5)|ev>=-0.02",2024-12
2024-12-08,I1,Venezia,Como,draw,draw,"[2.8,3.5)",0.318822,-0.001461,3.3,1.0,True,2.3,"ALL|draw|[2.8,3.5)|ev>=-0.02",2024-12
2024-12-08,SP2,Burgos,Eldense,draw,home,"[2.8,3.5)",0.323971,-0.010145,3.2,1.0,False,-1.0,"ALL|draw|[2.8,3.5)|ev>=-0.02",2024-12
2024-12-08,E1,West Brom,Sheffield United,draw,draw,"[2.8,3.5)",0.321824,-0.013117,3.2,1.0,True,2.2,"ALL|draw|[2.8,3.5)|ev>=-0.02",2024-12
2024-12-13,I1,Empoli,Torino,draw,away,"[2.8,3.5)",0.414761,0.147756,2.88,1.0,False,-1.0,"ALL|draw|[2.8,3.5)|ev>=-0.02",2024-12
2024-12-13,E1,Derby,Portsmouth,draw,home,"[2.8,3.5)",0.324647,-0.004083,3.2,1.0,False,-1.0,"ALL|draw|[2.8,3.5)|ev>=-0.02",2024-12
