date,bets,staked,profit,cumulative_profit,drawdown,cash_reserved
2026-05-01,0,0.0,0.0,0.0,0.0,100.0
2026-05-02,0,0.0,0.0,0.0,0.0,100.0
2026-05-03,2,0.55,-0.55,-0.55,0.55,99.45
2026-05-04,0,0.0,0.0,-0.55,0.55,100.0
2026-05-05,0,0.0,0.0,-0.55,0.55,100.0
2026-05-06,0,0.0,0.0,-0.55,0.55,100.0
2026-05-07,0,0.0,0.0,-0.55,0.55,100.0
2026-05-08,0,0.0,0.0,-0.55,0.55,100.0
2026-05-09,1,0.57,1.73,1.18,0.0,99.43
2026-05-10,0,0.0,0.0,1.18,0.0,100.0
2026-05-11,0,0.0,0.0,1.18,0.0,100.0
2026-05-12,0,0.0,0.0,1.18,0.0,100.0
2026-05-13,1,0.48,-0.48,0.7,0.48,99.52
2026-05-14,0,0.0,0.0,0.7,0.48,100.0
2026-05-15,0,0.0,0.0,0.7,0.48,100.0
2026-05-16,0,0.0,0.0,0.7,0.48,100.0
2026-05-17,1,0.62,2.01,2.71,0.0,99.38
2026-05-18,0,0.0,0.0,2.71,0.0,100.0
2026-05-19,0,0.0,0.0,2.71,0.0,100.0
2026-05-20,0,0.0,0.0,2.71,0.0,100.0
2026-05-21,0,0.0,0.0,2.71,0.0,100.0
2026-05-22,0,0.0,0.0,2.71,0.0,100.0
2026-05-23,0,0.0,0.0,2.71,0.0,100.0
2026-05-24,0,0.0,0.0,2.71,0.0,100.0
2026-05-25,0,0.0,0.0,2.71,0.0,100.0
2026-05-26,0,0.0,0.0,2.71,0.0,100.0
2026-05-27,0,0.0,0.0,2.71,0.0,100.0
2026-05-28,0,0.0,0.0,2.71,0.0,100.0
2026-05-29,0,0.0,0.0,2.71,0.0,100.0
2026-05-30,0,0.0,0.0,2.71,0.0,100.0
2026-05-31,0,0.0,0.0,2.71,0.0,100.0
