date,bets,staked,profit,cumulative_profit,drawdown,cash_reserved
2024-11-01,0,0.0,0.0,0.0,0.0,100.0
2024-11-02,0,0.0,0.0,0.0,0.0,100.0
2024-11-03,0,0.0,0.0,0.0,0.0,100.0
2024-11-04,0,0.0,0.0,0.0,0.0,100.0
2024-11-05,0,0.0,0.0,0.0,0.0,100.0
2024-11-06,0,0.0,0.0,0.0,0.0,100.0
2024-11-07,0,0.0,0.0,0.0,0.0,100.0
2024-11-08,0,0.0,0.0,0.0,0.0,100.0
2024-11-09,2,2.21,4.33,4.33,0.0,97.79
2024-11-10,0,0.0,0.0,4.33,0.0,100.0
2024-11-11,0,0.0,0.0,4.33,0.0,100.0
2024-11-12,0,0.0,0.0,4.33,0.0,100.0
2024-11-13,0,0.0,0.0,4.33,0.0,100.0
2024-11-14,0,0.0,0.0,4.33,0.0,100.0
2024-11-15,0,0.0,0.0,4.33,0.0,100.0
2024-11-16,0,0.0,0.0,4.33,0.0,100.0
2024-11-17,0,0.0,0.0,4.33,0.0,100.0
2024-11-18,0,0.0,0.0,4.33,0.0,100.0
2024-11-19,0,0.0,0.0,4.33,0.0,100.0
2024-11-20,0,0.0,0.0,4.33,0.0,100.0
2024-11-21,0,0.0,0.0,4.33,0.0,100.0
2024-11-22,0,0.0,0.0,4.33,0.0,100.0
2024-11-23,0,0.0,0.0,4.33,0.0,100.0
2024-11-24,0,0.0,0.0,4.33,0.0,100.0
2024-11-25,0,0.0,0.0,4.33,0.0,100.0
2024-11-26,0,0.0,0.0,4.33,0.0,100.0
2024-11-27,0,0.0,0.0,4.33,0.0,100.0
2024-11-28,0,0.0,0.0,4.33,0.0,100.0
2024-11-29,0,0.0,0.0,4.33,0.0,100.0
2024-11-30,0,0.0,0.0,4.33,0.0,100.0
2024-12-01,0,0.0,0.0,4.33,0.0,100.0
2024-12-02,0,0.0,0.0,4.33,0.0,100.0
2024-12-03,0,0.0,0.0,4.33,0.0,100.0
2024-12-04,0,0.0,0.0,4.33,0.0,100.0
2024-12-05,0,0.0,0.0,4.33,0.0,100.0
2024-12-06,0,0.0,0.0,4.33,0.0,100.0
2024-12-07,0,0.0,0.0,4.33,0.0,100.0
2024-12-08,0,0.0,0.0,4.33,0.0,100.0
2024-12-09,0,0.0,0.0,4.33,0.0,100.0
2024-12-10,0,0.0,0.0,4.33,0.0,100.0
2024-12-11,0,0.0,0.0,4.33,0.0,100.0
2024-12-12,0,0.0,0.0,4.33,0.0,100.0
2024-12-13,0,0.0,0.0,4.33,0.0,100.0
2024-12-14,0,0.0,0.0,4.33,0.0,100.0
2024-12-15,0,0.0,0.0,4.33,0.0,100.0
2024-12-16,0,0.0,0.0,4.33,0.0,100.0
2024-12-17,0,0.0,0.0,4.33,0.0,100.0
2024-12-18,0,0.0,0.0,4.33,0.0,100.0
2024-12-19,0,0.0,0.0,4.33,0.0,100.0
2024-12-20,0,0.0,0.0,4.33,0.0,100.0
2024-12-21,0,0.0,0.0,4.33,0.0,100.0
2024-12-22,0,0.0,0.0,4.33,0.0,100.0
2024-12-23,0,0.0,0.0,4.33,0.0,100.0
2024-12-24,0,0.0,0.0,4.33,0.0,100.0
2024-12-25,0,0.0,0.0,4.33,0.0,100.0
2024-12-26,0,0.0,0.0,4.33,0.0,100.0
