month,bets,staked,profit,roi_pct
2021-09,0,0.0,0.0,0.0
2021-10,0,0.0,0.0,0.0
2021-11,9,2.13,1.03,48.36
2021-12,10,14.97,5.1,34.07
2022-01,4,1.9,3.38,177.89
2022-02,20,45.87,18.8,40.99
2022-03,16,48.68,-10.93,-22.45
2022-04,18,49.65,33.74,67.96
2022-05,6,25.68,1.47,5.72
2022-08,2,2.58,4.2,162.79
2022-09,3,1.83,-1.83,-100.0
2022-10,8,13.6,8.65,63.6
2022-11,5,2.0,-0.6,-30.0
2022-12,1,0.57,-0.57,-100.0
2023-01,3,0.77,-0.18,-23.38
2023-02,11,6.94,-0.16,-2.31
2023-03,8,23.76,-1.24,-5.22
2023-04,14,37.74,17.61,46.66
2023-05,3,13.69,5.73,41.86
2023-08,1,0.36,0.88,244.44
2023-09,0,0.0,0.0,0.0
2023-10,1,1.55,1.0,64.52
2023-11,0,0.0,0.0,0.0
2023-12,1,1.17,-1.17,-100.0
2024-01,0,0.0,0.0,0.0
2024-02,2,0.52,1.59,305.77
2024-03,1,0.18,0.56,311.11
2024-04,2,0.44,0.11,25.0
2024-05,2,0.8,0.97,121.25
2024-08,28,21.38,3.95,18.48
2024-09,5,2.23,0.41,18.39
2024-10,5,2.82,-0.43,-15.25
2024-11,0,0.0,0.0,0.0
2024-12,1,0.98,2.9,295.92
2025-01,2,0.88,0.36,40.91
2025-02,20,21.23,11.48,54.07
2025-03,8,4.78,0.29,6.07
2025-04,8,3.53,-1.09,-30.88
2025-05,11,3.4,0.65,19.12
2025-08,0,0.0,0.0,0.0
2025-09,5,2.46,2.45,99.59
2025-10,13,8.63,1.55,17.96
2025-11,7,2.46,2.35,95.53
2025-12,8,3.89,2.09,53.73
2026-01,8,11.24,9.13,81.23
2026-02,0,0.0,0.0,0.0
2026-03,3,0.99,0.23,23.23
2026-04,4,4.27,4.43,103.75
