test_month,candidate_id,source_file,source_row,date,league,home_team,away_team,outcome,probability,conservative_probability,odds,raw_odds,conservative_ev_pct,reference_dispersion,reference_bookmakers,execution_cost_rate,execution_bookmaker,odds_band,source_type,implied_probability,price_ratio,probability_uncertainty,relative_dispersion,log_odds,probability_squared,odds_probability_interaction,reference_depth_inverse,raw_net_odds_gap_pct,outcome_odds_band,outcome_source_type,source_odds_band,direct_predicted_clv_pct,direct_lower_clv_pct,direct_staking_probability,direct_unshrunk_market_staking_probability,direct_market_staking_probability,direct_market_calibration_weight,direct_market_logistic_staking_probability,direct_validated_market_residual_staking_probability,outcome_probability_weight,staking_probability_profile,decision_frozen_before_closing_and_result,movement_predicted_clv_pct,movement_lower_clv_pct,movement_staking_probability,movement_market_staking_probability,movement_market_logistic_staking_probability,movement_validated_market_residual_staking_probability,movement_unshrunk_market_staking_probability,movement_market_calibration_weight,predicted_closing_edge_pct,model_disagreement_pct,lower_closing_edge_pct,staking_probability,minimum_lower_clv_staking_probability,stake_multiplier,stake,stake_policy,actual_outcome,closing_edge_pct,positive_clv,closing_probability,closing_fair_odds,won,profit
2022-03,data\historical_csv\football-data\2122\I2.csv:274,data\historical_csv\football-data\2122\I2.csv,274,2022-03-05,I2,Parma,Reggina,home,0.5693915641277388,0.5562253432573707,1.882,1.9,4.681609601037162,0.0111662208703681,5,0.0,WH,1.5-2.0,sportsbook,0.5313496280552604,1.0715949236884044,0.0131662208703681,0.0196107943528701,0.6323350411631878,0.3242067532998329,0.3600462381406856,0.2,0.9564293304994642,home:1.5-2.0,home:sportsbook,sportsbook:1.5-2.0,6.987709351661598,4.967899735182959,0.5577465448203134,0.5815054976664074,0.5604606144015055,0.1142335522433758,,,0.0,lower_clv,True,7.583374897935946,5.5615674324714925,0.5609009959217401,0.5620910751142633,,,0.5815054976664074,0.0577582126115294,7.285542124798772,0.5956655462743479,4.967899735182959,0.5577465448203134,0.5577465448203134,1.0,3.52,model_agreement_0.625_kelly,draw,17.666299931581374,True,0.6252194470328447,1.599438412777757,False,-3.52
2022-03,data\historical_csv\football-data\2122\SP2.csv:342,data\historical_csv\football-data\2122\SP2.csv,342,2022-03-13,SP2,Oviedo,Valladolid,away,0.3898485744784831,0.3784821604571512,2.8424,2.88,7.579769288340654,0.0093664140213319,5,0.0,WH,2.0-3.0,sportsbook,0.3518153672952435,1.1081055880976405,0.0113664140213319,0.0240257747097364,1.04464876572468,0.1519819110229054,0.4072548321484734,0.2,1.3228257810301347,away:2.0-3.0,away:sportsbook,sportsbook:2.0-3.0,6.996542775466446,4.976733158987807,0.3693242793378407,0.3840056088833416,0.3710013797634788,0.1142335522433758,,,0.0,lower_clv,True,8.157134217455031,5.103581858349715,0.3697705525554099,0.3705927439653357,,,0.3840056088833416,0.0577582126115294,7.576838496460739,1.1605914419885845,4.976733158987807,0.3693242793378407,0.3693242793378407,1.0,1.69,model_agreement_0.625_kelly,home,12.73410782980051,True,0.3966159155284285,2.521330992649795,False,-1.69
2022-03,data\historical_csv\football-data\2122\I2.csv:295,data\historical_csv\football-data\2122\I2.csv,295,2022-03-15,I2,Crotone,Frosinone,home,0.2980209107857554,0.2764918053676389,3.744,3.8,3.5185319296439976,0.0195291054181164,5,0.0,WH,3.0-4.0,sportsbook,0.2670940170940171,1.115790289981868,0.0215291054181164,0.0655293125795316,1.3201545586153456,0.0888164632655711,0.3934336639365122,0.2,1.4957264957264904,home:3.0-4.0,home:sportsbook,sportsbook:3.0-4.0,7.661312928621475,5.641503312142836,0.2821621349149114,0.2843292880943487,0.282409696520854,0.1142335522433758,,,0.0,lower_clv,True,8.595432182698627,4.573302984665162,0.2793090357496399,0.2795989965519291,,,0.2843292880943487,0.0577582126115294,8.12837255566005,0.9341192540771512,4.573302984665162,0.2793090357496399,0.2793090357496399,1.0,1.04,model_agreement_0.625_kelly,home,17.183185744017226,True,0.3129892781624392,3.194997623787634,True,2.85
2022-03,data\historical_csv\football-data\2122\I2.csv:292,data\historical_csv\football-data\2122\I2.csv,292,2022-03-15,I2,Cittadella,Reggina,home,0.5396805484843955,0.5319979241675219,1.931,1.95,2.728799156748485,0.0056826243168735,5,0.0,WH,1.5-2.0,sportsbook,0.5178663904712584,1.0421231391233678,0.0076826243168736,0.0105296074369037,0.6580380034463774,0.291255094412418,0.3551303106235175,0.2,0.9839461418953864,home:1.5-2.0,home:sportsbook,sportsbook:1.5-2.0,5.027576382593232,3.007766766114593,0.5334426036567301,0.5489345673535466,0.535212305701043,0.1142335522433758,,,0.0,lower_clv,True,5.245587858285949,3.1711403472275634,0.5342886605242235,0.5351345819247603,,,0.5489345673535466,0.0577582126115294,5.1365821204395905,0.21801147569271784,3.007766766114593,0.5334426036567301,0.5334426036567301,1.0,2.02,model_agreement_0.625_kelly,draw,7.569675200405102,True,0.5570671942019942,1.7951155810431676,False,-2.02
2022-03,data\historical_csv\football-data\2122\E1.csv:450,data\historical_csv\football-data\2122\E1.csv,450,2022-03-19,E1,Bristol City,West Brom,away,0.4640458126677398,0.4505516085471336,2.4210000000000003,2.45,9.07854442926106,0.0114942041206062,5,0.0,IW,2.0-3.0,sportsbook,0.413052457662123,1.1234549124685984,0.0134942041206062,0.0247695460379818,0.8841806779559216,0.2153385162544631,0.4103003412471688,0.2,1.1978521272201448,away:2.0-3.0,away:sportsbook,sportsbook:2.0-3.0,7.022489137797647,5.002679521319008,0.4337161483738909,0.4656324157412891,0.4373620569696182,0.1142335522433758,,,0.0,lower_clv,True,9.09540370479871,6.494555737801111,0.4398783797513469,0.441365886837659,,,0.4656324157412891,0.0577582126115294,8.058946421298177,2.072914567001062,5.002679521319008,0.4337161483738909,0.4337161483738909,1.0,2.2,model_agreement_0.625_kelly,draw,20.831584366779232,True,0.4990978288590632,2.003615207635742,False,-2.2
2022-03,data\historical_csv\football-data\2122\I1.csv:293,data\historical_csv\football-data\2122\I1.csv,293,2022-03-20,I1,Empoli,Verona,home,0.3590874588218956,0.3513918061975577,3.058,3.1,7.455614335213134,0.0056956526243379,5,0.0,BW,3.0-4.0,sportsbook,0.3270111183780249,1.0980894490773567,0.0076956526243379,0.0158614635081503,1.1177611075068703,0.1289438030831665,0.4013739956645898,0.2,1.373446697187708,home:3.0-4.0,home:sportsbook,sportsbook:3.0-4.0,8.190418043329323,6.170608426850684,0.3471896940053979,0.3503808647135736,0.3475542327712079,0.1142335522433758,,,0.0,lower_clv,True,9.036343282844172,5.751174723125629,0.3458180991599923,0.3460816363429326,,,0.3503808647135736,0.0577582126115294,8.613380663086748,0.8459252395148482,5.751174723125629,0.3458180991599923,0.3458180991599923,1.0,1.75,model_agreement_0.625_kelly,draw,10.6028866762631,True,0.3616837366784274,2.7648464627788853,False,-1.75
2022-03,data\historical_csv\football-data\2122\SP2.csv:356,data\historical_csv\football-data\2122\SP2.csv,356,2022-03-26,SP2,Eibar,Lugo,home,0.5854352586387034,0.5744339290115107,1.784,1.8,2.479012935653513,0.0090013296271926,5,0.0,WH,1.5-2.0,sportsbook,0.5605381165919282,1.0444165014114468,0.0110013296271926,0.0153754484281031,0.5788580341578177,0.3427344420573655,0.3388839029422734,0.2,0.8968609865470878,home:1.5-2.0,home:sportsbook,sportsbook:1.5-2.0,5.311192463559803,3.2913828470811644,0.5789875720127868,0.5990297819885544,0.5812770648531264,0.1142335522433758,,,0.0,lower_clv,True,5.338178557369355,3.4216511830927443,0.5797177756899817,0.5808332026557298,,,0.5990297819885544,0.0577582126115294,5.32468551046458,0.02698609380955208,3.2913828470811644,0.5789875720127868,0.5789875720127868,1.0,2.62,model_agreement_0.625_kelly,home,3.270400975102916,True,0.5788699606227742,1.727503702082166,True,2.05
2022-03,data\historical_csv\football-data\2122\SP2.csv:355,data\historical_csv\football-data\2122\SP2.csv,355,2022-03-26,SP2,Ibiza,Sociedad B,home,0.5433938829374321,0.5374648394779583,1.8918,1.91,1.6775983324401444,0.0039290434594737,5,0.0,WH,1.5-2.0,sportsbook,0.528597103287874,1.027992547741034,0.0059290434594737,0.0072305625492773,0.637528756796933,0.2952769120138196,0.3464292266401592,0.2,0.9620467279839228,home:1.5-2.0,home:sportsbook,sportsbook:1.5-2.0,4.170154679411887,2.150345062933248,0.539963765001233,0.5530124371338895,0.5414543611710054,0.1142335522433758,,,0.0,lower_clv,True,4.115484020800286,2.0831485462170285,0.5396085661603607,0.5403827497898673,,,0.5530124371338895,0.0577582126115294,4.142819350106087,0.05467065861160059,2.0831485462170285,0.5396085661603607,0.5396085661603607,1.0,1.46,model_agreement_0.625_kelly,draw,-3.1481687807559,False,0.5119559743061851,1.9532929591362296,False,-1.46
2022-03,data\historical_csv\football-data\2122\SP2.csv:359,data\historical_csv\football-data\2122\SP2.csv,359,2022-03-27,SP2,Mirandes,Ponferradina,home,0.43005259638776,0.4143289447340609,2.519,2.55,4.369461178509937,0.0137236516536991,5,0.0,WH,2.0-3.0,sportsbook,0.3969829297340214,1.0833024903007675,0.0157236516536991,0.0319115656293472,0.9238619973704733,0.1849452356598536,0.3973092506731539,0.2,1.2306470821754625,home:2.0-3.0,home:sportsbook,sportsbook:2.0-3.0,6.24179308093682,4.221983464458182,0.4137434833841135,0.4281759564773862,0.4153921560532149,0.1142335522433758,,,0.0,lower_clv,True,7.052731924449462,4.3466038662640205,0.4142382051062486,0.4150432247132694,,,0.4281759564773862,0.0577582126115294,6.647262502693142,0.8109388435126421,4.221983464458182,0.4137434833841135,0.4137434833841135,1.0,1.74,model_agreement_0.625_kelly,home,14.202491532963668,True,0.4533643967168069,2.2057312114533945,True,2.64
2022-04,data\historical_csv\football-data\2122\I2.csv:339,data\historical_csv\football-data\2122\I2.csv,339,2022-04-10,I2,Perugia,Pisa,home,0.3579563597658329,0.3489457540778616,3.058,3.1,6.707611597010077,0.0070106056879712,5,0.0,WH,3.0-4.0,sportsbook,0.3270111183780249,1.094630548163917,0.0090106056879712,0.0195850848761493,1.1177611075068703,0.1281327554968064,0.4001096971309851,0.2,1.373446697187708,home:3.0-4.0,home:sportsbook,sportsbook:3.0-4.0,9.415778258828915,5.311142140580993,0.3443791436905853,0.3505076068196632,0.34731040000419,0.4783020231771778,,,0.0,lower_clv,True,10.07091109378928,6.734309304935815,0.3490330585511308,0.3495598293629587,,,0.3505076068196632,0.3572421622739422,9.743344676309096,0.655132834960364,5.311142140580993,0.3443791436905853,0.3443791436905853,1.0,1.61,model_agreement_0.625_kelly,draw,16.38110930800387,True,0.3805791671288551,2.627574198409614,False,-1.61
