month,bets,staked,profit,roi_pct
2021-09,0,0.0,0.0,0.0
2021-10,0,0.0,0.0,0.0
2021-11,9,21.3,10.4,48.83
2021-12,10,100.3,4.63,4.62
2022-01,4,19.0,33.79,177.84
2022-02,20,141.2,54.45,38.56
2022-03,16,140.6,-2.55,-1.81
2022-04,18,115.0,76.94,66.9
2022-05,6,48.4,-7.15,-14.77
2022-08,2,28.6,45.65,159.62
2022-09,3,18.3,-18.3,-100.0
2022-10,8,48.1,-8.26,-17.17
2022-11,5,20.0,-6.01,-30.05
2022-12,1,5.7,-5.7,-100.0
2023-01,3,7.7,-1.79,-23.25
2023-02,11,69.4,-1.6,-2.31
2023-03,8,44.2,-15.24,-34.48
2023-04,14,114.4,26.87,23.49
2023-05,3,45.0,-10.89,-24.2
2023-08,1,7.2,17.64,245.0
2023-09,0,0.0,0.0,0.0
2023-10,1,15.0,9.7,64.67
2023-11,0,0.0,0.0,0.0
2023-12,1,11.7,-11.7,-100.0
2024-01,0,0.0,0.0,0.0
2024-02,2,5.2,15.88,305.38
2024-03,1,1.8,5.64,313.33
2024-04,2,4.4,1.13,25.68
2024-05,2,8.0,9.74,121.75
2024-08,14,59.5,-11.64,-19.56
2024-09,5,22.6,4.78,21.15
2024-10,9,84.0,-31.75,-37.8
2024-11,3,22.6,21.8,96.46
2024-12,2,30.0,91.69,305.63
2025-01,7,58.2,18.74,32.2
2025-02,18,149.7,83.42,55.72
2025-03,8,49.0,-13.14,-26.82
2025-04,10,52.6,-31.03,-58.99
2025-05,11,96.41,22.24,23.07
2025-08,7,58.4,-26.54,-45.45
2025-09,8,71.0,71.88,101.24
2025-10,17,125.5,5.36,4.27
2025-11,6,38.6,68.4,177.2
2025-12,7,18.6,-0.1,-0.54
2026-01,6,45.6,21.39,46.91
2026-02,0,0.0,0.0,0.0
2026-03,4,20.7,9.73,47.0
2026-04,6,31.8,-9.78,-30.75
