date,bets,staked,profit,cumulative_profit,drawdown
2021-11-05,1,4.2,5.14,5.14,0.0
2021-11-06,1,2.7,-2.7,2.44,2.7
2021-11-07,1,4.7,3.36,5.8,0.0
2021-11-13,1,1.0,-1.0,4.8,1.0
2021-11-26,1,3.2,-3.2,1.6,4.2
2021-12-03,1,12.0,-12.0,-10.4,16.2
2021-12-04,1,9.1,-9.1,-19.5,25.3
2021-12-05,1,12.5,-12.5,-32.0,37.8
2021-12-10,2,16.6,12.81,-19.19,24.99
2021-12-11,3,33.1,15.91,-3.28,9.08
2021-12-12,1,15.0,15.43,12.15,0.0
2021-12-27,1,4.0,-4.0,8.15,4.0
2022-01-02,1,1.0,-1.0,7.15,5.0
2022-01-13,1,3.0,2.65,9.8,2.35
2022-01-14,1,13.5,33.08,42.88,0.0
2022-01-16,1,1.2,-1.2,41.68,1.2
2022-02-05,1,8.1,-8.1,33.58,9.3
2022-02-06,1,12.5,-12.5,21.08,21.8
2022-02-12,3,24.4,39.55,60.63,0.0
2022-02-13,5,27.0,-20.0,40.63,20.0
2022-02-18,1,15.0,21.32,61.95,0.0
2022-02-19,3,24.3,17.95,79.9,0.0
2022-02-20,1,4.9,-4.9,75.0,4.9
2022-02-25,1,5.2,-5.2,69.8,10.1
2022-02-26,3,15.0,13.54,83.34,0.0
2022-02-27,1,4.8,12.79,96.13,0.0
2022-03-03,1,15.0,17.64,113.77,0.0
2022-03-05,1,15.0,-15.0,98.77,15.0
2022-03-12,2,5.8,-5.8,92.97,20.8
2022-03-13,2,15.0,-15.0,77.97,35.8
2022-03-15,2,15.0,0.65,78.62,35.15
2022-03-19,2,15.0,-15.0,63.62,50.15
2022-03-20,1,15.0,-15.0,48.62,65.15
2022-03-26,2,15.0,1.81,50.43,63.34
2022-03-27,2,15.0,23.84,74.27,39.5
2022-03-28,1,15.0,19.11,93.38,20.39
2022-04-09,4,30.0,33.94,127.32,0.0
2022-04-10,6,25.2,9.74,137.06,0.0
2022-04-16,1,8.2,17.68,154.74,0.0
2022-04-17,1,5.6,-5.6,149.14,5.6
2022-04-24,1,4.0,4.31,153.45,1.29
2022-04-25,2,12.0,-12.0,141.45,13.29
2022-04-29,1,15.0,12.5,153.95,0.79
2022-04-30,2,15.0,16.37,170.32,0.0
2022-05-01,1,15.0,17.64,187.96,0.0
2022-05-07,1,15.0,-15.0,172.96,15.0
2022-05-08,1,3.4,-3.4,169.56,18.4
2022-05-21,3,15.0,-6.39,163.17,24.79
2022-08-14,1,15.0,24.99,188.16,0.0
2022-08-28,1,13.6,20.66,208.82,0.0
2022-09-17,1,1.8,-1.8,207.02,1.8
2022-09-24,1,12.2,-12.2,194.82,14.0
2022-09-25,1,4.3,-4.3,190.52,18.3
2022-10-07,1,2.6,-2.6,187.92,20.9
2022-10-08,2,9.4,-0.73,187.19,21.63
2022-10-14,1,1.1,-1.1,186.09,22.73
