month,train_window,status,training_candidates,bets,active_days,staked,profit,roi_pct,available_capacity,test_candidates,alpha,safety_margin,maximum_odds,validation_rmse_pct,outcome_probability_validation_brier,market_probability_validation_brier,outcome_probability_weight,average_closing_edge_pct,positive_clv_rate,outcome_counts
2021-09,2020-12-01..2021-08-31,ABSTAIN_INNER_VALIDATION,450,0,0,0.0,0.0,0.0,3000.0,,,,,,,,,,,
2021-10,2021-01-01..2021-09-30,ABSTAIN_INNER_VALIDATION,902,0,0,0.0,0.0,0.0,3100.0,,,,,,,,,,,
2021-11,2021-02-01..2021-10-31,ABSTAIN_INNER_VALIDATION,1470,0,0,0.0,0.0,0.0,3000.0,,,,,,,,,,,
2021-12,2021-03-01..2021-11-30,ABSTAIN_INNER_VALIDATION,1922,0,0,0.0,0.0,0.0,3100.0,,,,,,,,,,,
2022-01,2021-04-01..2021-12-31,ABSTAIN_INNER_VALIDATION,2429,0,0,0.0,0.0,0.0,3100.0,,,,,,,,,,,
2022-02,2021-05-01..2022-01-31,ABSTAIN_INNER_VALIDATION,2880,0,0,0.0,0.0,0.0,2800.0,,,,,,,,,,,
2022-03,2021-06-01..2022-02-28,ABSTAIN_INNER_VALIDATION,3525,0,0,0.0,0.0,0.0,3100.0,,,,,,,,,,,
2022-04,2021-07-01..2022-03-31,ABSTAIN_INNER_VALIDATION,4014,0,0,0.0,0.0,0.0,3000.0,,,,,,,,,,,
2022-05,2021-08-01..2022-04-30,FROZEN_MODEL_EVALUATED,4654,5,3,2.86,-0.77,-26.92,3100.0,345.0,1.0,0.5571694921158569,5.0,0.0231,,,0.0,4.5869,0.6,"{'home': 3, 'away': 2}"
2022-08,2021-11-01..2022-07-31,ABSTAIN_INNER_VALIDATION,3630,0,0,0.0,0.0,0.0,3100.0,,,,,,,,,,,
2022-09,2021-12-01..2022-08-31,ABSTAIN_INNER_VALIDATION,3747,0,0,0.0,0.0,0.0,3000.0,,,,,,,,,,,
2022-10,2022-01-01..2022-09-30,ABSTAIN_INNER_VALIDATION,3663,0,0,0.0,0.0,0.0,3100.0,,,,,,,,,,,
2022-11,2022-02-01..2022-10-31,ABSTAIN_INNER_VALIDATION,3944,0,0,0.0,0.0,0.0,3000.0,,,,,,,,,,,
2022-12,2022-03-01..2022-11-30,ABSTAIN_INNER_VALIDATION,3639,0,0,0.0,0.0,0.0,3100.0,,,,,,,,,,,
2023-01,2022-04-01..2022-12-31,ABSTAIN_INNER_VALIDATION,3409,0,0,0.0,0.0,0.0,3100.0,,,,,,,,,,,
2023-02,2022-05-01..2023-01-31,ABSTAIN_INNER_VALIDATION,3232,0,0,0.0,0.0,0.0,2800.0,,,,,,,,,,,
2023-03,2022-06-01..2023-02-28,ABSTAIN_INNER_VALIDATION,3447,0,0,0.0,0.0,0.0,3100.0,,,,,,,,,,,
2023-04,2022-07-01..2023-03-31,ABSTAIN_INNER_VALIDATION,3884,0,0,0.0,0.0,0.0,3000.0,,,,,,,,,,,
2023-05,2022-08-01..2023-04-30,ABSTAIN_INNER_VALIDATION,4476,0,0,0.0,0.0,0.0,3100.0,,,,,,,,,,,
2023-08,2022-11-01..2023-07-31,ABSTAIN_INNER_VALIDATION,3239,0,0,0.0,0.0,0.0,3100.0,,,,,,,,,,,
2023-09,2022-12-01..2023-08-31,ABSTAIN_INNER_VALIDATION,3287,0,0,0.0,0.0,0.0,3000.0,,,,,,,,,,,
2023-10,2023-01-01..2023-09-30,ABSTAIN_INNER_VALIDATION,3564,0,0,0.0,0.0,0.0,3100.0,,,,,,,,,,,
2023-11,2023-02-01..2023-10-31,ABSTAIN_INNER_VALIDATION,3548,0,0,0.0,0.0,0.0,3000.0,,,,,,,,,,,
2023-12,2023-03-01..2023-11-30,ABSTAIN_INNER_VALIDATION,3359,0,0,0.0,0.0,0.0,3100.0,,,,,,,,,,,
2024-01,2023-04-01..2023-12-31,ABSTAIN_INNER_VALIDATION,3497,0,0,0.0,0.0,0.0,3100.0,,,,,,,,,,,
2024-02,2023-05-01..2024-01-31,ABSTAIN_INNER_VALIDATION,3235,0,0,0.0,0.0,0.0,2900.0,,,,,,,,,,,
2024-03,2023-06-01..2024-02-29,ABSTAIN_INNER_VALIDATION,3300,0,0,0.0,0.0,0.0,3100.0,,,,,,,,,,,
2024-04,2023-07-01..2024-03-31,ABSTAIN_INNER_VALIDATION,3704,0,0,0.0,0.0,0.0,3000.0,,,,,,,,,,,
2024-05,2023-08-01..2024-04-30,ABSTAIN_INNER_VALIDATION,4248,0,0,0.0,0.0,0.0,3100.0,,,,,,,,,,,
2024-08,2023-11-01..2024-07-31,ABSTAIN_INNER_VALIDATION,3103,0,0,0.0,0.0,0.0,3100.0,,,,,,,,,,,
2024-09,2023-12-01..2024-08-31,ABSTAIN_INNER_VALIDATION,3071,0,0,0.0,0.0,0.0,3000.0,,,,,,,,,,,
2024-10,2024-01-01..2024-09-30,ABSTAIN_INNER_VALIDATION,2912,0,0,0.0,0.0,0.0,3100.0,,,,,,,,,,,
2024-11,2024-02-01..2024-10-31,ABSTAIN_INNER_VALIDATION,2912,0,0,0.0,0.0,0.0,3000.0,,,,,,,,,,,
2024-12,2024-03-01..2024-11-30,ABSTAIN_INNER_VALIDATION,2812,0,0,0.0,0.0,0.0,3100.0,,,,,,,,,,,
2025-01,2024-04-01..2024-12-31,ABSTAIN_INNER_VALIDATION,2809,0,0,0.0,0.0,0.0,3100.0,,,,,,,,,,,
2025-02,2024-05-01..2025-01-31,ABSTAIN_INNER_VALIDATION,2688,0,0,0.0,0.0,0.0,2800.0,,,,,,,,,,,
2025-03,2024-06-01..2025-02-28,ABSTAIN_INNER_VALIDATION,2894,0,0,0.0,0.0,0.0,3100.0,,,,,,,,,,,
2025-04,2024-07-01..2025-03-31,ABSTAIN_INNER_VALIDATION,3326,0,0,0.0,0.0,0.0,3000.0,,,,,,,,,,,
2025-05,2024-08-01..2025-04-30,ABSTAIN_INNER_VALIDATION,3753,0,0,0.0,0.0,0.0,3100.0,,,,,,,,,,,
2025-08,2024-11-01..2025-07-31,ABSTAIN_INNER_VALIDATION,2922,0,0,0.0,0.0,0.0,3100.0,,,,,,,,,,,
2025-09,2024-12-01..2025-08-31,ABSTAIN_INNER_VALIDATION,2940,0,0,0.0,0.0,0.0,3000.0,,,,,,,,,,,
2025-10,2025-01-01..2025-09-30,ABSTAIN_INNER_VALIDATION,2909,0,0,0.0,0.0,0.0,3100.0,,,,,,,,,,,
2025-11,2025-02-01..2025-10-31,ABSTAIN_INNER_VALIDATION,2889,0,0,0.0,0.0,0.0,3000.0,,,,,,,,,,,
2025-12,2025-03-01..2025-11-30,ABSTAIN_INNER_VALIDATION,2869,0,0,0.0,0.0,0.0,3100.0,,,,,,,,,,,
2026-01,2025-04-01..2025-12-31,ABSTAIN_INNER_VALIDATION,2836,0,0,0.0,0.0,0.0,3100.0,,,,,,,,,,,
