candidate_id,odds_source,window_start,window_end,bets,total_staked,profit,roi_pct,max_drawdown,active_bet_days,positive_months,negative_months,walk_forward_active_months,passes_window,fail_reasons
diagnostic-league-outcome-odds-bucket-t1-away-1p0-1p8,AVG_OPEN,2022-08,2023-07,0,0.0,0.0,0.0,0.0,0,0,0,0,False,"['bets<minimum', 'profit<=0', 'roi<minimum', 'positive_month_edge<minimum', 'drawdown_to_profit>maximum']"
diagnostic-league-outcome-odds-bucket-t1-away-1p0-1p8,AVG_OPEN,2023-02,2024-01,0,0.0,0.0,0.0,0.0,0,0,0,0,False,"['bets<minimum', 'profit<=0', 'roi<minimum', 'positive_month_edge<minimum', 'drawdown_to_profit>maximum']"
diagnostic-league-outcome-odds-bucket-t1-away-1p0-1p8,AVG_OPEN,2023-08,2024-07,0,0.0,0.0,0.0,0.0,0,0,0,0,False,"['bets<minimum', 'profit<=0', 'roi<minimum', 'positive_month_edge<minimum', 'drawdown_to_profit>maximum']"
diagnostic-league-outcome-odds-bucket-t1-away-1p0-1p8,AVG_OPEN,2024-02,2025-01,0,0.0,0.0,0.0,0.0,0,0,0,0,False,"['bets<minimum', 'profit<=0', 'roi<minimum', 'positive_month_edge<minimum', 'drawdown_to_profit>maximum']"
diagnostic-league-outcome-odds-bucket-t1-away-1p0-1p8,AVG_OPEN,2024-08,2025-07,0,0.0,0.0,0.0,0.0,0,0,0,0,False,"['bets<minimum', 'profit<=0', 'roi<minimum', 'positive_month_edge<minimum', 'drawdown_to_profit>maximum']"
diagnostic-league-outcome-odds-bucket-t1-away-1p0-1p8,AVG_OPEN,2025-02,2026-01,0,0.0,0.0,0.0,0.0,0,0,0,0,False,"['bets<minimum', 'profit<=0', 'roi<minimum', 'positive_month_edge<minimum', 'drawdown_to_profit>maximum']"
diagnostic-league-outcome-odds-bucket-t1-away-1p0-1p8,AVG_CLOSE,2022-08,2023-07,0,0.0,0.0,0.0,0.0,0,0,0,0,False,"['bets<minimum', 'profit<=0', 'roi<minimum', 'positive_month_edge<minimum', 'drawdown_to_profit>maximum']"
diagnostic-league-outcome-odds-bucket-t1-away-1p0-1p8,AVG_CLOSE,2023-02,2024-01,0,0.0,0.0,0.0,0.0,0,0,0,0,False,"['bets<minimum', 'profit<=0', 'roi<minimum', 'positive_month_edge<minimum', 'drawdown_to_profit>maximum']"
diagnostic-league-outcome-odds-bucket-t1-away-1p0-1p8,AVG_CLOSE,2023-08,2024-07,0,0.0,0.0,0.0,0.0,0,0,0,0,False,"['bets<minimum', 'profit<=0', 'roi<minimum', 'positive_month_edge<minimum', 'drawdown_to_profit>maximum']"
diagnostic-league-outcome-odds-bucket-t1-away-1p0-1p8,AVG_CLOSE,2024-02,2025-01,0,0.0,0.0,0.0,0.0,0,0,0,0,False,"['bets<minimum', 'profit<=0', 'roi<minimum', 'positive_month_edge<minimum', 'drawdown_to_profit>maximum']"
