date,bets,staked,settled_bets,settled_profit,equity,cooldown_active,skipped_reason
2023-05-01,6,60.0,0,0.0,0.0,False,
2023-05-02,0,0.0,6,36.9,36.9,False,
2023-05-03,0,0.0,0,0.0,36.9,False,
2023-05-04,0,0.0,0,0.0,36.9,False,
2023-05-05,1,10.0,0,0.0,36.9,False,
2023-05-06,6,60.0,1,-10.0,26.9,False,
2023-05-07,1,10.0,6,3.7,30.6,False,
2023-05-08,0,0.0,1,-10.0,20.6,False,
2023-05-09,0,0.0,0,0.0,20.6,False,
2023-05-10,0,0.0,0,0.0,20.6,False,
2023-05-11,0,0.0,0,0.0,20.6,False,
2023-05-12,0,0.0,0,0.0,20.6,False,
2023-05-13,7,70.0,0,0.0,20.6,False,
2023-05-14,0,0.0,7,24.5,45.1,False,
2023-05-15,0,0.0,0,0.0,45.1,False,
2023-05-16,0,0.0,0,0.0,45.1,False,
2023-05-17,0,0.0,0,0.0,45.1,False,
2023-05-18,0,0.0,0,0.0,45.1,False,
2023-05-19,2,20.0,0,0.0,45.1,False,
2023-05-20,0,0.0,2,13.3,58.4,False,
2023-05-21,0,0.0,0,0.0,58.4,False,
2023-05-22,0,0.0,0,0.0,58.4,False,
2023-05-23,0,0.0,0,0.0,58.4,False,
2023-05-24,0,0.0,0,0.0,58.4,False,
2023-05-25,0,0.0,0,0.0,58.4,False,
2023-05-26,0,0.0,0,0.0,58.4,False,
2023-05-27,0,0.0,0,0.0,58.4,False,
2023-05-28,0,0.0,0,0.0,58.4,False,
2023-05-29,0,0.0,0,0.0,58.4,False,
2023-05-30,0,0.0,0,0.0,58.4,False,
2023-05-31,0,0.0,0,0.0,58.4,False,
2023-06-01,0,0.0,0,0.0,58.4,False,
2023-06-02,0,0.0,0,0.0,58.4,False,
2023-06-03,0,0.0,0,0.0,58.4,False,
2023-06-04,0,0.0,0,0.0,58.4,False,
2023-06-05,0,0.0,0,0.0,58.4,False,
2023-06-06,0,0.0,0,0.0,58.4,False,
2023-06-07,0,0.0,0,0.0,58.4,False,
2023-06-08,0,0.0,0,0.0,58.4,False,
2023-06-09,0,0.0,0,0.0,58.4,False,
2023-06-10,0,0.0,0,0.0,58.4,False,
2023-06-11,0,0.0,0,0.0,58.4,False,
2023-06-12,0,0.0,0,0.0,58.4,False,
2023-06-13,0,0.0,0,0.0,58.4,False,
2023-06-14,0,0.0,0,0.0,58.4,False,
2023-06-15,0,0.0,0,0.0,58.4,False,
2023-06-16,0,0.0,0,0.0,58.4,False,
2023-06-17,0,0.0,0,0.0,58.4,False,
2023-06-18,0,0.0,0,0.0,58.4,False,
2023-06-19,0,0.0,0,0.0,58.4,False,
2023-06-20,0,0.0,0,0.0,58.4,False,
2023-06-21,0,0.0,0,0.0,58.4,False,
2023-06-22,0,0.0,0,0.0,58.4,False,
2023-06-23,0,0.0,0,0.0,58.4,False,
2023-06-24,0,0.0,0,0.0,58.4,False,
2023-06-25,0,0.0,0,0.0,58.4,False,
2023-06-26,0,0.0,0,0.0,58.4,False,
2023-06-27,0,0.0,0,0.0,58.4,False,
2023-06-28,0,0.0,0,0.0,58.4,False,
2023-06-29,0,0.0,0,0.0,58.4,False,
2023-06-30,0,0.0,0,0.0,58.4,False,
2023-07-01,0,0.0,0,0.0,58.4,False,
2023-07-02,0,0.0,0,0.0,58.4,False,
2023-07-03,0,0.0,0,0.0,58.4,False,
2023-07-04,0,0.0,0,0.0,58.4,False,
2023-07-05,0,0.0,0,0.0,58.4,False,
2023-07-06,0,0.0,0,0.0,58.4,False,
2023-07-07,0,0.0,0,0.0,58.4,False,
2023-07-08,0,0.0,0,0.0,58.4,False,
2023-07-09,0,0.0,0,0.0,58.4,False,
2023-07-10,0,0.0,0,0.0,58.4,False,
2023-07-11,0,0.0,0,0.0,58.4,False,
2023-07-12,0,0.0,0,0.0,58.4,False,
2023-07-13,0,0.0,0,0.0,58.4,False,
2023-07-14,0,0.0,0,0.0,58.4,False,
2023-07-15,0,0.0,0,0.0,58.4,False,
2023-07-16,0,0.0,0,0.0,58.4,False,
2023-07-17,0,0.0,0,0.0,58.4,False,
2023-07-18,0,0.0,0,0.0,58.4,False,
2023-07-19,0,0.0,0,0.0,58.4,False,
2023-07-20,0,0.0,0,0.0,58.4,False,
2023-07-21,0,0.0,0,0.0,58.4,False,
2023-07-22,0,0.0,0,0.0,58.4,False,
2023-07-23,0,0.0,0,0.0,58.4,False,
2023-07-24,0,0.0,0,0.0,58.4,False,
2023-07-25,0,0.0,0,0.0,58.4,False,
2023-07-26,0,0.0,0,0.0,58.4,False,
2023-07-27,0,0.0,0,0.0,58.4,False,
2023-07-28,0,0.0,0,0.0,58.4,False,
2023-07-29,0,0.0,0,0.0,58.4,False,
2023-07-30,0,0.0,0,0.0,58.4,False,
2023-07-31,0,0.0,0,0.0,58.4,False,
2023-08-01,0,0.0,0,0.0,58.4,False,
2023-08-02,0,0.0,0,0.0,58.4,False,
2023-08-03,0,0.0,0,0.0,58.4,False,
