date,bets,staked,profit,cumulative_profit,drawdown
2021-11-05,1,0.42,0.51,0.51,0.0
2021-11-06,1,0.27,-0.27,0.24,0.27
2021-11-07,1,0.47,0.34,0.58,0.0
2021-11-13,1,0.1,-0.1,0.48,0.1
2021-11-26,1,0.32,-0.32,0.16,0.42
2021-12-03,1,1.2,-1.2,-1.04,1.62
2021-12-04,1,0.91,-0.91,-1.95,2.53
2021-12-05,1,1.25,-1.25,-3.2,3.78
2021-12-10,2,4.21,3.73,0.53,0.05
2021-12-11,3,3.46,1.47,2.0,0.0
2021-12-12,1,3.74,3.85,5.85,0.0
2021-12-27,1,0.4,-0.4,5.45,0.4
2022-01-02,1,0.1,-0.1,5.35,0.5
2022-01-13,1,0.3,0.26,5.61,0.24
2022-01-14,1,1.35,3.31,8.92,0.0
2022-01-16,1,0.12,-0.12,8.8,0.12
2022-02-05,1,0.81,-0.81,7.99,0.93
2022-02-06,1,1.25,-1.25,6.74,2.18
2022-02-12,3,6.64,8.07,14.81,0.0
2022-02-13,5,16.2,-9.2,5.61,9.2
2022-02-18,1,5.4,7.67,13.28,1.53
2022-02-19,3,4.33,5.25,18.53,0.0
2022-02-20,1,0.49,-0.49,18.04,0.49
2022-02-25,1,0.52,-0.52,17.52,1.01
2022-02-26,3,9.75,8.8,26.32,0.0
2022-02-27,1,0.48,1.28,27.6,0.0
2022-03-03,1,0.91,1.07,28.67,0.0
2022-03-05,1,8.34,-8.34,20.33,8.34
2022-03-12,2,0.29,-0.29,20.04,8.63
2022-03-13,2,5.09,-5.09,14.95,13.72
2022-03-15,2,6.64,0.29,15.24,13.43
2022-03-19,2,7.35,-7.35,7.89,20.78
2022-03-20,1,2.73,-2.73,5.16,23.51
2022-03-26,2,10.35,1.25,6.41,22.26
2022-03-27,2,4.28,6.8,13.21,15.46
2022-03-28,1,2.71,3.45,16.66,12.01
2022-04-09,4,10.49,8.75,25.41,3.26
2022-04-10,6,10.43,-1.8,23.61,5.06
2022-04-16,1,0.41,0.88,24.49,4.18
2022-04-17,1,0.28,-0.28,24.21,4.46
2022-04-24,1,0.2,0.22,24.43,4.24
2022-04-25,2,0.6,-0.6,23.83,4.84
2022-04-29,1,12.24,10.2,34.03,0.0
2022-04-30,2,15.0,16.37,50.4,0.0
2022-05-01,1,8.52,10.02,60.42,0.0
2022-05-07,1,1.99,-1.99,58.43,1.99
2022-05-08,1,0.17,-0.17,58.26,2.16
2022-05-21,3,15.0,-6.39,51.87,8.55
2022-08-14,1,1.9,3.17,55.04,5.38
2022-08-28,1,0.68,1.03,56.07,4.35
2022-09-17,1,0.18,-0.18,55.89,4.53
2022-09-24,1,1.22,-1.22,54.67,5.75
2022-09-25,1,0.43,-0.43,54.24,6.18
2022-10-07,1,0.26,-0.26,53.98,6.44
2022-10-08,2,0.94,-0.07,53.91,6.51
