test_month,date,bets,staked,profit,cumulative_profit,drawdown,cash_reserved
2022-03,2022-03-01,0,0.0,0.0,0.0,0.0,100.0
2022-03,2022-03-02,0,0.0,0.0,0.0,0.0,100.0
2022-03,2022-03-03,0,0.0,0.0,0.0,0.0,100.0
2022-03,2022-03-04,0,0.0,0.0,0.0,0.0,100.0
2022-03,2022-03-05,1,0.56,-0.56,-0.56,0.56,99.44
2022-03,2022-03-06,0,0.0,0.0,-0.56,0.56,100.0
2022-03,2022-03-07,0,0.0,0.0,-0.56,0.56,100.0
2022-03,2022-03-08,0,0.0,0.0,-0.56,0.56,100.0
2022-03,2022-03-09,0,0.0,0.0,-0.56,0.56,100.0
2022-03,2022-03-10,0,0.0,0.0,-0.56,0.56,100.0
2022-03,2022-03-11,0,0.0,0.0,-0.56,0.56,100.0
2022-03,2022-03-12,0,0.0,0.0,-0.56,0.56,100.0
2022-03,2022-03-13,2,0.37,-0.37,-0.93,0.93,99.63
2022-03,2022-03-14,0,0.0,0.0,-0.93,0.93,100.0
2022-03,2022-03-15,2,0.52,0.23,-0.7,0.7,99.48
2022-03,2022-03-16,0,0.0,0.0,-0.7,0.7,100.0
2022-03,2022-03-17,0,0.0,0.0,-0.7,0.7,100.0
2022-03,2022-03-18,0,0.0,0.0,-0.7,0.7,100.0
2022-03,2022-03-19,1,0.35,-0.35,-1.05,1.05,99.65
2022-03,2022-03-20,1,0.3,-0.3,-1.35,1.35,99.7
2022-03,2022-03-21,0,0.0,0.0,-1.35,1.35,100.0
2022-03,2022-03-22,0,0.0,0.0,-1.35,1.35,100.0
2022-03,2022-03-23,0,0.0,0.0,-1.35,1.35,100.0
2022-03,2022-03-24,0,0.0,0.0,-1.35,1.35,100.0
2022-03,2022-03-25,0,0.0,0.0,-1.35,1.35,100.0
2022-03,2022-03-26,2,0.66,0.09,-1.26,1.26,99.34
2022-03,2022-03-27,1,0.28,0.43,-0.83,0.83,99.72
2022-03,2022-03-28,1,0.13,0.17,-0.66,0.66,99.87
2022-03,2022-03-29,0,0.0,0.0,-0.66,0.66,100.0
2022-03,2022-03-30,0,0.0,0.0,-0.66,0.66,100.0
2022-03,2022-03-31,0,0.0,0.0,-0.66,0.66,100.0
2022-04,2022-04-01,0,0.0,0.0,0.0,0.0,100.0
2022-04,2022-04-02,0,0.0,0.0,0.0,0.0,100.0
2022-04,2022-04-03,0,0.0,0.0,0.0,0.0,100.0
2022-04,2022-04-04,0,0.0,0.0,0.0,0.0,100.0
2022-04,2022-04-05,0,0.0,0.0,0.0,0.0,100.0
2022-04,2022-04-06,0,0.0,0.0,0.0,0.0,100.0
2022-04,2022-04-07,0,0.0,0.0,0.0,0.0,100.0
2022-04,2022-04-08,0,0.0,0.0,0.0,0.0,100.0
2022-04,2022-04-09,1,0.22,0.17,0.17,0.0,99.78
2022-04,2022-04-10,3,0.63,-0.4,-0.23,0.4,99.37
2022-04,2022-04-11,0,0.0,0.0,-0.23,0.4,100.0
2022-04,2022-04-12,0,0.0,0.0,-0.23,0.4,100.0
2022-04,2022-04-13,0,0.0,0.0,-0.23,0.4,100.0
2022-04,2022-04-14,0,0.0,0.0,-0.23,0.4,100.0
2022-04,2022-04-15,0,0.0,0.0,-0.23,0.4,100.0
2022-04,2022-04-16,0,0.0,0.0,-0.23,0.4,100.0
2022-04,2022-04-17,0,0.0,0.0,-0.23,0.4,100.0
2022-04,2022-04-18,0,0.0,0.0,-0.23,0.4,100.0
2022-04,2022-04-19,0,0.0,0.0,-0.23,0.4,100.0
2022-04,2022-04-20,0,0.0,0.0,-0.23,0.4,100.0
2022-04,2022-04-21,0,0.0,0.0,-0.23,0.4,100.0
2022-04,2022-04-22,0,0.0,0.0,-0.23,0.4,100.0
2022-04,2022-04-23,0,0.0,0.0,-0.23,0.4,100.0
2022-04,2022-04-24,0,0.0,0.0,-0.23,0.4,100.0
2022-04,2022-04-25,0,0.0,0.0,-0.23,0.4,100.0
2022-04,2022-04-26,0,0.0,0.0,-0.23,0.4,100.0
2022-04,2022-04-27,0,0.0,0.0,-0.23,0.4,100.0
2022-04,2022-04-28,0,0.0,0.0,-0.23,0.4,100.0
2022-04,2022-04-29,1,0.82,0.68,0.45,0.0,99.18
2022-04,2022-04-30,2,1.19,1.29,1.74,0.0,98.81
2022-05,2022-05-01,1,0.59,0.69,0.69,0.0,99.41
2022-05,2022-05-02,0,0.0,0.0,0.69,0.0,100.0
2022-05,2022-05-03,0,0.0,0.0,0.69,0.0,100.0
2022-05,2022-05-04,0,0.0,0.0,0.69,0.0,100.0
2022-05,2022-05-05,0,0.0,0.0,0.69,0.0,100.0
2022-05,2022-05-06,0,0.0,0.0,0.69,0.0,100.0
2022-05,2022-05-07,1,0.23,-0.23,0.46,0.23,99.77
2022-05,2022-05-08,0,0.0,0.0,0.46,0.23,100.0
2022-05,2022-05-09,0,0.0,0.0,0.46,0.23,100.0
2022-05,2022-05-10,0,0.0,0.0,0.46,0.23,100.0
2022-05,2022-05-11,0,0.0,0.0,0.46,0.23,100.0
2022-05,2022-05-12,0,0.0,0.0,0.46,0.23,100.0
2022-05,2022-05-13,0,0.0,0.0,0.46,0.23,100.0
2022-05,2022-05-14,0,0.0,0.0,0.46,0.23,100.0
2022-05,2022-05-15,0,0.0,0.0,0.46,0.23,100.0
2022-05,2022-05-16,0,0.0,0.0,0.46,0.23,100.0
2022-05,2022-05-17,0,0.0,0.0,0.46,0.23,100.0
2022-05,2022-05-18,0,0.0,0.0,0.46,0.23,100.0
2022-05,2022-05-19,0,0.0,0.0,0.46,0.23,100.0
2022-05,2022-05-20,0,0.0,0.0,0.46,0.23,100.0
2022-05,2022-05-21,3,2.4,-1.27,-0.81,1.5,97.6
2022-05,2022-05-22,0,0.0,0.0,-0.81,1.5,100.0
2022-05,2022-05-23,0,0.0,0.0,-0.81,1.5,100.0
2022-05,2022-05-24,0,0.0,0.0,-0.81,1.5,100.0
2022-05,2022-05-25,0,0.0,0.0,-0.81,1.5,100.0
2022-05,2022-05-26,0,0.0,0.0,-0.81,1.5,100.0
2022-05,2022-05-27,0,0.0,0.0,-0.81,1.5,100.0
2022-05,2022-05-28,0,0.0,0.0,-0.81,1.5,100.0
2022-05,2022-05-29,0,0.0,0.0,-0.81,1.5,100.0
2022-05,2022-05-30,0,0.0,0.0,-0.81,1.5,100.0
2022-05,2022-05-31,0,0.0,0.0,-0.81,1.5,100.0
2022-08,2022-08-01,0,0.0,0.0,0.0,0.0,100.0
2022-08,2022-08-02,0,0.0,0.0,0.0,0.0,100.0
2022-08,2022-08-03,0,0.0,0.0,0.0,0.0,100.0
2022-08,2022-08-04,0,0.0,0.0,0.0,0.0,100.0
2022-08,2022-08-05,0,0.0,0.0,0.0,0.0,100.0
2022-08,2022-08-06,0,0.0,0.0,0.0,0.0,100.0
2022-08,2022-08-07,0,0.0,0.0,0.0,0.0,100.0
2022-08,2022-08-08,0,0.0,0.0,0.0,0.0,100.0
2022-08,2022-08-09,0,0.0,0.0,0.0,0.0,100.0
2022-08,2022-08-10,0,0.0,0.0,0.0,0.0,100.0
2022-08,2022-08-11,0,0.0,0.0,0.0,0.0,100.0
2022-08,2022-08-12,0,0.0,0.0,0.0,0.0,100.0
2022-08,2022-08-13,0,0.0,0.0,0.0,0.0,100.0
2022-08,2022-08-14,1,0.42,0.7,0.7,0.0,99.58
2022-08,2022-08-15,0,0.0,0.0,0.7,0.0,100.0
2022-08,2022-08-16,0,0.0,0.0,0.7,0.0,100.0
2022-08,2022-08-17,0,0.0,0.0,0.7,0.0,100.0
2022-08,2022-08-18,0,0.0,0.0,0.7,0.0,100.0
2022-08,2022-08-19,0,0.0,0.0,0.7,0.0,100.0
2022-08,2022-08-20,0,0.0,0.0,0.7,0.0,100.0
2022-08,2022-08-21,0,0.0,0.0,0.7,0.0,100.0
2022-08,2022-08-22,0,0.0,0.0,0.7,0.0,100.0
2022-08,2022-08-23,0,0.0,0.0,0.7,0.0,100.0
2022-08,2022-08-24,0,0.0,0.0,0.7,0.0,100.0
2022-08,2022-08-25,0,0.0,0.0,0.7,0.0,100.0
2022-08,2022-08-26,0,0.0,0.0,0.7,0.0,100.0
2022-08,2022-08-27,0,0.0,0.0,0.7,0.0,100.0
2022-08,2022-08-28,1,0.12,0.18,0.88,0.0,99.88
2022-08,2022-08-29,0,0.0,0.0,0.88,0.0,100.0
2022-08,2022-08-30,0,0.0,0.0,0.88,0.0,100.0
2022-08,2022-08-31,0,0.0,0.0,0.88,0.0,100.0
2022-09,2022-09-01,0,0.0,0.0,0.0,0.0,100.0
2022-09,2022-09-02,0,0.0,0.0,0.0,0.0,100.0
2022-09,2022-09-03,0,0.0,0.0,0.0,0.0,100.0
2022-09,2022-09-04,0,0.0,0.0,0.0,0.0,100.0
2022-09,2022-09-05,0,0.0,0.0,0.0,0.0,100.0
2022-09,2022-09-06,0,0.0,0.0,0.0,0.0,100.0
2022-09,2022-09-07,0,0.0,0.0,0.0,0.0,100.0
2022-09,2022-09-08,0,0.0,0.0,0.0,0.0,100.0
2022-09,2022-09-09,0,0.0,0.0,0.0,0.0,100.0
2022-09,2022-09-10,0,0.0,0.0,0.0,0.0,100.0
2022-09,2022-09-11,0,0.0,0.0,0.0,0.0,100.0
2022-09,2022-09-12,0,0.0,0.0,0.0,0.0,100.0
2022-09,2022-09-13,0,0.0,0.0,0.0,0.0,100.0
2022-09,2022-09-14,0,0.0,0.0,0.0,0.0,100.0
2022-09,2022-09-15,0,0.0,0.0,0.0,0.0,100.0
2022-09,2022-09-16,0,0.0,0.0,0.0,0.0,100.0
2022-09,2022-09-17,1,0.1,-0.1,-0.1,0.1,99.9
2022-09,2022-09-18,0,0.0,0.0,-0.1,0.1,100.0
2022-09,2022-09-19,0,0.0,0.0,-0.1,0.1,100.0
2022-09,2022-09-20,0,0.0,0.0,-0.1,0.1,100.0
2022-09,2022-09-21,0,0.0,0.0,-0.1,0.1,100.0
2022-09,2022-09-22,0,0.0,0.0,-0.1,0.1,100.0
2022-09,2022-09-23,0,0.0,0.0,-0.1,0.1,100.0
2022-09,2022-09-24,1,0.45,-0.45,-0.55,0.55,99.55
2022-09,2022-09-25,1,0.26,-0.26,-0.81,0.81,99.74
2022-09,2022-09-26,0,0.0,0.0,-0.81,0.81,100.0
2022-09,2022-09-27,0,0.0,0.0,-0.81,0.81,100.0
2022-09,2022-09-28,0,0.0,0.0,-0.81,0.81,100.0
2022-09,2022-09-29,0,0.0,0.0,-0.81,0.81,100.0
