month,train_window,status,training_candidates,bets,active_days,staked,profit,roi_pct,available_capacity,test_candidates,alpha,safety_margin,estimator_profile,maximum_odds,validation_rmse_pct,outcome_probability_validation_brier,market_probability_validation_brier,outcome_probability_weight,average_closing_edge_pct,positive_clv_rate,outcome_counts
2021-09,2020-09-01..2021-08-31,ABSTAIN_INNER_VALIDATION,450,0,0,0.0,0.0,0.0,3000.0,,,,,,,,,,,,
2021-10,2020-10-01..2021-09-30,ABSTAIN_INNER_VALIDATION,902,0,0,0.0,0.0,0.0,3100.0,,,,,,,,,,,,
2021-11,2020-11-01..2021-10-31,ABSTAIN_INNER_VALIDATION,1470,0,0,0.0,0.0,0.0,3000.0,,,,,,,,,,,,
2021-12,2020-12-01..2021-11-30,ABSTAIN_INNER_VALIDATION,1922,0,0,0.0,0.0,0.0,3100.0,,,,,,,,,,,,
2022-01,2021-01-01..2021-12-31,ABSTAIN_INNER_VALIDATION,2429,0,0,0.0,0.0,0.0,3100.0,,,,,,,,,,,,
2022-02,2021-02-01..2022-01-31,ABSTAIN_INNER_VALIDATION,2880,0,0,0.0,0.0,0.0,2800.0,,,,,,,,,,,,
2022-03,2021-03-01..2022-02-28,FROZEN_MODEL_EVALUATED,3525,10,8,3.23,-0.83,-25.7,3100.0,489.0,100.0,0.5,ridge,5.0,0.0215,,,0.0,10.5205,0.9,"{'home': 8, 'away': 2}"
2022-04,2021-04-01..2022-03-31,FROZEN_MODEL_EVALUATED,4014,7,4,4.02,2.51,62.44,3000.0,677.0,10.0,0.5,ridge,5.0,0.0218,,,0.0,10.2923,0.8571,"{'home': 6, 'away': 1}"
2022-05,2021-05-01..2022-04-30,FROZEN_MODEL_EVALUATED,4691,5,3,2.89,-0.74,-25.61,3100.0,345.0,10.0,0.5,ridge,5.0,0.0226,,,0.0,4.5869,0.6,"{'home': 3, 'away': 2}"
2022-08,2021-08-01..2022-07-31,FROZEN_MODEL_EVALUATED,5063,2,2,0.74,1.2,162.16,3100.0,569.0,10.0,0.5,ridge,5.0,0.0241,,,0.0,27.0917,1.0,{'away': 2}
2022-09,2021-09-01..2022-08-31,FROZEN_MODEL_EVALUATED,5219,3,3,0.89,-0.89,-100.0,3000.0,423.0,100.0,0.25,ridge,5.0,0.0247,,,0.0,11.2972,1.0,"{'home': 2, 'away': 1}"
2022-10,2021-10-01..2022-09-30,FROZEN_MODEL_EVALUATED,5190,2,2,1.03,0.88,85.44,3100.0,732.0,1.0,0.25,ridge,5.0,0.0251,,,0.0,8.6156,1.0,{'home': 2}
2022-11,2021-11-01..2022-10-31,FROZEN_MODEL_EVALUATED,5354,5,4,0.73,-0.34,-46.58,3000.0,340.0,10.0,0.0,ridge,5.0,0.0235,,,0.0,1.723,0.6,"{'draw': 2, 'home': 3}"
