month,train_window,status,training_candidates,bets,active_days,staked,profit,roi_pct,available_capacity,test_candidates,alpha,safety_margin,estimator_profile,maximum_odds,validation_rmse_pct,outcome_probability_validation_brier,market_probability_validation_brier,outcome_probability_weight,positive_clv_validation_brier,minimum_positive_clv_probability,average_closing_edge_pct,positive_clv_rate,outcome_counts
2021-10,2021-01-01..2021-09-30,ABSTAIN_INNER_VALIDATION,902,0,0,0.0,0.0,0.0,3100.0,,,,,,,,,,,,,,
2021-11,2021-02-01..2021-10-31,ABSTAIN_INNER_VALIDATION,1470,0,0,0.0,0.0,0.0,3000.0,,,,,,,,,,,,,,
2021-12,2021-03-01..2021-11-30,FROZEN_MODEL_EVALUATED,1922,3,3,0.63,0.33,52.38,3100.0,507.0,1.0,0.5,ridge,5.0,8.0083,,,0.0,0.230659,0.0,2.6388,0.6667,"{'home': 2, 'away': 1}"
2022-01,2021-04-01..2021-12-31,ABSTAIN_INNER_VALIDATION,2429,0,0,0.0,0.0,0.0,3100.0,,,,,,,,,,,,,,
2022-02,2021-05-01..2022-01-31,FROZEN_MODEL_EVALUATED,2880,27,10,8.1,2.41,29.75,2800.0,645.0,100.0,0.0,ridge,5.0,8.2046,,,0.0,0.225134,0.0,1.4373,0.5926,"{'draw': 9, 'home': 13, 'away': 5}"
2022-03,2021-06-01..2022-02-28,FROZEN_MODEL_EVALUATED,3525,13,9,3.56,-0.91,-25.56,3100.0,489.0,100.0,0.25,ridge,5.0,8.3614,,,0.0,0.227982,0.0,8.5629,0.8462,"{'home': 9, 'away': 3, 'draw': 1}"
2022-04,2021-07-01..2022-03-31,FROZEN_MODEL_EVALUATED,4014,8,5,3.69,2.11,57.18,3000.0,677.0,100.0,0.25,ridge,5.0,8.5545,,,0.0,0.229945,0.0,10.6636,0.875,"{'home': 6, 'away': 2}"
2022-05,2021-08-01..2022-04-30,FROZEN_MODEL_EVALUATED,4654,5,3,2.68,-0.68,-25.37,3100.0,345.0,100.0,0.25,ridge,5.0,8.8235,,,0.0,0.228436,0.0,4.5869,0.6,"{'home': 3, 'away': 2}"
2022-08,2021-11-01..2022-07-31,ABSTAIN_INNER_VALIDATION,3630,0,0,0.0,0.0,0.0,3100.0,,,,,,,,,,,,,,
2022-09,2021-12-01..2022-08-31,FROZEN_MODEL_EVALUATED,3747,13,6,2.44,-1.78,-72.95,3000.0,423.0,1.0,0.0,ridge,5.0,8.5988,,,0.0,0.232027,0.0,5.1575,0.6923,"{'away': 7, 'draw': 3, 'home': 3}"
