month,train_window,status,training_candidates,bets,active_days,staked,profit,roi_pct,available_capacity,test_candidates,alpha,safety_margin,estimator_profile,maximum_odds,validation_rmse_pct,outcome_probability_validation_brier,market_probability_validation_brier,outcome_probability_weight,positive_clv_validation_brier,minimum_positive_clv_probability,average_closing_edge_pct,positive_clv_rate,outcome_counts
2021-10,2021-01-01..2021-09-30,ABSTAIN_INNER_VALIDATION,3694,0,0,0.0,0.0,0.0,3100.0,,,,,,,,,,,,,,
2021-11,2021-02-01..2021-10-31,FROZEN_MODEL_EVALUATED,5883,5,5,2.5,0.99,39.6,3000.0,1688.0,100.0,0.0,ridge,5.0,0.121,,,0.0,,0.0,8.287,1.0,{'home': 5}
2021-12,2021-03-01..2021-11-30,FROZEN_MODEL_EVALUATED,7571,9,6,3.78,-0.73,-19.31,3100.0,1802.0,10.0,0.25,ridge,5.0,0.1118,,,0.0,,0.0,5.5179,0.7778,"{'home': 6, 'draw': 1, 'away': 2}"
2022-01,2021-04-01..2021-12-31,FROZEN_MODEL_EVALUATED,9373,3,3,0.61,0.47,77.05,3100.0,1685.0,100.0,0.25,ridge,5.0,0.1104,,,0.0,,0.0,18.5016,1.0,"{'away': 1, 'home': 2}"
2022-02,2021-05-01..2022-01-31,FROZEN_MODEL_EVALUATED,11058,14,6,6.81,4.14,60.79,2800.0,2287.0,100.0,0.0,ridge,5.0,0.119,,,0.0,,0.0,9.3261,0.9286,"{'home': 9, 'away': 3, 'draw': 2}"
2022-03,2021-06-01..2022-02-28,FROZEN_MODEL_EVALUATED,13345,16,10,5.0,0.69,13.8,3100.0,1804.0,100.0,0.25,ridge,5.0,0.1201,,,0.0,,0.0,8.3544,0.75,"{'home': 12, 'away': 4}"
2022-04,2021-07-01..2022-03-31,FROZEN_MODEL_EVALUATED,15149,10,6,3.94,2.68,68.02,3000.0,2415.0,100.0,0.25,ridge,5.0,0.1198,,,0.0,,0.0,11.481,0.9,"{'home': 8, 'away': 2}"
2022-05,2021-08-01..2022-04-30,FROZEN_MODEL_EVALUATED,17418,4,2,1.73,-0.2,-11.56,3100.0,1164.0,10.0,0.5,ridge,5.0,0.1214,,,0.0,,0.0,4.3018,0.5,"{'home': 3, 'away': 1}"
2022-08,2021-11-01..2022-07-31,ABSTAIN_INNER_VALIDATION,13092,0,0,0.0,0.0,0.0,3100.0,,,,,,,,,,,,,,
2022-09,2021-12-01..2022-08-31,ABSTAIN_INNER_VALIDATION,13369,0,0,0.0,0.0,0.0,3000.0,,,,,,,,,,,,,,
