test_month,candidate_id,source_file,source_row,date,league,home_team,away_team,outcome,probability,conservative_probability,odds,raw_odds,conservative_ev_pct,reference_dispersion,reference_bookmakers,execution_cost_rate,execution_bookmaker,odds_band,source_type,implied_probability,price_ratio,probability_uncertainty,relative_dispersion,log_odds,probability_squared,odds_probability_interaction,reference_depth_inverse,raw_net_odds_gap_pct,outcome_odds_band,outcome_source_type,source_odds_band,direct_predicted_clv_pct,direct_lower_clv_pct,direct_staking_probability,staking_probability_profile,decision_frozen_before_closing_and_result,movement_predicted_clv_pct,movement_lower_clv_pct,movement_staking_probability,predicted_closing_edge_pct,model_disagreement_pct,lower_closing_edge_pct,staking_probability,stake_multiplier,stake,stake_policy,actual_outcome,closing_edge_pct,positive_clv,closing_probability,closing_fair_odds,won,profit
2022-08,data\historical_csv\football-data\2223\I2.csv:11,data\historical_csv\football-data\2223\I2.csv,11,2022-08-14,I2,Venezia,Genoa,away,0.4250808965334687,0.4171085909118953,2.6660000000000004,2.7,11.20115033711131,0.0059723056215734,5,0.0,WH,2.0-3.0,sportsbook,0.3750937734433608,1.1332656701582278,0.0079723056215734,0.014049809507502,0.980579221756517,0.1806937685976975,0.4168254947063513,0.2,1.275318829707417,away:2.0-3.0,away:sportsbook,sportsbook:2.0-3.0,11.410534940138664,9.182037969212251,0.4095350261410811,lower_clv,True,11.6587921753718,8.544332687932176,0.4071430333380801,11.534663557755232,0.2482572352331367,8.544332687932176,0.4071430333380801,1.0,3.21,model_agreement_0.625_kelly,away,29.635559450263,True,0.4862549116664027,2.056534496634667,True,5.35
2022-08,data\historical_csv\football-data\2223\I2.csv:29,data\historical_csv\football-data\2223\I2.csv,29,2022-08-28,I2,Pisa,Genoa,away,0.4247787610619469,0.4172544014904518,2.519,2.55,5.106383735444808,0.0055243595714951,5,0.0,WH,2.0-3.0,sportsbook,0.3969829297340214,1.0700176991150443,0.0075243595714951,0.0130052631578947,0.9238619973704733,0.1804369958493225,0.3924369546352452,0.2,1.2306470821754625,away:2.0-3.0,away:sportsbook,sportsbook:2.0-3.0,6.331468233057233,4.102971262130822,0.4132710252565733,lower_clv,True,6.232155533508554,3.2894235571918395,0.4100413797427226,6.281811883282893,0.09931269954867883,3.2894235571918395,0.4100413797427226,1.0,1.35,model_agreement_0.625_kelly,away,24.54780387861122,True,0.4944335207566939,2.0225165932713742,True,2.05
2022-09,data\historical_csv\football-data\2223\SP2.csv:71,data\historical_csv\football-data\2223\SP2.csv,71,2022-09-24,SP2,Malaga,Villarreal B,home,0.4248766561540922,0.4120140408054376,2.5876,2.62,6.612753198815047,0.0108626153486546,5,0.0,WH,2.0-3.0,sportsbook,0.3864584943577059,1.0994108354643293,0.0128626153486546,0.0255665148727658,0.9507308051876934,0.1805201729446827,0.4039433254108349,0.2,1.2521255217189609,home:2.0-3.0,home:sportsbook,sportsbook:2.0-3.0,9.890422965446332,5.380316106853352,0.4072511829759365,lower_clv,True,10.142628353119964,7.067566241593992,0.4137717044427036,10.016525659283147,0.2522053876736319,5.380316106853352,0.4072511829759365,1.0,2.12,model_agreement_0.625_kelly,draw,19.410009841378084,True,0.4614701261453782,2.166987510877285,False,-2.12
2022-09,data\historical_csv\football-data\2223\SP2.csv:73,data\historical_csv\football-data\2223\SP2.csv,73,2022-09-25,SP2,Burgos,Levante,away,0.4169265033407572,0.410223186946647,2.568,2.6,5.34531440789896,0.0047033163941102,5,0.0,WH,2.0-3.0,sportsbook,0.3894080996884735,1.0706672605790646,0.0067033163941102,0.011280924470916,0.9431273858277148,0.1738277091879504,0.3932148031780583,0.2,1.2461059190031154,away:2.0-3.0,away:sportsbook,sportsbook:2.0-3.0,6.659223937874223,2.1491170792812424,0.397776935666983,lower_clv,True,6.570927793387082,3.5191580057851723,0.4031119860038363,6.6150758656306525,0.08829614448714018,2.1491170792812424,0.397776935666983,1.0,0.86,model_agreement_0.625_kelly,draw,3.863061648379551,True,0.4044511746432225,2.4724863288680705,False,-0.86
2022-10,data\historical_csv\football-data\2223\T1.csv:92,data\historical_csv\football-data\2223\T1.csv,92,2022-10-21,T1,Antalyaspor,Istanbulspor,home,0.5424024404823852,0.5382719030360479,2.0780000000000003,2.1,11.852901450890773,0.0021305374463372,5,0.0,VC,2.0-3.0,sportsbook,0.4812319538017324,1.1271122713223964,0.0041305374463372,0.0039279643440439,0.7314058926770358,0.2942004074412473,0.3967163411712217,0.2,1.0587102983637964,home:2.0-3.0,home:sportsbook,sportsbook:2.0-3.0,11.5283209199754,6.970814521319455,0.5147777407185729,lower_clv,True,11.237558909450506,8.746397072731483,0.5233224113220956,11.382939914712953,0.2907620105248938,6.970814521319455,0.5147777407185729,1.0,4.04,model_agreement_0.625_kelly,home,13.01538114565053,True,0.5438661267836887,1.838687777659168,True,4.36
2023-02,data\historical_csv\football-data\2223\I2.csv:242,data\historical_csv\football-data\2223\I2.csv,242,2023-02-17,I2,Pisa,Venezia,away,0.2839855673002867,0.2771865331353201,3.646,3.7,1.0622099811377297,0.0047990341649665,5,0.0,WH,3.0-4.0,sportsbook,0.274273176083379,1.0354113783768455,0.0067990341649665,0.0168988664127852,1.293630676256471,0.0806478024348656,0.3673724414737476,0.2,1.4810751508502529,away:3.0-4.0,away:sportsbook,sportsbook:3.0-4.0,2.88443410722443,2.88443410722443,0.2821844051212958,lower_clv,True,3.5951352421596416,3.5951352421596416,0.2841336676965432,3.239784674692036,0.7107011349352117,2.88443410722443,0.2821844051212958,1.0,0.68,model_agreement_0.625_kelly,draw,-0.752318601732227,False,0.272209767960142,3.6736374579564086,False,-0.68
2023-02,data\historical_csv\football-data\2223\B1.csv:234,data\historical_csv\football-data\2223\B1.csv,234,2023-02-19,B1,Kortrijk,Anderlecht,home,0.2605710148794662,0.2555716900790206,3.94,4.0,0.6952458911340997,0.0029993248004456,4,0.0,B365,3.0-4.0,sportsbook,0.2538071065989847,1.0266497986250969,0.0049993248004456,0.0115105849429685,1.3711807233098423,0.067897253795315,0.3572899526560062,0.25,1.522842639593902,home:3.0-4.0,home:sportsbook,sportsbook:3.0-4.0,2.8650880145157918,2.8650880145157918,0.2610789035901416,lower_clv,True,2.9043440810607057,2.9043440810607057,0.2611785382768038,2.884716047788249,0.03925606654491398,2.8650880145157918,0.2610789035901416,0.5,0.3,model_agreement_0.625_kelly,draw,-2.250016112245645,False,0.2480964058064831,4.030691201467895,False,-0.3
2023-02,data\historical_csv\football-data\2223\F2.csv:240,data\historical_csv\football-data\2223\F2.csv,240,2023-02-20,F2,Nimes,St Etienne,home,0.2742936179339074,0.267481730242012,3.842,3.9,2.766480758981027,0.0048118876918953,4,0.0,PS,3.0-4.0,sportsbook,0.2602811035918792,1.0538360801020723,0.0068118876918953,0.0175428350398397,1.345993064346365,0.0752369888392723,0.3691973073335111,0.25,1.5096304008328951,home:3.0-4.0,home:sportsbook,sportsbook:3.0-4.0,4.036879771563771,4.036879771563771,0.2707883388119827,lower_clv,True,4.044665691060478,4.044665691060478,0.2708086040891735,4.040772731312124,0.007785919496707372,4.036879771563771,0.2707883388119827,0.5,0.44,model_agreement_0.625_kelly,away,0.3250374560667346,True,0.2611271146696167,3.829552519910543,False,-0.44
2023-02,data\historical_csv\football-data\2223\E3.csv:373,data\historical_csv\football-data\2223\E3.csv,373,2023-02-21,E3,Grimsby,Harrogate,home,0.5385975187269482,0.5244919841641833,1.931,1.95,1.2794021421038029,0.0121055345627648,5,0.0,IW,1.5-2.0,sportsbook,0.5178663904712584,1.0400318086617368,0.0141055345627648,0.0224760310656053,0.6580380034463774,0.2900872871788252,0.3544176358842538,0.2,0.9839461418953864,home:1.5-2.0,home:sportsbook,sportsbook:1.5-2.0,2.4867227825542604,2.4867227825542604,0.5307442919862986,lower_clv,True,3.3133978138590647,3.3133978138590647,0.5350253641318439,2.900060298206663,0.8266750313048044,2.4867227825542604,0.5307442919862986,1.0,1.67,model_agreement_0.625_kelly,draw,2.436911214306847,True,0.5304863346157785,1.8850626957700645,False,-1.67
2023-02,data\historical_csv\football-data\2223\F2.csv:250,data\historical_csv\football-data\2223\F2.csv,250,2023-02-27,F2,Amiens,Bordeaux,draw,0.3014033106072671,0.2862114530580802,3.45,3.5,-1.257048694962326,0.0131918575491869,4,0.0,B365,3.0-4.0,sportsbook,0.2898550724637681,1.0398414215950715,0.0151918575491868,0.0437681242538708,1.2383742310432684,0.0908439556450207,0.3732500930071697,0.25,1.4492753623188248,draw:3.0-4.0,draw:sportsbook,sportsbook:3.0-4.0,4.129136762701991,4.129136762701991,0.301823584819426,lower_clv,True,4.107327465439847,4.107327465439847,0.301760369465043,4.118232114070919,0.02180929726214398,4.107327465439847,0.301760369465043,0.5,0.52,model_agreement_0.625_kelly,away,-1.1099887166424738,False,0.2866377138648044,3.4887244477244894,False,-0.52
