date,league,home_team,away_team,outcome,actual_result,odds_bucket,fav_relation,market_shape,model_delta_bucket,pure_delta_bucket,strength_gap,goal_env,league_draw_rate_bucket,draw_market_prob_bucket,probability,lower_ev,odds,stake,won,profit,rule_label,month
2024-11-02,E1,Oxford,Swansea,draw,away,"[2.8,3.5)",market_non_favorite,balanced,medium_model_edge,pure_disagrees,moderate_gap,normal_goal,normal_draw_league,mid_draw_prob,0.323448,-0.009423,3.2,1.0,False,-1.0,"ALL|draw|[2.8,3.5)|ev>=-0.02",2024-11
2024-11-02,I1,Udinese,Juventus,draw,away,"[2.8,3.5)",market_non_favorite,clear_favorite,medium_model_edge,pure_disagrees,large_gap,normal_goal,normal_draw_league,mid_draw_prob,0.323282,-0.016558,3.2,1.0,False,-1.0,"ALL|draw|[2.8,3.5)|ev>=-0.02",2024-11
2024-11-03,T1,Bodrumspor,Alanyaspor,draw,draw,"[2.8,3.5)",market_non_favorite,balanced,strong_model_edge,pure_disagrees,even_strength,normal_goal,normal_draw_league,mid_draw_prob,0.401528,0.078485,2.8,1.0,True,1.8,"ALL|draw|[2.8,3.5)|ev>=-0.02",2024-11
2024-11-03,N1,Waalwijk,Almere City,draw,home,"[2.8,3.5)",market_non_favorite,balanced,medium_model_edge,pure_disagrees,even_strength,normal_goal,low_draw_league,mid_draw_prob,0.316395,-0.014779,3.3,1.0,False,-1.0,"ALL|draw|[2.8,3.5)|ev>=-0.02",2024-11
2024-11-04,SP1,Celta,Getafe,draw,home,"[2.8,3.5)",market_non_favorite,clear_favorite,medium_model_edge,pure_disagrees,even_strength,normal_goal,normal_draw_league,mid_draw_prob,0.328819,0.001768,3.2,1.0,False,-1.0,"ALL|draw|[2.8,3.5)|ev>=-0.02",2024-11
2024-11-08,F2,Ajaccio,Clermont,draw,home,"[2.8,3.5)",market_non_favorite,balanced,strong_model_edge,pure_disagrees,even_strength,normal_goal,normal_draw_league,mid_draw_prob,0.37227,0.025707,2.88,1.0,False,-1.0,"ALL|draw|[2.8,3.5)|ev>=-0.02",2024-11
2024-11-10,E0,Nott'm Forest,Newcastle,draw,away,"[2.8,3.5)",market_non_favorite,balanced,medium_model_edge,pure_disagrees,moderate_gap,normal_goal,low_draw_league,mid_draw_prob,0.314508,-0.015834,3.3,1.0,False,-1.0,"ALL|draw|[2.8,3.5)|ev>=-0.02",2024-11
2024-11-10,I2,Reggiana,Catanzaro,draw,draw,"[2.8,3.5)",market_non_favorite,balanced,medium_model_edge,pure_small_edge,moderate_gap,normal_goal,high_draw_league,mid_draw_prob,0.322995,-0.018054,3.2,1.0,True,2.2,"ALL|draw|[2.8,3.5)|ev>=-0.02",2024-11
2024-11-16,SP2,Levante,Elche,draw,draw,"[2.8,3.5)",market_non_favorite,clear_favorite,medium_model_edge,pure_disagrees,moderate_gap,normal_goal,high_draw_league,mid_draw_prob,0.32468,-0.007846,3.2,1.0,True,2.2,"ALL|draw|[2.8,3.5)|ev>=-0.02",2024-11
2024-11-23,E1,Bristol City,Burnley,draw,away,"[2.8,3.5)",market_non_favorite,balanced,medium_model_edge,pure_disagrees,even_strength,normal_goal,normal_draw_league,mid_draw_prob,0.320958,-0.002038,3.25,1.0,False,-1.0,"ALL|draw|[2.8,3.5)|ev>=-0.02",2024-11
2024-11-23,SP2,Granada,Cadiz,draw,draw,"[2.8,3.5)",market_non_favorite,clear_favorite,medium_model_edge,pure_disagrees,even_strength,normal_goal,high_draw_league,mid_draw_prob,0.320683,-0.005332,3.25,1.0,True,2.25,"ALL|draw|[2.8,3.5)|ev>=-0.02",2024-11
2024-11-23,SP2,Malaga,Santander,draw,draw,"[2.8,3.5)",market_non_favorite,balanced,medium_model_edge,pure_disagrees,moderate_gap,normal_goal,high_draw_league,mid_draw_prob,0.321418,-0.018283,3.2,1.0,True,2.2,"ALL|draw|[2.8,3.5)|ev>=-0.02",2024-11
2024-11-24,SP2,La Coruna,Sp Gijon,draw,draw,"[2.8,3.5)",market_non_favorite,clear_favorite,medium_model_edge,pure_small_edge,even_strength,normal_goal,high_draw_league,mid_draw_prob,0.320683,-0.005332,3.25,1.0,True,2.25,"ALL|draw|[2.8,3.5)|ev>=-0.02",2024-11
2024-11-30,T1,Buyuksehyr,Goztep,draw,home,"[2.8,3.5)",market_non_favorite,clear_favorite,medium_model_edge,pure_disagrees,large_gap,normal_goal,normal_draw_league,mid_draw_prob,0.321308,-0.008904,3.25,1.0,False,-1.0,"ALL|draw|[2.8,3.5)|ev>=-0.02",2024-11
2024-11-30,SP2,Cadiz,La Coruna,draw,away,"[2.8,3.5)",market_non_favorite,clear_favorite,medium_model_edge,pure_disagrees,moderate_gap,normal_goal,high_draw_league,mid_draw_prob,0.321248,-0.018829,3.2,1.0,False,-1.0,"ALL|draw|[2.8,3.5)|ev>=-0.02",2024-11
