month,train_window,status,training_candidates,bets,active_days,staked,profit,roi_pct,available_capacity,test_candidates,alpha,safety_margin,maximum_odds,validation_rmse_pct,average_closing_edge_pct,positive_clv_rate,outcome_counts
2021-09,2021-03-01..2021-08-31,ABSTAIN_INNER_VALIDATION,450,0,0,0.0,0.0,0.0,3000.0,,,,,,,,
2021-10,2021-04-01..2021-09-30,ABSTAIN_INNER_VALIDATION,902,0,0,0.0,0.0,0.0,3100.0,,,,,,,,
2021-11,2021-05-01..2021-10-31,FROZEN_MODEL_EVALUATED,1470,6,5,2.63,2.71,103.04,3000.0,452.0,10.0,0.25,5.0,7.883,13.5642,1.0,"{'away': 1, 'home': 5}"
2021-12,2021-06-01..2021-11-30,FROZEN_MODEL_EVALUATED,1922,12,7,3.28,-0.35,-10.67,3100.0,508.0,10.0,0.25,5.0,7.2273,4.4801,0.75,"{'home': 7, 'away': 3, 'draw': 2}"
2022-01,2021-07-01..2021-12-31,FROZEN_MODEL_EVALUATED,2430,8,7,1.43,0.86,60.14,3100.0,451.0,10.0,0.0,5.0,7.683,7.1632,0.625,"{'away': 3, 'draw': 1, 'home': 4}"
2022-02,2021-08-01..2022-01-31,FROZEN_MODEL_EVALUATED,2844,29,11,12.02,1.36,11.31,2800.0,647.0,100.0,0.0,5.0,8.5869,5.5775,0.6207,"{'home': 15, 'draw': 9, 'away': 5}"
2022-03,2021-09-01..2022-02-28,FROZEN_MODEL_EVALUATED,3078,39,17,13.91,5.76,41.41,3100.0,491.0,100.0,0.0,5.0,8.522,7.5722,0.7179,"{'home': 17, 'away': 16, 'draw': 6}"
2022-04,2021-10-01..2022-03-31,FROZEN_MODEL_EVALUATED,3117,8,5,4.94,4.48,90.69,3000.0,677.0,1.0,0.5,5.0,8.5133,14.508,0.875,"{'away': 4, 'home': 4}"
2022-05,2021-11-01..2022-04-30,FROZEN_MODEL_EVALUATED,3226,8,5,3.74,-0.59,-15.78,3100.0,345.0,100.0,0.25,5.0,9.4085,4.7934,0.75,"{'home': 3, 'away': 3, 'draw': 2}"
2022-08,2022-02-01..2022-07-31,ABSTAIN_INNER_VALIDATION,2224,0,0,0.0,0.0,0.0,3100.0,,,,,,,,
2022-09,2022-03-01..2022-08-31,FROZEN_MODEL_EVALUATED,2146,21,12,5.11,-3.21,-62.82,3000.0,423.0,1.0,0.0,5.0,8.8633,4.6504,0.619,"{'away': 10, 'draw': 4, 'home': 7}"
