month,train_window,status,training_candidates,bets,active_days,staked,profit,roi_pct,available_capacity,test_candidates,alpha,safety_margin,maximum_odds,validation_rmse_pct,average_closing_edge_pct,positive_clv_rate,outcome_counts
2021-09,2020-12-01..2021-08-31,ABSTAIN_INNER_VALIDATION,450,0,0,0.0,0.0,0.0,3000.0,,,,,,,,
2021-10,2021-01-01..2021-09-30,ABSTAIN_INNER_VALIDATION,902,0,0,0.0,0.0,0.0,3100.0,,,,,,,,
2021-11,2021-02-01..2021-10-31,ABSTAIN_INNER_VALIDATION,1470,0,0,0.0,0.0,0.0,3000.0,,,,,,,,
2021-12,2021-03-01..2021-11-30,FROZEN_MODEL_EVALUATED,1922,12,7,3.16,-0.35,-11.08,3100.0,508.0,10.0,0.25,5.0,7.7468,4.4801,0.75,"{'home': 7, 'away': 3, 'draw': 2}"
2022-01,2021-04-01..2021-12-31,FROZEN_MODEL_EVALUATED,2430,3,3,0.39,0.4,102.56,3100.0,451.0,100.0,0.25,5.0,7.5688,18.5016,1.0,"{'away': 1, 'home': 2}"
2022-02,2021-05-01..2022-01-31,FROZEN_MODEL_EVALUATED,2881,29,11,11.64,1.36,11.68,2800.0,647.0,100.0,0.0,5.0,8.2018,5.5775,0.6207,"{'home': 15, 'draw': 9, 'away': 5}"
2022-03,2021-06-01..2022-02-28,FROZEN_MODEL_EVALUATED,3528,20,10,8.17,5.69,69.65,3100.0,491.0,100.0,0.25,5.0,8.3993,12.3617,0.8,"{'home': 11, 'away': 8, 'draw': 1}"
2022-04,2021-07-01..2022-03-31,FROZEN_MODEL_EVALUATED,4019,11,6,6.62,6.01,90.79,3000.0,677.0,100.0,0.25,5.0,8.6916,13.5817,0.9091,"{'home': 6, 'away': 5}"
2022-05,2021-08-01..2022-04-30,FROZEN_MODEL_EVALUATED,4659,5,3,2.64,-0.83,-31.44,3100.0,345.0,1.0,0.5,5.0,8.9412,4.5869,0.6,"{'home': 3, 'away': 2}"
2022-08,2021-11-01..2022-07-31,ABSTAIN_INNER_VALIDATION,3635,0,0,0.0,0.0,0.0,3100.0,,,,,,,,
2022-09,2021-12-01..2022-08-31,ABSTAIN_INNER_VALIDATION,3752,0,0,0.0,0.0,0.0,3000.0,,,,,,,,
2022-10,2022-01-01..2022-09-30,FROZEN_MODEL_EVALUATED,3667,14,12,4.45,2.83,63.6,3100.0,734.0,100.0,0.0,5.0,8.5994,6.5054,0.8571,"{'away': 6, 'home': 5, 'draw': 3}"
2022-11,2022-02-01..2022-10-31,FROZEN_MODEL_EVALUATED,3950,8,5,1.2,-0.27,-22.5,3000.0,340.0,1.0,0.0,5.0,8.5832,-0.1336,0.5,"{'draw': 2, 'away': 3, 'home': 3}"
2022-12,2022-03-01..2022-11-30,FROZEN_MODEL_EVALUATED,3643,0,0,0.0,0.0,0.0,3100.0,259.0,1.0,0.25,5.0,8.3386,,,{}
2023-01,2022-04-01..2022-12-31,ABSTAIN_INNER_VALIDATION,3411,0,0,0.0,0.0,0.0,3100.0,,,,,,,,
2023-02,2022-05-01..2023-01-31,FROZEN_MODEL_EVALUATED,3234,12,10,1.63,0.28,17.18,2800.0,560.0,1.0,0.0,5.0,8.2616,3.1439,0.4167,"{'away': 5, 'draw': 2, 'home': 5}"
2023-03,2022-06-01..2023-02-28,FROZEN_MODEL_EVALUATED,3449,6,4,1.25,-0.46,-36.8,3100.0,437.0,100.0,0.0,5.0,8.0028,0.5417,0.5,"{'away': 4, 'draw': 1, 'home': 1}"
2023-04,2022-07-01..2023-03-31,FROZEN_MODEL_EVALUATED,3886,12,10,4.1,1.25,30.49,3000.0,656.0,1.0,0.0,5.0,7.9699,7.4404,0.8333,"{'home': 5, 'away': 4, 'draw': 3}"
2023-05,2022-08-01..2023-04-30,FROZEN_MODEL_EVALUATED,4478,3,3,1.14,0.25,21.93,3100.0,431.0,10.0,0.25,5.0,8.1096,2.5907,0.6667,"{'draw': 1, 'home': 2}"
2023-08,2022-11-01..2023-07-31,ABSTAIN_INNER_VALIDATION,3239,0,0,0.0,0.0,0.0,3100.0,,,,,,,,
2023-09,2022-12-01..2023-08-31,ABSTAIN_INNER_VALIDATION,3287,0,0,0.0,0.0,0.0,3000.0,,,,,,,,
2023-10,2023-01-01..2023-09-30,ABSTAIN_INNER_VALIDATION,3564,0,0,0.0,0.0,0.0,3100.0,,,,,,,,
2023-11,2023-02-01..2023-10-31,ABSTAIN_INNER_VALIDATION,3548,0,0,0.0,0.0,0.0,3000.0,,,,,,,,
2023-12,2023-03-01..2023-11-30,FROZEN_MODEL_EVALUATED,3359,2,1,2.08,1.18,56.73,3100.0,576.0,1.0,0.0,5.0,7.7284,0.7175,0.5,{'home': 2}
2024-01,2023-04-01..2023-12-31,FROZEN_MODEL_EVALUATED,3498,1,1,0.1,-0.1,-100.0,3100.0,394.0,100.0,0.0,5.0,7.8285,8.1436,1.0,{'draw': 1}
2024-02,2023-05-01..2024-01-31,ABSTAIN_INNER_VALIDATION,3236,0,0,0.0,0.0,0.0,2900.0,,,,,,,,
2024-03,2023-06-01..2024-02-29,ABSTAIN_INNER_VALIDATION,3301,0,0,0.0,0.0,0.0,3100.0,,,,,,,,
2024-04,2023-07-01..2024-03-31,ABSTAIN_INNER_VALIDATION,3705,0,0,0.0,0.0,0.0,3000.0,,,,,,,,
2024-05,2023-08-01..2024-04-30,ABSTAIN_INNER_VALIDATION,4249,0,0,0.0,0.0,0.0,3100.0,,,,,,,,
2024-08,2023-11-01..2024-07-31,ABSTAIN_INNER_VALIDATION,3106,0,0,0.0,0.0,0.0,3100.0,,,,,,,,
2024-09,2023-12-01..2024-08-31,ABSTAIN_INNER_VALIDATION,3134,0,0,0.0,0.0,0.0,3000.0,,,,,,,,
2024-10,2024-01-01..2024-09-30,FROZEN_MODEL_EVALUATED,3041,13,10,2.48,-1.25,-50.4,3100.0,481.0,100.0,0.0,5.0,9.3699,0.4274,0.4615,"{'away': 6, 'draw': 4, 'home': 3}"
2024-11,2024-02-01..2024-10-31,ABSTAIN_INNER_VALIDATION,3128,0,0,0.0,0.0,0.0,3000.0,,,,,,,,
2024-12,2024-03-01..2024-11-30,FROZEN_MODEL_EVALUATED,3095,3,1,1.22,4.49,368.03,3100.0,540.0,100.0,0.0,5.0,8.3306,32.4554,0.6667,"{'away': 2, 'home': 1}"
2025-01,2024-04-01..2024-12-31,FROZEN_MODEL_EVALUATED,3187,12,10,1.51,0.2,13.25,3100.0,499.0,100.0,0.0,5.0,8.4436,1.0653,0.75,"{'home': 2, 'draw': 8, 'away': 2}"
2025-02,2024-05-01..2025-01-31,FROZEN_MODEL_EVALUATED,3130,25,11,4.05,2.31,57.04,2800.0,519.0,100.0,0.0,5.0,8.3046,4.7524,0.92,"{'away': 2, 'draw': 20, 'home': 3}"
2025-03,2024-06-01..2025-02-28,FROZEN_MODEL_EVALUATED,3395,1,1,0.17,-0.17,-100.0,3100.0,499.0,100.0,0.25,5.0,8.3066,5.5663,1.0,{'draw': 1}
