date,bets,staked,profit,cumulative_profit,drawdown
2021-11-05,1,0.42,0.51,0.51,0.0
2021-11-07,1,0.47,0.34,0.85,0.0
2021-12-03,1,1.2,-1.2,-0.35,1.2
2021-12-04,1,0.91,-0.91,-1.26,2.11
2021-12-05,1,1.25,-1.25,-2.51,3.36
2021-12-10,2,4.21,3.73,1.22,0.0
2021-12-11,2,3.15,1.17,2.39,0.0
2021-12-12,1,3.74,3.85,6.24,0.0
2021-12-27,1,0.4,-0.4,5.84,0.4
2022-01-02,1,0.1,-0.1,5.74,0.5
2022-01-14,1,1.35,3.31,9.05,0.0
2022-01-16,1,0.12,-0.12,8.93,0.12
2022-02-05,1,0.81,-0.81,8.12,0.93
2022-02-06,1,1.25,-1.25,6.87,2.18
2022-02-12,3,6.64,8.07,14.94,0.0
2022-02-13,5,16.2,-9.2,5.74,9.2
2022-02-18,1,5.4,7.67,13.41,1.53
2022-02-19,3,4.33,5.25,18.66,0.0
2022-02-20,1,0.49,-0.49,18.17,0.49
2022-02-25,1,0.52,-0.52,17.65,1.01
2022-02-26,3,9.75,8.8,26.45,0.0
2022-02-27,1,0.48,1.28,27.73,0.0
2022-03-03,1,0.91,1.07,28.8,0.0
2022-03-05,1,8.34,-8.34,20.46,8.34
2022-03-12,1,0.17,-0.17,20.29,8.51
2022-03-13,2,5.09,-5.09,15.2,13.6
2022-03-15,2,6.64,0.29,15.49,13.31
2022-03-19,2,7.35,-7.35,8.14,20.66
2022-03-20,1,2.73,-2.73,5.41,23.39
2022-03-26,2,10.35,1.25,6.66,22.14
2022-03-27,2,4.28,6.8,13.46,15.34
2022-03-28,1,2.71,3.45,16.91,11.89
2022-04-09,4,10.49,8.75,25.66,3.14
2022-04-10,6,10.43,-1.8,23.86,4.94
2022-04-16,1,0.41,0.88,24.74,4.06
2022-04-17,1,0.28,-0.28,24.46,4.34
2022-04-24,1,0.2,0.22,24.68,4.12
2022-04-25,2,0.6,-0.6,24.08,4.72
2022-04-29,1,12.24,10.2,34.28,0.0
2022-04-30,2,15.0,16.37,50.65,0.0
2022-05-01,1,8.52,10.02,60.67,0.0
2022-05-07,1,1.99,-1.99,58.68,1.99
2022-05-08,1,0.17,-0.17,58.51,2.16
2022-05-21,3,15.0,-6.39,52.12,8.55
2022-08-14,1,1.9,3.17,55.29,5.38
2022-08-15,1,0.12,-0.12,55.17,5.5
2022-08-28,1,0.68,1.03,56.2,4.47
2022-09-13,1,1.16,-1.16,55.04,5.63
2022-09-17,1,0.18,-0.18,54.86,5.81
2022-09-24,1,1.22,-1.22,53.64,7.03
2022-09-25,1,0.43,-0.43,53.21,7.46
2022-10-07,1,0.26,-0.26,52.95,7.72
2022-10-08,2,0.94,-0.07,52.88,7.79
2022-10-14,1,0.11,-0.11,52.77,7.9
2022-10-19,1,0.71,-0.71,52.06,8.61
2022-10-21,1,10.29,11.09,63.15,0.0
2022-10-22,1,0.12,-0.12,63.03,0.12
2022-10-31,1,1.17,-1.17,61.86,1.29
2022-11-05,2,1.2,0.2,62.06,1.09
2022-11-11,1,0.5,-0.5,61.56,1.59
2022-11-19,1,0.13,-0.13,61.43,1.72
2022-12-11,1,0.57,-0.57,60.86,2.29
2023-01-01,1,0.11,-0.11,60.75,2.4
2023-01-15,1,0.52,-0.52,60.23,2.92
2023-01-28,1,0.14,0.45,60.68,2.47
2023-02-04,1,0.49,-0.49,60.19,2.96
2023-02-11,1,0.96,-0.96,59.23,3.92
2023-02-17,1,0.83,-0.83,58.4,4.75
2023-02-19,1,0.48,-0.48,57.92,5.23
2023-02-20,1,0.54,-0.54,57.38,5.77
2023-02-21,1,0.84,-0.84,56.54,6.61
2023-02-25,1,0.53,-0.53,56.01,7.14
2023-02-27,1,0.8,-0.8,55.21,7.94
2023-02-28,2,1.37,4.92,60.13,3.02
2023-03-04,1,0.1,-0.1,60.03,3.12
2023-03-18,3,0.8,-0.8,59.23,3.92
2023-03-26,2,10.68,-10.68,48.55,14.6
2023-03-27,1,0.52,-0.52,48.03,15.12
2023-03-31,1,11.66,10.86,58.89,4.26
2023-04-01,3,10.07,12.99,71.88,0.0
2023-04-05,1,0.8,-0.8,71.08,0.8
2023-04-08,2,0.64,-0.64,70.44,1.44
2023-04-15,2,0.74,-0.74,69.7,2.18
2023-04-18,1,15.0,12.05,81.75,0.0
2023-04-21,1,1.13,1.0,82.75,0.0
2023-04-22,1,0.28,-0.28,82.47,0.28
2023-04-25,1,0.65,-0.65,81.82,0.93
2023-04-29,1,7.53,-7.53,74.29,8.46
2023-04-30,1,0.9,2.21,76.5,6.25
2023-05-06,1,4.05,-4.05,72.45,10.3
2023-05-08,1,1.1,-1.1,71.35,11.4
2023-05-13,1,8.54,10.88,82.23,0.52
2023-08-30,1,0.36,0.88,83.11,0.0
2023-09-01,1,0.1,-0.1,83.01,0.1
2023-10-21,1,1.55,1.0,84.01,0.0
2023-12-17,1,1.17,-1.17,82.84,1.17
2023-12-20,1,0.1,-0.1,82.74,1.27
2024-02-03,1,0.3,0.94,83.68,0.33
2024-02-17,1,0.22,0.65,84.33,0.0
2024-03-12,1,0.18,0.56,84.89,0.0
2024-04-09,2,0.44,0.11,85.0,0.0
2024-05-05,1,0.18,-0.18,84.82,0.18
2024-05-18,1,0.62,1.15,85.97,0.0
2024-08-03,1,0.36,-0.36,85.61,0.36
2024-08-10,1,0.66,-0.66,84.95,1.02
2024-08-11,1,0.42,1.18,86.13,0.0
2024-08-18,1,0.36,-0.36,85.77,0.36
2024-08-23,1,0.32,-0.32,85.45,0.68
2024-08-24,1,0.34,0.78,86.23,0.0
2024-08-25,3,0.98,0.07,86.3,0.0
2024-08-27,2,1.44,-1.44,84.86,1.44
2024-08-31,3,1.07,-0.06,84.8,1.5
2024-09-20,1,0.34,-0.34,84.46,1.84
2024-09-21,1,0.48,1.1,85.56,0.74
2024-09-22,2,0.76,0.4,85.96,0.34
2024-09-28,1,0.68,-0.68,85.28,1.02
2024-10-04,1,1.07,-1.07,84.21,2.09
2024-10-05,1,0.74,-0.74,83.47,2.83
2024-10-18,1,1.59,-1.59,81.88,4.42
2024-10-19,2,2.65,2.27,84.15,2.15
2024-10-23,1,1.07,-1.07,83.08,3.22
2024-10-24,1,0.15,-0.15,82.93,3.37
2024-10-29,2,5.4,-1.51,81.42,4.88
2024-11-04,1,0.38,-0.38,81.04,5.26
2024-11-09,2,0.86,1.69,82.73,3.57
2024-12-29,2,2.91,8.8,91.53,0.0
2025-01-12,1,0.69,-0.69,90.84,0.69
2025-01-17,1,0.75,-0.75,90.09,1.44
2025-01-18,2,1.74,2.79,92.88,0.0
2025-01-19,1,0.96,2.2,95.08,0.0
2025-01-26,1,0.73,-0.73,94.35,0.73
2025-01-31,1,0.95,-0.95,93.4,1.68
2025-02-02,1,0.63,-0.63,92.77,2.31
2025-02-08,3,2.45,-2.45,90.32,4.76
2025-02-15,3,2.6,3.5,93.82,1.26
2025-02-16,2,4.35,7.91,101.73,0.0
2025-02-17,2,1.11,-1.11,100.62,1.11
2025-02-21,2,3.43,-3.43,97.19,4.54
2025-02-22,1,0.92,2.2,99.39,2.34
2025-02-23,1,0.84,-0.84,98.55,3.18
2025-02-24,2,2.69,8.39,106.94,0.0
2025-03-01,2,0.59,-0.28,106.66,0.28
2025-03-02,1,0.59,-0.59,106.07,0.87
2025-03-08,2,1.93,0.14,106.21,0.73
2025-03-09,1,1.21,-1.21,105.0,1.94
2025-03-28,1,0.22,-0.22,104.78,2.16
2025-03-31,1,0.36,0.85,105.63,1.31
2025-04-07,1,0.16,-0.16,105.47,1.47
2025-04-13,2,0.34,0.22,105.69,1.25
2025-04-18,1,0.43,-0.43,105.26,1.68
2025-04-20,3,0.68,-0.16,105.1,1.84
2025-04-27,2,0.97,-0.97,104.13,2.81
2025-05-01,1,0.58,-0.58,103.55,3.39
2025-05-03,1,0.4,0.78,104.33,2.61
2025-05-04,2,1.3,1.11,105.44,1.5
2025-05-05,1,0.39,-0.39,105.05,1.89
2025-05-09,5,3.71,1.22,106.27,0.67
2025-05-18,1,0.1,0.11,106.38,0.56
2025-08-11,1,0.42,1.17,107.55,0.0
2025-08-16,1,0.72,-0.72,106.83,0.72
2025-08-17,1,0.48,-0.48,106.35,1.2
2025-08-24,1,0.32,-0.32,106.03,1.52
2025-08-30,1,0.35,-0.35,105.68,1.87
2025-08-31,2,0.63,-0.63,105.05,2.5
2025-09-13,1,0.38,0.62,105.67,1.88
2025-09-14,2,0.96,0.76,106.43,1.12
2025-09-20,2,1.2,-1.2,105.23,2.32
2025-09-21,1,0.4,1.18,106.41,1.14
2025-09-28,2,1.19,3.32,109.73,0.0
2025-10-03,1,0.44,-0.44,109.29,0.44
2025-10-04,3,1.82,-1.82,107.47,2.26
2025-10-05,2,1.57,-1.57,105.9,3.83
2025-10-18,1,0.13,-0.13,105.77,3.96
2025-10-22,1,0.85,2.17,107.94,1.79
2025-10-24,1,2.0,4.17,112.11,0.0
2025-10-25,3,2.57,2.87,114.98,0.0
2025-10-26,2,2.42,-2.42,112.56,2.42
2025-10-27,1,1.0,-1.0,111.56,3.42
2025-10-31,1,1.07,-1.07,110.49,4.49
2025-11-02,1,0.35,-0.35,110.14,4.84
2025-11-08,2,0.31,0.3,110.44,4.54
2025-11-25,1,0.17,-0.17,110.27,4.71
2025-11-29,1,0.54,1.81,112.08,2.9
2025-11-30,1,0.56,1.83,113.91,1.07
2025-12-01,1,0.59,-0.59,113.32,1.66
2025-12-08,2,0.47,1.02,114.34,0.64
2025-12-13,1,0.49,-0.49,113.85,1.13
2025-12-26,1,0.11,-0.11,113.74,1.24
2025-12-29,1,0.1,-0.1,113.64,1.34
2026-01-03,1,0.74,-0.74,112.9,2.08
