test_month,date,bets,staked,profit,cumulative_profit,drawdown,cash_reserved
2021-12,2021-12-01,0,0.0,0.0,0.0,0.0,100.0
2021-12,2021-12-02,0,0.0,0.0,0.0,0.0,100.0
2021-12,2021-12-03,1,0.2,-0.2,-0.2,0.2,99.8
2021-12,2021-12-04,0,0.0,0.0,-0.2,0.2,100.0
2021-12,2021-12-05,0,0.0,0.0,-0.2,0.2,100.0
2021-12,2021-12-06,0,0.0,0.0,-0.2,0.2,100.0
2021-12,2021-12-07,0,0.0,0.0,-0.2,0.2,100.0
2021-12,2021-12-08,0,0.0,0.0,-0.2,0.2,100.0
2021-12,2021-12-09,0,0.0,0.0,-0.2,0.2,100.0
2021-12,2021-12-10,1,0.67,0.64,0.44,0.0,99.33
2021-12,2021-12-11,3,0.82,0.46,0.9,0.0,99.18
2021-12,2021-12-12,1,0.58,0.6,1.5,0.0,99.42
2021-12,2021-12-13,0,0.0,0.0,1.5,0.0,100.0
2021-12,2021-12-14,0,0.0,0.0,1.5,0.0,100.0
2021-12,2021-12-15,0,0.0,0.0,1.5,0.0,100.0
2021-12,2021-12-16,0,0.0,0.0,1.5,0.0,100.0
2021-12,2021-12-17,0,0.0,0.0,1.5,0.0,100.0
2021-12,2021-12-18,0,0.0,0.0,1.5,0.0,100.0
2021-12,2021-12-19,0,0.0,0.0,1.5,0.0,100.0
2021-12,2021-12-20,0,0.0,0.0,1.5,0.0,100.0
2021-12,2021-12-21,0,0.0,0.0,1.5,0.0,100.0
2021-12,2021-12-22,0,0.0,0.0,1.5,0.0,100.0
2021-12,2021-12-23,0,0.0,0.0,1.5,0.0,100.0
2021-12,2021-12-24,0,0.0,0.0,1.5,0.0,100.0
2021-12,2021-12-25,0,0.0,0.0,1.5,0.0,100.0
2021-12,2021-12-26,0,0.0,0.0,1.5,0.0,100.0
2021-12,2021-12-27,0,0.0,0.0,1.5,0.0,100.0
2021-12,2021-12-28,0,0.0,0.0,1.5,0.0,100.0
2021-12,2021-12-29,0,0.0,0.0,1.5,0.0,100.0
2021-12,2021-12-30,0,0.0,0.0,1.5,0.0,100.0
2021-12,2021-12-31,0,0.0,0.0,1.5,0.0,100.0
2022-01,2022-01-01,0,0.0,0.0,0.0,0.0,100.0
2022-01,2022-01-02,1,0.37,-0.37,-0.37,0.37,99.63
2022-01,2022-01-03,0,0.0,0.0,-0.37,0.37,100.0
