test_month,candidate_id,source_file,source_row,date,league,home_team,away_team,outcome,probability,conservative_probability,odds,raw_odds,conservative_ev_pct,reference_dispersion,reference_bookmakers,execution_cost_rate,execution_bookmaker,odds_band,source_type,implied_probability,price_ratio,probability_uncertainty,relative_dispersion,log_odds,probability_squared,odds_probability_interaction,reference_depth_inverse,raw_net_odds_gap_pct,outcome_odds_band,outcome_source_type,source_odds_band,direct_predicted_clv_pct,direct_lower_clv_pct,decision_frozen_before_closing_and_result,movement_predicted_clv_pct,movement_lower_clv_pct,predicted_closing_edge_pct,model_disagreement_pct,lower_closing_edge_pct,stake,stake_policy,actual_outcome,closing_edge_pct,positive_clv,closing_probability,closing_fair_odds,won,profit
2021-12,data\historical_csv\football-data\2122\B1.csv:146,data\historical_csv\football-data\2122\B1.csv,146,2021-12-03,B1,St Truiden,St. Gilloise,home,0.2491322587215617,0.2396076089949381,4.43,4.5,6.146170784757588,0.0075246497266235,5,0.0,WH,4.0-5.0,sportsbook,0.2257336343115124,1.1036559061365183,0.0095246497266235,0.0302034339721269,1.4883995840570443,0.0620668823357071,0.3708083502563644,0.2,1.5801354401805856,home:4.0-5.0,home:sportsbook,sportsbook:4.0-5.0,11.294390441258614,9.36035777145076,True,13.18371567876493,10.868710598297348,12.239053060011772,1.8893252375063163,9.36035777145076,1.36,model_agreement_half_kelly,away,-6.604669092081794,False,0.210824674735707,4.743277803006764,False,-1.36
2021-12,data\historical_csv\football-data\2122\D2.csv:139,data\historical_csv\football-data\2122\D2.csv,139,2021-12-04,D2,Hansa Rostock,Ingolstadt,home,0.6345145420320519,0.6093168669209921,1.8134,1.83,10.493520647452703,0.0231976751110598,5,0.0,B365,1.5-2.0,sportsbook,0.5514503143266791,1.150628670520923,0.0251976751110598,0.03655972176267,0.5952035362298188,0.4026087040501446,0.3776652992067213,0.2,0.9154075217822744,home:1.5-2.0,home:sportsbook,sportsbook:1.5-2.0,8.083829903146842,6.149797233338988,True,11.701954687620407,10.754318070708456,9.892892295383625,3.618124784473565,6.149797233338988,3.78,model_agreement_half_kelly,draw,9.98131770374988,True,0.6064923221779523,1.6488254895114527,False,-3.78
2021-12,data\historical_csv\football-data\2122\B1.csv:153,data\historical_csv\football-data\2122\B1.csv,153,2021-12-05,B1,Standard,Charleroi,draw,0.2705801500737049,0.2539979153803977,4.038,4.1,2.564358230604613,0.0145822346933071,5,0.0,BW,4.0-5.0,sportsbook,0.2476473501733531,1.0926026459976204,0.0165822346933071,0.0538924776608151,1.3957495198906458,0.0732136176139086,0.3776621145573124,0.2,1.535413571074784,draw:4.0-5.0,draw:sportsbook,sportsbook:4.0-5.0,6.860706186020436,4.926673516212581,True,6.233281431676052,4.1231255592318,6.546993808848244,0.6274247543443838,4.1231255592318,0.68,model_agreement_half_kelly,away,12.32058169908623,True,0.2781589442770832,3.595066851432493,False,-0.68
2021-12,data\historical_csv\football-data\2122\D2.csv:147,data\historical_csv\football-data\2122\D2.csv,147,2021-12-10,D2,Schalke 04,Nurnberg,away,0.3021902208825318,0.2878940552661994,3.842,3.9,10.60889603327382,0.0122961656163324,5,0.0,BW,3.0-4.0,sportsbook,0.2602811035918792,1.1610148286306874,0.0142961656163324,0.0406901506621295,1.345993064346365,0.0913189295970333,0.4067459414211839,0.2,1.5096304008328951,away:3.0-4.0,away:sportsbook,sportsbook:3.0-4.0,8.618403946236288,6.6843712764284335,True,7.943904944814006,5.936173676381396,8.281154445525146,0.6744990014222818,5.936173676381396,1.04,model_agreement_half_kelly,home,4.67176791284869,True,0.2724408326726931,3.670521742977445,False,-1.04
2021-12,data\historical_csv\football-data\2122\I2.csv:162,data\historical_csv\football-data\2122\I2.csv,162,2021-12-10,I2,Cremonese,Crotone,home,0.5471061763299465,0.5330356378786342,1.9604,1.98,4.49630644972745,0.0120705384513122,5,0.0,BW,1.5-2.0,sportsbook,0.5100999795960008,1.0725469480772272,0.0140705384513123,0.0220625154193705,0.6731485340532554,0.2993251681783745,0.3682837205679853,0.2,0.9997959600081652,home:1.5-2.0,home:sportsbook,sportsbook:1.5-2.0,6.2944633969185055,4.360430727110651,True,7.239613297265479,6.215158227344797,6.767038347091992,0.9451499003469737,4.360430727110651,2.27,model_agreement_half_kelly,home,7.271962503132157,True,0.5471942588407068,1.8275045540839805,True,2.18
2021-12,data\historical_csv\football-data\2122\B1.csv:158,data\historical_csv\football-data\2122\B1.csv,158,2021-12-11,B1,St Truiden,Cercle Brugge,away,0.3742291928140182,0.3680812060592269,2.862,2.9,5.3448411741507496,0.0041479867547913,5,0.0,WH,2.0-3.0,sportsbook,0.3494060097833683,1.0710439498337203,0.0061479867547913,0.0110840811845825,1.0515206811342592,0.1400474887542316,0.3935097357281205,0.2,1.327742837176782,away:2.0-3.0,away:sportsbook,sportsbook:2.0-3.0,6.332214970747561,4.398182300939706,True,6.901741507057513,5.406133258683199,6.6169782389025364,0.5695265363099518,4.398182300939706,1.18,model_agreement_half_kelly,away,7.2490295702065,True,0.3747345547526432,2.668555614413742,True,2.2
2021-12,data\historical_csv\football-data\2122\SC0.csv:102,data\historical_csv\football-data\2122\SC0.csv,102,2021-12-11,SC0,St Johnstone,Aberdeen,home,0.300276244410064,0.2940077717883871,3.352,3.4,-1.4485948965326512,0.0042684726216769,5,0.0,WH,3.0-4.0,sportsbook,0.2983293556085919,1.0065259712625347,0.0062684726216769,0.014215152550822,1.2095571826198366,0.0901658229570125,0.3632012881963025,0.2,1.4319809069212486,home:3.0-4.0,home:sportsbook,sportsbook:3.0-4.0,4.3155530542615965,2.381520384453742,True,5.046255121697829,3.2945853632943667,4.680904087979712,0.7307020674362326,2.381520384453742,0.51,model_agreement_half_kelly,away,-13.874146427884249,False,0.2569387039740923,3.891978843719987,False,-0.51
2021-12,data\historical_csv\football-data\2122\N1.csv:140,data\historical_csv\football-data\2122\N1.csv,140,2021-12-11,N1,Zwolle,For Sittard,home,0.5228425503533685,0.5068772830637751,1.98,2.0,0.3617020466274656,0.0139652672895933,5,0.0,BW,1.5-2.0,sportsbook,0.5050505050505051,1.0352282496996696,0.0159652672895933,0.0267102730643379,0.6830968447064438,0.2733643324600146,0.3571520964246559,0.2,1.0101010101010166,home:1.5-2.0,home:sportsbook,sportsbook:1.5-2.0,3.629319758513177,1.695287088705322,True,3.840675800904547,2.8059782705826875,3.734997779708862,0.2113560423913703,1.695287088705322,0.86,model_agreement_half_kelly,away,-9.884464934947534,False,0.4551289649750124,2.1971794303509165,False,-0.86
2021-12,data\historical_csv\football-data\2122\B1.csv:162,data\historical_csv\football-data\2122\B1.csv,162,2021-12-12,B1,Gent,Genk,home,0.5207001905742764,0.5087468653108813,2.029,2.05,3.224738971577823,0.009953325263395,5,0.0,WH,2.0-3.0,sportsbook,0.4928536224741252,1.0565006866752067,0.011953325263395,0.0191152710207722,0.7075430608436777,0.2711286884640878,0.3684178066208098,0.2,1.0349926071956617,home:2.0-3.0,home:sportsbook,sportsbook:2.0-3.0,7.414566934408798,5.480534264600943,True,7.015756625260927,5.955452943936179,7.215161779834863,0.39881030914787097,5.480534264600943,2.66,model_agreement_half_kelly,home,20.93255773125138,True,0.5960204915290852,1.6777946634594878,True,2.74
2022-01,data\historical_csv\football-data\2122\SP2.csv:239,data\historical_csv\football-data\2122\SP2.csv,239,2022-01-02,SP2,Mirandes,Zaragoza,away,0.4296060844392185,0.4144572229411089,2.568,2.6,6.432614851276775,0.0131488614981095,5,0.0,B365,2.0-3.0,sportsbook,0.3894080996884735,1.1032284248399131,0.0151488614981095,0.0306067860171796,0.9431273858277148,0.1845613877871969,0.4051732633528406,0.2,1.2461059190031154,away:2.0-3.0,away:sportsbook,sportsbook:2.0-3.0,3.345672977730489,1.497456002146223,True,5.182193689313075,3.882821724543395,4.263933333521782,1.836520711582586,1.497456002146223,0.48,model_agreement_half_kelly,home,1.890369612557774,True,0.3967693520738231,2.520355956863169,False,-0.48
