test_month,date,bets,staked,profit,cumulative_profit,drawdown,cash_reserved
2022-01,2022-01-04,0,0.0,0.0,-0.17,0.17,100.0
2022-01,2022-01-05,0,0.0,0.0,-0.17,0.17,100.0
2022-01,2022-01-06,0,0.0,0.0,-0.17,0.17,100.0
2022-01,2022-01-07,0,0.0,0.0,-0.17,0.17,100.0
2022-01,2022-01-08,0,0.0,0.0,-0.17,0.17,100.0
2022-01,2022-01-09,0,0.0,0.0,-0.17,0.17,100.0
2022-01,2022-01-10,0,0.0,0.0,-0.17,0.17,100.0
2022-01,2022-01-11,0,0.0,0.0,-0.17,0.17,100.0
2022-01,2022-01-12,0,0.0,0.0,-0.17,0.17,100.0
2022-01,2022-01-13,1,0.2,0.18,0.01,0.0,99.8
2022-01,2022-01-14,1,0.17,0.42,0.43,0.0,99.83
2022-01,2022-01-15,0,0.0,0.0,0.43,0.0,100.0
2022-01,2022-01-16,0,0.0,0.0,0.43,0.0,100.0
2022-01,2022-01-17,0,0.0,0.0,0.43,0.0,100.0
2022-01,2022-01-18,0,0.0,0.0,0.43,0.0,100.0
2022-01,2022-01-19,0,0.0,0.0,0.43,0.0,100.0
2022-01,2022-01-20,0,0.0,0.0,0.43,0.0,100.0
2022-01,2022-01-21,0,0.0,0.0,0.43,0.0,100.0
2022-01,2022-01-22,0,0.0,0.0,0.43,0.0,100.0
2022-01,2022-01-23,0,0.0,0.0,0.43,0.0,100.0
2022-01,2022-01-24,0,0.0,0.0,0.43,0.0,100.0
2022-01,2022-01-25,0,0.0,0.0,0.43,0.0,100.0
2022-01,2022-01-26,0,0.0,0.0,0.43,0.0,100.0
2022-01,2022-01-27,0,0.0,0.0,0.43,0.0,100.0
2022-01,2022-01-28,0,0.0,0.0,0.43,0.0,100.0
2022-01,2022-01-29,0,0.0,0.0,0.43,0.0,100.0
2022-01,2022-01-30,0,0.0,0.0,0.43,0.0,100.0
2022-01,2022-01-31,0,0.0,0.0,0.43,0.0,100.0
2022-02,2022-02-01,1,0.12,-0.12,-0.12,0.12,99.88
2022-02,2022-02-02,0,0.0,0.0,-0.12,0.12,100.0
2022-02,2022-02-03,0,0.0,0.0,-0.12,0.12,100.0
2022-02,2022-02-04,1,0.12,0.1,-0.02,0.02,99.88
2022-02,2022-02-05,1,0.1,-0.1,-0.12,0.12,99.9
2022-02,2022-02-06,1,0.17,-0.17,-0.29,0.29,99.83
2022-02,2022-02-07,0,0.0,0.0,-0.29,0.29,100.0
2022-02,2022-02-08,0,0.0,0.0,-0.29,0.29,100.0
2022-02,2022-02-09,0,0.0,0.0,-0.29,0.29,100.0
2022-02,2022-02-10,0,0.0,0.0,-0.29,0.29,100.0
2022-02,2022-02-11,0,0.0,0.0,-0.29,0.29,100.0
2022-02,2022-02-12,3,1.01,1.17,0.88,0.0,98.99
2022-02,2022-02-13,5,3.17,-0.84,0.04,0.84,96.83
2022-02,2022-02-14,0,0.0,0.0,0.04,0.84,100.0
2022-02,2022-02-15,0,0.0,0.0,0.04,0.84,100.0
2022-02,2022-02-16,0,0.0,0.0,0.04,0.84,100.0
2022-02,2022-02-17,0,0.0,0.0,0.04,0.84,100.0
2022-02,2022-02-18,1,0.75,1.07,1.11,0.0,99.25
2022-02,2022-02-19,2,0.47,0.49,1.6,0.0,99.53
2022-02,2022-02-20,2,0.21,-0.21,1.39,0.21,99.79
2022-02,2022-02-21,0,0.0,0.0,1.39,0.21,100.0
2022-02,2022-02-22,0,0.0,0.0,1.39,0.21,100.0
2022-02,2022-02-23,0,0.0,0.0,1.39,0.21,100.0
2022-02,2022-02-24,0,0.0,0.0,1.39,0.21,100.0
2022-02,2022-02-25,3,0.46,-0.17,1.22,0.38,99.54
2022-02,2022-02-26,5,1.7,1.33,2.55,0.0,98.3
2022-02,2022-02-27,3,0.38,0.56,3.11,0.0,99.62
2022-02,2022-02-28,0,0.0,0.0,3.11,0.0,100.0
2022-03,2022-03-01,0,0.0,0.0,0.0,0.0,100.0
2022-03,2022-03-02,0,0.0,0.0,0.0,0.0,100.0
2022-03,2022-03-03,0,0.0,0.0,0.0,0.0,100.0
2022-03,2022-03-04,0,0.0,0.0,0.0,0.0,100.0
2022-03,2022-03-05,2,0.69,-0.69,-0.69,0.69,99.31
2022-03,2022-03-06,0,0.0,0.0,-0.69,0.69,100.0
2022-03,2022-03-07,0,0.0,0.0,-0.69,0.69,100.0
2022-03,2022-03-08,0,0.0,0.0,-0.69,0.69,100.0
2022-03,2022-03-09,0,0.0,0.0,-0.69,0.69,100.0
2022-03,2022-03-10,0,0.0,0.0,-0.69,0.69,100.0
2022-03,2022-03-11,0,0.0,0.0,-0.69,0.69,100.0
2022-03,2022-03-12,1,0.13,-0.13,-0.82,0.82,99.87
2022-03,2022-03-13,2,0.43,-0.43,-1.25,1.25,99.57
2022-03,2022-03-14,0,0.0,0.0,-1.25,1.25,100.0
2022-03,2022-03-15,2,0.53,0.33,-0.92,0.92,99.47
2022-03,2022-03-16,0,0.0,0.0,-0.92,0.92,100.0
2022-03,2022-03-17,0,0.0,0.0,-0.92,0.92,100.0
2022-03,2022-03-18,0,0.0,0.0,-0.92,0.92,100.0
2022-03,2022-03-19,1,0.41,-0.41,-1.33,1.33,99.59
2022-03,2022-03-20,1,0.31,-0.31,-1.64,1.64,99.69
2022-03,2022-03-21,0,0.0,0.0,-1.64,1.64,100.0
2022-03,2022-03-22,0,0.0,0.0,-1.64,1.64,100.0
2022-03,2022-03-23,0,0.0,0.0,-1.64,1.64,100.0
2022-03,2022-03-24,0,0.0,0.0,-1.64,1.64,100.0
2022-03,2022-03-25,0,0.0,0.0,-1.64,1.64,100.0
2022-03,2022-03-26,2,0.61,0.12,-1.52,1.52,99.39
2022-03,2022-03-27,1,0.33,0.5,-1.02,1.02,99.67
2022-03,2022-03-28,1,0.18,0.23,-0.79,0.79,99.82
2022-03,2022-03-29,0,0.0,0.0,-0.79,0.79,100.0
2022-03,2022-03-30,0,0.0,0.0,-0.79,0.79,100.0
2022-03,2022-03-31,0,0.0,0.0,-0.79,0.79,100.0
2022-04,2022-04-01,0,0.0,0.0,0.0,0.0,100.0
2022-04,2022-04-02,0,0.0,0.0,0.0,0.0,100.0
2022-04,2022-04-03,0,0.0,0.0,0.0,0.0,100.0
2022-04,2022-04-04,0,0.0,0.0,0.0,0.0,100.0
2022-04,2022-04-05,0,0.0,0.0,0.0,0.0,100.0
2022-04,2022-04-06,0,0.0,0.0,0.0,0.0,100.0
2022-04,2022-04-07,0,0.0,0.0,0.0,0.0,100.0
2022-04,2022-04-08,0,0.0,0.0,0.0,0.0,100.0
2022-04,2022-04-09,2,0.78,0.57,0.57,0.0,99.22
2022-04,2022-04-10,3,0.92,-0.37,0.2,0.37,99.08
2022-04,2022-04-11,0,0.0,0.0,0.2,0.37,100.0
2022-04,2022-04-12,0,0.0,0.0,0.2,0.37,100.0
2022-04,2022-04-13,0,0.0,0.0,0.2,0.37,100.0
2022-04,2022-04-14,0,0.0,0.0,0.2,0.37,100.0
2022-04,2022-04-15,0,0.0,0.0,0.2,0.37,100.0
2022-04,2022-04-16,0,0.0,0.0,0.2,0.37,100.0
2022-04,2022-04-17,0,0.0,0.0,0.2,0.37,100.0
2022-04,2022-04-18,0,0.0,0.0,0.2,0.37,100.0
2022-04,2022-04-19,0,0.0,0.0,0.2,0.37,100.0
2022-04,2022-04-20,0,0.0,0.0,0.2,0.37,100.0
2022-04,2022-04-21,0,0.0,0.0,0.2,0.37,100.0
2022-04,2022-04-22,0,0.0,0.0,0.2,0.37,100.0
2022-04,2022-04-23,0,0.0,0.0,0.2,0.37,100.0
2022-04,2022-04-24,0,0.0,0.0,0.2,0.37,100.0
2022-04,2022-04-25,2,0.31,-0.31,-0.11,0.68,99.69
2022-04,2022-04-26,0,0.0,0.0,-0.11,0.68,100.0
2022-04,2022-04-27,0,0.0,0.0,-0.11,0.68,100.0
2022-04,2022-04-28,0,0.0,0.0,-0.11,0.68,100.0
2022-04,2022-04-29,1,0.84,0.7,0.59,0.0,99.16
2022-04,2022-04-30,2,1.46,1.59,2.18,0.0,98.54
2022-05,2022-05-01,1,0.46,0.54,0.54,0.0,99.54
2022-05,2022-05-02,0,0.0,0.0,0.54,0.0,100.0
2022-05,2022-05-03,0,0.0,0.0,0.54,0.0,100.0
2022-05,2022-05-04,0,0.0,0.0,0.54,0.0,100.0
2022-05,2022-05-05,0,0.0,0.0,0.54,0.0,100.0
2022-05,2022-05-06,0,0.0,0.0,0.54,0.0,100.0
2022-05,2022-05-07,1,0.15,-0.15,0.39,0.15,99.85
2022-05,2022-05-08,0,0.0,0.0,0.39,0.15,100.0
2022-05,2022-05-09,0,0.0,0.0,0.39,0.15,100.0
2022-05,2022-05-10,0,0.0,0.0,0.39,0.15,100.0
2022-05,2022-05-11,0,0.0,0.0,0.39,0.15,100.0
2022-05,2022-05-12,0,0.0,0.0,0.39,0.15,100.0
2022-05,2022-05-13,0,0.0,0.0,0.39,0.15,100.0
2022-05,2022-05-14,0,0.0,0.0,0.39,0.15,100.0
2022-05,2022-05-15,0,0.0,0.0,0.39,0.15,100.0
2022-05,2022-05-16,0,0.0,0.0,0.39,0.15,100.0
2022-05,2022-05-17,0,0.0,0.0,0.39,0.15,100.0
2022-05,2022-05-18,0,0.0,0.0,0.39,0.15,100.0
2022-05,2022-05-19,0,0.0,0.0,0.39,0.15,100.0
2022-05,2022-05-20,0,0.0,0.0,0.39,0.15,100.0
2022-05,2022-05-21,3,1.85,-1.0,-0.61,1.15,98.15
2022-05,2022-05-22,0,0.0,0.0,-0.61,1.15,100.0
2022-05,2022-05-23,0,0.0,0.0,-0.61,1.15,100.0
2022-05,2022-05-24,0,0.0,0.0,-0.61,1.15,100.0
2022-05,2022-05-25,0,0.0,0.0,-0.61,1.15,100.0
2022-05,2022-05-26,0,0.0,0.0,-0.61,1.15,100.0
2022-05,2022-05-27,0,0.0,0.0,-0.61,1.15,100.0
2022-05,2022-05-28,0,0.0,0.0,-0.61,1.15,100.0
2022-05,2022-05-29,0,0.0,0.0,-0.61,1.15,100.0
2022-05,2022-05-30,0,0.0,0.0,-0.61,1.15,100.0
2022-05,2022-05-31,0,0.0,0.0,-0.61,1.15,100.0
2022-08,2022-08-01,0,0.0,0.0,0.0,0.0,100.0
2022-08,2022-08-02,0,0.0,0.0,0.0,0.0,100.0
2022-08,2022-08-03,0,0.0,0.0,0.0,0.0,100.0
2022-08,2022-08-04,0,0.0,0.0,0.0,0.0,100.0
2022-08,2022-08-05,1,0.27,0.16,0.16,0.0,99.73
2022-08,2022-08-06,1,0.1,0.31,0.47,0.0,99.9
2022-08,2022-08-07,0,0.0,0.0,0.47,0.0,100.0
2022-08,2022-08-08,0,0.0,0.0,0.47,0.0,100.0
2022-08,2022-08-09,0,0.0,0.0,0.47,0.0,100.0
2022-08,2022-08-10,0,0.0,0.0,0.47,0.0,100.0
2022-08,2022-08-11,0,0.0,0.0,0.47,0.0,100.0
2022-08,2022-08-12,0,0.0,0.0,0.47,0.0,100.0
2022-08,2022-08-13,2,0.35,-0.35,0.12,0.35,99.65
2022-08,2022-08-14,1,0.74,1.23,1.35,0.0,99.26
2022-08,2022-08-15,1,0.22,-0.22,1.13,0.22,99.78
2022-08,2022-08-16,0,0.0,0.0,1.13,0.22,100.0
2022-08,2022-08-17,0,0.0,0.0,1.13,0.22,100.0
2022-08,2022-08-18,0,0.0,0.0,1.13,0.22,100.0
2022-08,2022-08-19,0,0.0,0.0,1.13,0.22,100.0
2022-08,2022-08-20,0,0.0,0.0,1.13,0.22,100.0
2022-08,2022-08-21,0,0.0,0.0,1.13,0.22,100.0
2022-08,2022-08-22,1,0.1,-0.1,1.03,0.32,99.9
2022-08,2022-08-23,0,0.0,0.0,1.03,0.32,100.0
2022-08,2022-08-24,0,0.0,0.0,1.03,0.32,100.0
2022-08,2022-08-25,0,0.0,0.0,1.03,0.32,100.0
2022-08,2022-08-26,0,0.0,0.0,1.03,0.32,100.0
2022-08,2022-08-27,1,0.12,-0.12,0.91,0.44,99.88
2022-08,2022-08-28,1,0.45,0.68,1.59,0.0,99.55
2022-08,2022-08-29,0,0.0,0.0,1.59,0.0,100.0
2022-08,2022-08-30,0,0.0,0.0,1.59,0.0,100.0
2022-08,2022-08-31,0,0.0,0.0,1.59,0.0,100.0
2022-10,2022-10-01,0,0.0,0.0,0.0,0.0,100.0
2022-10,2022-10-02,0,0.0,0.0,0.0,0.0,100.0
2022-10,2022-10-03,0,0.0,0.0,0.0,0.0,100.0
2022-10,2022-10-04,0,0.0,0.0,0.0,0.0,100.0
2022-10,2022-10-05,0,0.0,0.0,0.0,0.0,100.0
2022-10,2022-10-06,0,0.0,0.0,0.0,0.0,100.0
2022-10,2022-10-07,1,0.3,-0.3,-0.3,0.3,99.7
2022-10,2022-10-08,2,0.26,0.13,-0.17,0.17,99.74
2022-10,2022-10-09,0,0.0,0.0,-0.17,0.17,100.0
2022-10,2022-10-10,0,0.0,0.0,-0.17,0.17,100.0
2022-10,2022-10-11,0,0.0,0.0,-0.17,0.17,100.0
2022-10,2022-10-12,0,0.0,0.0,-0.17,0.17,100.0
2022-10,2022-10-13,0,0.0,0.0,-0.17,0.17,100.0
2022-10,2022-10-14,1,0.11,-0.11,-0.28,0.28,99.89
2022-10,2022-10-15,0,0.0,0.0,-0.28,0.28,100.0
2022-10,2022-10-16,0,0.0,0.0,-0.28,0.28,100.0
2022-10,2022-10-17,0,0.0,0.0,-0.28,0.28,100.0
2022-10,2022-10-18,0,0.0,0.0,-0.28,0.28,100.0
2022-10,2022-10-19,1,0.11,-0.11,-0.39,0.39,99.89
2022-10,2022-10-20,0,0.0,0.0,-0.39,0.39,100.0
2022-10,2022-10-21,1,0.99,1.07,0.68,0.0,99.01
2022-10,2022-10-22,1,0.14,-0.14,0.54,0.14,99.86
2022-10,2022-10-23,0,0.0,0.0,0.54,0.14,100.0
2022-10,2022-10-24,0,0.0,0.0,0.54,0.14,100.0
2022-10,2022-10-25,0,0.0,0.0,0.54,0.14,100.0
2022-10,2022-10-26,0,0.0,0.0,0.54,0.14,100.0
2022-10,2022-10-27,0,0.0,0.0,0.54,0.14,100.0
2022-10,2022-10-28,0,0.0,0.0,0.54,0.14,100.0
2022-10,2022-10-29,0,0.0,0.0,0.54,0.14,100.0
2022-10,2022-10-30,0,0.0,0.0,0.54,0.14,100.0
2022-10,2022-10-31,1,0.17,-0.17,0.37,0.31,99.83
2022-11,2022-11-01,0,0.0,0.0,0.0,0.0,100.0
2022-11,2022-11-02,0,0.0,0.0,0.0,0.0,100.0
2022-11,2022-11-03,0,0.0,0.0,0.0,0.0,100.0
2022-11,2022-11-04,0,0.0,0.0,0.0,0.0,100.0
2022-11,2022-11-05,2,0.24,0.12,0.12,0.0,99.76
2022-11,2022-11-06,1,0.11,-0.11,0.01,0.11,99.89
2022-11,2022-11-07,0,0.0,0.0,0.01,0.11,100.0
2022-11,2022-11-08,0,0.0,0.0,0.01,0.11,100.0
2022-11,2022-11-09,0,0.0,0.0,0.01,0.11,100.0
2022-11,2022-11-10,0,0.0,0.0,0.01,0.11,100.0
2022-11,2022-11-11,1,0.21,-0.21,-0.2,0.32,99.79
2022-11,2022-11-12,0,0.0,0.0,-0.2,0.32,100.0
2022-11,2022-11-13,0,0.0,0.0,-0.2,0.32,100.0
2022-11,2022-11-14,0,0.0,0.0,-0.2,0.32,100.0
2022-11,2022-11-15,0,0.0,0.0,-0.2,0.32,100.0
2022-11,2022-11-16,0,0.0,0.0,-0.2,0.32,100.0
2022-11,2022-11-17,0,0.0,0.0,-0.2,0.32,100.0
2022-11,2022-11-18,0,0.0,0.0,-0.2,0.32,100.0
2022-11,2022-11-19,1,0.12,-0.12,-0.32,0.44,99.88
2022-11,2022-11-20,0,0.0,0.0,-0.32,0.44,100.0
2022-11,2022-11-21,0,0.0,0.0,-0.32,0.44,100.0
2022-11,2022-11-22,0,0.0,0.0,-0.32,0.44,100.0
2022-11,2022-11-23,0,0.0,0.0,-0.32,0.44,100.0
2022-11,2022-11-24,0,0.0,0.0,-0.32,0.44,100.0
2022-11,2022-11-25,0,0.0,0.0,-0.32,0.44,100.0
2022-11,2022-11-26,0,0.0,0.0,-0.32,0.44,100.0
2022-11,2022-11-27,0,0.0,0.0,-0.32,0.44,100.0
2022-11,2022-11-28,0,0.0,0.0,-0.32,0.44,100.0
2022-11,2022-11-29,0,0.0,0.0,-0.32,0.44,100.0
2022-11,2022-11-30,0,0.0,0.0,-0.32,0.44,100.0
2022-12,2022-12-01,0,0.0,0.0,0.0,0.0,100.0
2022-12,2022-12-02,0,0.0,0.0,0.0,0.0,100.0
2022-12,2022-12-03,0,0.0,0.0,0.0,0.0,100.0
2022-12,2022-12-04,0,0.0,0.0,0.0,0.0,100.0
2022-12,2022-12-05,0,0.0,0.0,0.0,0.0,100.0
2022-12,2022-12-06,0,0.0,0.0,0.0,0.0,100.0
2022-12,2022-12-07,0,0.0,0.0,0.0,0.0,100.0
2022-12,2022-12-08,0,0.0,0.0,0.0,0.0,100.0
2022-12,2022-12-09,0,0.0,0.0,0.0,0.0,100.0
2022-12,2022-12-10,0,0.0,0.0,0.0,0.0,100.0
2022-12,2022-12-11,1,0.11,-0.11,-0.11,0.11,99.89
2022-12,2022-12-12,0,0.0,0.0,-0.11,0.11,100.0
2022-12,2022-12-13,0,0.0,0.0,-0.11,0.11,100.0
2022-12,2022-12-14,0,0.0,0.0,-0.11,0.11,100.0
2022-12,2022-12-15,0,0.0,0.0,-0.11,0.11,100.0
2022-12,2022-12-16,0,0.0,0.0,-0.11,0.11,100.0
2022-12,2022-12-17,0,0.0,0.0,-0.11,0.11,100.0
2022-12,2022-12-18,0,0.0,0.0,-0.11,0.11,100.0
2022-12,2022-12-19,0,0.0,0.0,-0.11,0.11,100.0
2022-12,2022-12-20,0,0.0,0.0,-0.11,0.11,100.0
2022-12,2022-12-21,0,0.0,0.0,-0.11,0.11,100.0
2022-12,2022-12-22,0,0.0,0.0,-0.11,0.11,100.0
2022-12,2022-12-23,0,0.0,0.0,-0.11,0.11,100.0
2022-12,2022-12-24,0,0.0,0.0,-0.11,0.11,100.0
2022-12,2022-12-25,0,0.0,0.0,-0.11,0.11,100.0
2022-12,2022-12-26,0,0.0,0.0,-0.11,0.11,100.0
2022-12,2022-12-27,0,0.0,0.0,-0.11,0.11,100.0
2022-12,2022-12-28,0,0.0,0.0,-0.11,0.11,100.0
2022-12,2022-12-29,0,0.0,0.0,-0.11,0.11,100.0
2022-12,2022-12-30,0,0.0,0.0,-0.11,0.11,100.0
2022-12,2022-12-31,0,0.0,0.0,-0.11,0.11,100.0
2023-01,2023-01-01,1,0.11,-0.11,-0.11,0.11,99.89
2023-01,2023-01-02,0,0.0,0.0,-0.11,0.11,100.0
2023-01,2023-01-03,0,0.0,0.0,-0.11,0.11,100.0
2023-01,2023-01-04,0,0.0,0.0,-0.11,0.11,100.0
2023-01,2023-01-05,0,0.0,0.0,-0.11,0.11,100.0
2023-01,2023-01-06,0,0.0,0.0,-0.11,0.11,100.0
2023-01,2023-01-07,0,0.0,0.0,-0.11,0.11,100.0
2023-01,2023-01-08,0,0.0,0.0,-0.11,0.11,100.0
2023-01,2023-01-09,0,0.0,0.0,-0.11,0.11,100.0
2023-01,2023-01-10,0,0.0,0.0,-0.11,0.11,100.0
2023-01,2023-01-11,0,0.0,0.0,-0.11,0.11,100.0
2023-01,2023-01-12,0,0.0,0.0,-0.11,0.11,100.0
2023-01,2023-01-13,0,0.0,0.0,-0.11,0.11,100.0
2023-01,2023-01-14,0,0.0,0.0,-0.11,0.11,100.0
2023-01,2023-01-15,2,0.33,-0.33,-0.44,0.44,99.67
2023-01,2023-01-16,0,0.0,0.0,-0.44,0.44,100.0
2023-01,2023-01-17,1,0.11,-0.11,-0.55,0.55,99.89
2023-01,2023-01-18,0,0.0,0.0,-0.55,0.55,100.0
2023-01,2023-01-19,0,0.0,0.0,-0.55,0.55,100.0
2023-01,2023-01-20,0,0.0,0.0,-0.55,0.55,100.0
2023-01,2023-01-21,0,0.0,0.0,-0.55,0.55,100.0
2023-01,2023-01-22,0,0.0,0.0,-0.55,0.55,100.0
2023-01,2023-01-23,0,0.0,0.0,-0.55,0.55,100.0
2023-01,2023-01-24,0,0.0,0.0,-0.55,0.55,100.0
2023-01,2023-01-25,0,0.0,0.0,-0.55,0.55,100.0
2023-01,2023-01-26,0,0.0,0.0,-0.55,0.55,100.0
2023-01,2023-01-27,0,0.0,0.0,-0.55,0.55,100.0
2023-01,2023-01-28,1,0.13,0.42,-0.13,0.13,99.87
2023-01,2023-01-29,0,0.0,0.0,-0.13,0.13,100.0
2023-01,2023-01-30,0,0.0,0.0,-0.13,0.13,100.0
2023-01,2023-01-31,0,0.0,0.0,-0.13,0.13,100.0
2023-02,2023-02-01,0,0.0,0.0,0.0,0.0,100.0
2023-02,2023-02-02,0,0.0,0.0,0.0,0.0,100.0
2023-02,2023-02-03,0,0.0,0.0,0.0,0.0,100.0
2023-02,2023-02-04,0,0.0,0.0,0.0,0.0,100.0
2023-02,2023-02-05,0,0.0,0.0,0.0,0.0,100.0
2023-02,2023-02-06,0,0.0,0.0,0.0,0.0,100.0
2023-02,2023-02-07,0,0.0,0.0,0.0,0.0,100.0
2023-02,2023-02-08,0,0.0,0.0,0.0,0.0,100.0
2023-02,2023-02-09,0,0.0,0.0,0.0,0.0,100.0
2023-02,2023-02-10,0,0.0,0.0,0.0,0.0,100.0
2023-02,2023-02-11,1,0.12,-0.12,-0.12,0.12,99.88
2023-02,2023-02-12,0,0.0,0.0,-0.12,0.12,100.0
2023-02,2023-02-13,0,0.0,0.0,-0.12,0.12,100.0
2023-02,2023-02-14,0,0.0,0.0,-0.12,0.12,100.0
2023-02,2023-02-15,0,0.0,0.0,-0.12,0.12,100.0
2023-02,2023-02-16,0,0.0,0.0,-0.12,0.12,100.0
2023-02,2023-02-17,0,0.0,0.0,-0.12,0.12,100.0
2023-02,2023-02-18,0,0.0,0.0,-0.12,0.12,100.0
2023-02,2023-02-19,1,0.11,-0.11,-0.23,0.23,99.89
2023-02,2023-02-20,1,0.12,-0.12,-0.35,0.35,99.88
2023-02,2023-02-21,1,0.27,-0.27,-0.62,0.62,99.73
2023-02,2023-02-22,0,0.0,0.0,-0.62,0.62,100.0
2023-02,2023-02-23,0,0.0,0.0,-0.62,0.62,100.0
2023-02,2023-02-24,0,0.0,0.0,-0.62,0.62,100.0
2023-02,2023-02-25,1,0.1,-0.1,-0.72,0.72,99.9
2023-02,2023-02-26,0,0.0,0.0,-0.72,0.72,100.0
2023-02,2023-02-27,1,0.19,-0.19,-0.91,0.91,99.81
2023-02,2023-02-28,2,0.25,0.88,-0.03,0.03,99.75
2023-03,2023-03-01,0,0.0,0.0,0.0,0.0,100.0
2023-03,2023-03-02,0,0.0,0.0,0.0,0.0,100.0
2023-03,2023-03-03,0,0.0,0.0,0.0,0.0,100.0
2023-03,2023-03-04,1,0.1,-0.1,-0.1,0.1,99.9
2023-03,2023-03-05,0,0.0,0.0,-0.1,0.1,100.0
2023-03,2023-03-06,0,0.0,0.0,-0.1,0.1,100.0
2023-03,2023-03-07,0,0.0,0.0,-0.1,0.1,100.0
2023-03,2023-03-08,0,0.0,0.0,-0.1,0.1,100.0
2023-03,2023-03-09,0,0.0,0.0,-0.1,0.1,100.0
2023-03,2023-03-10,0,0.0,0.0,-0.1,0.1,100.0
2023-03,2023-03-11,0,0.0,0.0,-0.1,0.1,100.0
2023-03,2023-03-12,0,0.0,0.0,-0.1,0.1,100.0
2023-03,2023-03-13,0,0.0,0.0,-0.1,0.1,100.0
2023-03,2023-03-14,0,0.0,0.0,-0.1,0.1,100.0
2023-03,2023-03-15,0,0.0,0.0,-0.1,0.1,100.0
2023-03,2023-03-16,0,0.0,0.0,-0.1,0.1,100.0
2023-03,2023-03-17,0,0.0,0.0,-0.1,0.1,100.0
2023-03,2023-03-18,1,0.11,-0.11,-0.21,0.21,99.89
2023-03,2023-03-19,0,0.0,0.0,-0.21,0.21,100.0
2023-03,2023-03-20,0,0.0,0.0,-0.21,0.21,100.0
2023-03,2023-03-21,0,0.0,0.0,-0.21,0.21,100.0
2023-03,2023-03-22,0,0.0,0.0,-0.21,0.21,100.0
2023-03,2023-03-23,0,0.0,0.0,-0.21,0.21,100.0
2023-03,2023-03-24,0,0.0,0.0,-0.21,0.21,100.0
2023-03,2023-03-25,0,0.0,0.0,-0.21,0.21,100.0
2023-03,2023-03-26,2,0.47,-0.47,-0.68,0.68,99.53
2023-03,2023-03-27,0,0.0,0.0,-0.68,0.68,100.0
2023-03,2023-03-28,0,0.0,0.0,-0.68,0.68,100.0
2023-03,2023-03-29,0,0.0,0.0,-0.68,0.68,100.0
2023-03,2023-03-30,0,0.0,0.0,-0.68,0.68,100.0
2023-03,2023-03-31,1,0.37,0.34,-0.34,0.34,99.63
2023-04,2023-04-01,1,0.4,0.65,0.65,0.0,99.6
2023-04,2023-04-02,0,0.0,0.0,0.65,0.0,100.0
2023-04,2023-04-03,0,0.0,0.0,0.65,0.0,100.0
2023-04,2023-04-04,0,0.0,0.0,0.65,0.0,100.0
2023-04,2023-04-05,0,0.0,0.0,0.65,0.0,100.0
2023-04,2023-04-06,0,0.0,0.0,0.65,0.0,100.0
2023-04,2023-04-07,0,0.0,0.0,0.65,0.0,100.0
