date,bets,staked,profit,month
2023-01-14,0,0.0,0.0,2023-01
2023-01-15,0,0.0,0.0,2023-01
2023-01-16,0,0.0,0.0,2023-01
2023-01-17,0,0.0,0.0,2023-01
2023-01-18,0,0.0,0.0,2023-01
2023-01-19,0,0.0,0.0,2023-01
2023-01-20,0,0.0,0.0,2023-01
2023-02-05,0,0.0,0.0,2023-02
2023-04-29,0,0.0,0.0,2023-04
2023-05-06,0,0.0,0.0,2023-05
2023-08-18,0,0.0,0.0,2023-08
2023-08-19,0,0.0,0.0,2023-08
2023-08-20,0,0.0,0.0,2023-08
2023-08-21,0,0.0,0.0,2023-08
2023-08-22,0,0.0,0.0,2023-08
2023-08-23,0,0.0,0.0,2023-08
2023-08-24,0,0.0,0.0,2023-08
2023-08-25,0,0.0,0.0,2023-08
2024-04-20,0,0.0,0.0,2024-04
2024-04-21,0,0.0,0.0,2024-04
2024-04-22,0,0.0,0.0,2024-04
2024-04-23,0,0.0,0.0,2024-04
2024-04-24,1,1.0,-1.0,2024-04
2024-04-25,0,0.0,0.0,2024-04
2024-04-26,0,0.0,0.0,2024-04
2024-04-27,0,0.0,0.0,2024-04
2024-08-18,1,1.0,1.88,2024-08
2025-01-24,1,1.0,-1.0,2025-01
2025-02-08,1,1.0,-1.0,2025-02
2025-03-01,1,1.0,2.0,2025-03
2025-03-02,0,0.0,0.0,2025-03
2025-03-03,0,0.0,0.0,2025-03
2025-03-04,0,0.0,0.0,2025-03
2025-03-05,0,0.0,0.0,2025-03
2025-03-06,0,0.0,0.0,2025-03
2025-03-07,0,0.0,0.0,2025-03
2025-03-08,0,0.0,0.0,2025-03
2025-03-09,0,0.0,0.0,2025-03
2025-03-10,0,0.0,0.0,2025-03
2025-03-11,0,0.0,0.0,2025-03
2025-03-12,0,0.0,0.0,2025-03
2025-03-13,0,0.0,0.0,2025-03
2025-03-14,0,0.0,0.0,2025-03
2025-03-15,0,0.0,0.0,2025-03
2025-03-16,0,0.0,0.0,2025-03
2025-03-17,0,0.0,0.0,2025-03
2025-03-18,0,0.0,0.0,2025-03
2025-03-19,0,0.0,0.0,2025-03
2025-03-20,0,0.0,0.0,2025-03
2025-03-21,0,0.0,0.0,2025-03
2025-03-22,0,0.0,0.0,2025-03
2025-03-23,0,0.0,0.0,2025-03
2025-03-24,0,0.0,0.0,2025-03
2025-03-25,0,0.0,0.0,2025-03
2025-03-26,0,0.0,0.0,2025-03
2025-03-27,0,0.0,0.0,2025-03
2025-03-28,0,0.0,0.0,2025-03
2025-03-29,1,1.0,-1.0,2025-03
2025-05-05,0,0.0,0.0,2025-05
2025-08-24,0,0.0,0.0,2025-08
2025-08-25,0,0.0,0.0,2025-08
2025-08-26,0,0.0,0.0,2025-08
2025-08-27,0,0.0,0.0,2025-08
2025-08-28,0,0.0,0.0,2025-08
2025-08-29,0,0.0,0.0,2025-08
2025-08-30,0,0.0,0.0,2025-08
2025-08-31,0,0.0,0.0,2025-08
2026-01-18,1,1.0,-1.0,2026-01
