window_start,window_end,bets,staked,profit,roi_pct,max_drawdown,positive_months,negative_months,passes_window
2016-01,2016-12,0,0.0,0.0,0.0,0.0,0,0,False
2016-07,2017-06,0,0.0,0.0,0.0,0.0,0,0,False
2017-01,2017-12,7,70.0,-5.2,-7.43,40.0,2,3,False
2017-07,2018-06,17,170.0,29.8,17.53,40.0,4,4,False
2018-01,2018-12,18,180.0,51.9,28.83,30.0,5,3,False
2018-07,2019-06,12,120.0,9.8,8.17,60.0,4,3,False
2019-01,2019-12,12,120.0,45.9,38.25,30.0,5,2,False
2019-07,2020-06,13,130.0,35.0,26.92,30.0,5,3,False
2020-01,2020-12,19,190.0,-20.6,-10.84,50.0,4,4,False
2020-07,2021-06,33,330.0,65.3,19.79,47.8,6,3,True
2021-01,2021-12,33,330.0,64.4,19.52,47.8,5,4,True
2021-07,2022-06,26,260.0,79.8,30.69,41.4,5,4,True
2022-01,2022-12,22,220.0,119.9,54.5,60.0,6,3,True
2022-07,2023-06,24,240.0,28.7,11.96,60.0,5,4,False
2023-01,2023-12,32,320.0,76.3,23.84,40.0,7,3,True
2023-07,2024-06,36,360.0,33.1,9.19,70.0,6,4,False
2024-01,2024-12,29,290.0,45.3,15.62,80.0,5,5,False
2024-07,2025-06,18,180.0,57.0,31.67,50.0,5,4,False
2025-01,2025-12,23,230.0,41.8,18.17,90.0,3,4,False
2025-07,2026-06,27,270.0,108.2,40.07,40.0,4,3,True
