month,train_window,status,training_candidates,bets,active_days,staked,profit,roi_pct,available_capacity,test_candidates,alpha,safety_margin,maximum_odds,validation_rmse_pct,average_closing_edge_pct,positive_clv_rate,outcome_counts
2021-09,2020-12-01..2021-08-31,ABSTAIN_INNER_VALIDATION,450,0,0,0.0,0.0,0.0,3000.0,,,,,,,,
2021-10,2021-01-01..2021-09-30,ABSTAIN_INNER_VALIDATION,902,0,0,0.0,0.0,0.0,3100.0,,,,,,,,
2021-11,2021-02-01..2021-10-31,ABSTAIN_INNER_VALIDATION,1470,0,0,0.0,0.0,0.0,3000.0,,,,,,,,
2021-12,2021-03-01..2021-11-30,FROZEN_MODEL_EVALUATED,1922,10,7,3.93,-0.83,-21.12,3100.0,508.0,10.0,0.25,5.0,0.0205,3.9717,0.7,"{'home': 6, 'draw': 2, 'away': 2}"
2022-01,2021-04-01..2021-12-31,FROZEN_MODEL_EVALUATED,2430,4,4,0.87,0.7,80.46,3100.0,451.0,10.0,0.25,5.0,0.0205,12.9222,0.75,"{'away': 2, 'home': 2}"
2022-02,2021-05-01..2022-01-31,FROZEN_MODEL_EVALUATED,2881,23,11,11.61,1.16,9.99,2800.0,647.0,100.0,0.0,5.0,0.0218,7.2854,0.7391,"{'draw': 7, 'home': 11, 'away': 5}"
2022-03,2021-06-01..2022-02-28,FROZEN_MODEL_EVALUATED,3528,23,10,9.8,5.87,59.9,3100.0,491.0,100.0,0.25,5.0,0.0222,10.9614,0.7826,"{'home': 13, 'away': 9, 'draw': 1}"
2022-04,2021-07-01..2022-03-31,FROZEN_MODEL_EVALUATED,4019,9,5,5.87,5.68,96.76,3000.0,677.0,100.0,0.5,5.0,0.0228,14.524,0.8889,"{'home': 6, 'away': 3}"
2022-05,2021-08-01..2022-04-30,FROZEN_MODEL_EVALUATED,4659,5,3,2.9,-0.77,-26.55,3100.0,345.0,100.0,0.5,5.0,0.0232,4.5869,0.6,"{'home': 3, 'away': 2}"
2022-08,2021-11-01..2022-07-31,ABSTAIN_INNER_VALIDATION,3635,0,0,0.0,0.0,0.0,3100.0,,,,,,,,
2022-09,2021-12-01..2022-08-31,ABSTAIN_INNER_VALIDATION,3752,0,0,0.0,0.0,0.0,3000.0,,,,,,,,
2022-10,2022-01-01..2022-09-30,FROZEN_MODEL_EVALUATED,3667,13,11,4.03,2.6,64.52,3100.0,734.0,10.0,0.0,5.0,0.0233,6.4784,0.8462,"{'away': 5, 'home': 5, 'draw': 3}"
2022-11,2022-02-01..2022-10-31,FROZEN_MODEL_EVALUATED,3950,2,2,0.28,-0.28,-100.0,3000.0,340.0,10.0,0.25,5.0,0.0222,-0.2307,0.5,{'home': 2}
2022-12,2022-03-01..2022-11-30,FROZEN_MODEL_EVALUATED,3643,0,0,0.0,0.0,0.0,3100.0,259.0,10.0,0.25,5.0,0.0212,,,{}
2023-01,2022-04-01..2022-12-31,FROZEN_MODEL_EVALUATED,3411,5,5,0.77,0.25,32.47,3100.0,500.0,1.0,0.0,5.0,0.0211,4.1944,0.6,"{'away': 3, 'home': 2}"
2023-02,2022-05-01..2023-01-31,FROZEN_MODEL_EVALUATED,3234,12,10,1.68,0.18,10.71,2800.0,560.0,1.0,0.0,5.0,0.0214,3.1439,0.4167,"{'away': 5, 'draw': 2, 'home': 5}"
2023-03,2022-06-01..2023-02-28,FROZEN_MODEL_EVALUATED,3449,8,5,1.76,-0.78,-44.32,3100.0,437.0,100.0,0.0,5.0,0.0205,-1.4232,0.5,"{'away': 5, 'draw': 2, 'home': 1}"
2023-04,2022-07-01..2023-03-31,FROZEN_MODEL_EVALUATED,3886,12,10,3.56,1.35,37.92,3000.0,656.0,10.0,0.0,5.0,0.0201,6.3686,0.8333,"{'home': 6, 'away': 4, 'draw': 2}"
2023-05,2022-08-01..2023-04-30,FROZEN_MODEL_EVALUATED,4478,3,3,1.18,0.39,33.05,3100.0,431.0,100.0,0.25,5.0,0.0203,2.5907,0.6667,"{'draw': 1, 'home': 2}"
2023-08,2022-11-01..2023-07-31,ABSTAIN_INNER_VALIDATION,3239,0,0,0.0,0.0,0.0,3100.0,,,,,,,,
2023-09,2022-12-01..2023-08-31,ABSTAIN_INNER_VALIDATION,3287,0,0,0.0,0.0,0.0,3000.0,,,,,,,,
2023-10,2023-01-01..2023-09-30,ABSTAIN_INNER_VALIDATION,3564,0,0,0.0,0.0,0.0,3100.0,,,,,,,,
2023-11,2023-02-01..2023-10-31,ABSTAIN_INNER_VALIDATION,3548,0,0,0.0,0.0,0.0,3000.0,,,,,,,,
2023-12,2023-03-01..2023-11-30,FROZEN_MODEL_EVALUATED,3359,2,1,2.0,1.22,61.0,3100.0,576.0,10.0,0.0,5.0,0.0198,0.7175,0.5,{'home': 2}
2024-01,2023-04-01..2023-12-31,ABSTAIN_INNER_VALIDATION,3498,0,0,0.0,0.0,0.0,3100.0,,,,,,,,
2024-02,2023-05-01..2024-01-31,FROZEN_MODEL_EVALUATED,3236,3,3,0.38,0.75,197.37,2900.0,496.0,100.0,0.0,5.0,0.0208,7.657,0.6667,"{'home': 2, 'away': 1}"
2024-03,2023-06-01..2024-02-29,ABSTAIN_INNER_VALIDATION,3301,0,0,0.0,0.0,0.0,3100.0,,,,,,,,
2024-04,2023-07-01..2024-03-31,ABSTAIN_INNER_VALIDATION,3705,0,0,0.0,0.0,0.0,3000.0,,,,,,,,
2024-05,2023-08-01..2024-04-30,ABSTAIN_INNER_VALIDATION,4249,0,0,0.0,0.0,0.0,3100.0,,,,,,,,
2024-08,2023-11-01..2024-07-31,ABSTAIN_INNER_VALIDATION,3106,0,0,0.0,0.0,0.0,3100.0,,,,,,,,
2024-09,2023-12-01..2024-08-31,ABSTAIN_INNER_VALIDATION,3134,0,0,0.0,0.0,0.0,3000.0,,,,,,,,
2024-10,2024-01-01..2024-09-30,ABSTAIN_INNER_VALIDATION,3041,0,0,0.0,0.0,0.0,3100.0,,,,,,,,
2024-11,2024-02-01..2024-10-31,FROZEN_MODEL_EVALUATED,3128,1,1,0.13,0.25,192.31,3000.0,463.0,100.0,0.5,5.0,0.028,3.4335,1.0,{'draw': 1}
2024-12,2024-03-01..2024-11-30,FROZEN_MODEL_EVALUATED,3095,4,2,1.39,4.63,333.09,3100.0,540.0,100.0,0.0,5.0,0.0228,24.9322,0.75,"{'draw': 1, 'away': 2, 'home': 1}"
2025-01,2024-04-01..2024-12-31,FROZEN_MODEL_EVALUATED,3187,13,11,1.71,0.48,28.07,3100.0,499.0,100.0,0.0,5.0,0.0226,1.3085,0.7692,"{'home': 3, 'draw': 8, 'away': 2}"
2025-02,2024-05-01..2025-01-31,FROZEN_MODEL_EVALUATED,3130,24,11,4.09,2.16,52.81,2800.0,519.0,100.0,0.0,5.0,0.0217,4.2529,0.9167,"{'away': 2, 'draw': 19, 'home': 3}"
