month,decision,reason,prior_candidates,candidate_count,selected,mean_predicted_ev
2022-08,INVEST,,412.0,30.0,9.0,0.1645
2022-09,INVEST,,442.0,35.0,6.0,0.1159
2022-10,INVEST,,477.0,59.0,10.0,0.1016
2022-11,INVEST,,536.0,31.0,4.0,0.0724
2022-12,INVEST,,567.0,46.0,9.0,0.1272
2023-01,INVEST,,613.0,32.0,10.0,0.1463
2023-02,INVEST,,645.0,50.0,10.0,0.1314
2023-03,INVEST,,695.0,40.0,9.0,0.1506
2023-04,INVEST,,735.0,56.0,12.0,0.1296
2023-05,INVEST,,791.0,42.0,10.0,0.1283
2023-06,INVEST,,833.0,1.0,1.0,0.0923
2023-07,ABSTAIN,no_candidates,,,,
2023-08,INVEST,,834.0,26.0,9.0,0.1577
2023-09,INVEST,,860.0,52.0,12.0,0.1588
2023-10,INVEST,,912.0,42.0,11.0,0.1625
2023-11,INVEST,,954.0,35.0,10.0,0.1783
2023-12,INVEST,,989.0,56.0,14.0,0.1585
2024-01,INVEST,,1045.0,38.0,12.0,0.1279
2024-02,INVEST,,1083.0,51.0,14.0,0.1381
2024-03,INVEST,,1111.0,35.0,8.0,0.1272
2024-04,INVEST,,1094.0,43.0,11.0,0.1093
2024-05,INVEST,,1087.0,38.0,9.0,0.1233
2024-06,ABSTAIN,no_candidates,,,,
2024-07,ABSTAIN,no_candidates,,,,
2024-08,INVEST,,1019.0,39.0,9.0,0.1758
2024-09,INVEST,,995.0,45.0,11.0,0.1719
2024-10,INVEST,,994.0,41.0,12.0,0.1601
2024-11,INVEST,,979.0,39.0,9.0,0.183
2024-12,INVEST,,1002.0,50.0,11.0,0.1967
2025-01,INVEST,,1052.0,34.0,10.0,0.1698
2025-02,INVEST,,1086.0,49.0,14.0,0.1666
2025-03,INVEST,,1105.0,44.0,12.0,0.1666
2025-04,INVEST,,1114.0,37.0,14.0,0.1354
2025-05,INVEST,,1092.0,47.0,10.0,0.1245
2025-06,ABSTAIN,no_candidates,,,,
2025-07,ABSTAIN,no_candidates,,,,
2025-08,INVEST,,1030.0,25.0,8.0,0.1345
2025-09,INVEST,,1005.0,43.0,11.0,0.1405
2025-10,INVEST,,1008.0,44.0,10.0,0.178
2025-11,INVEST,,996.0,48.0,12.0,0.1661
2025-12,INVEST,,1002.0,39.0,11.0,0.1493
2026-01,INVEST,,1040.0,36.0,11.0,0.1501
2026-02,INVEST,,1076.0,51.0,13.0,0.1554
2026-03,INVEST,,1101.0,49.0,13.0,0.1547
2026-04,INVEST,,1098.0,37.0,13.0,0.1231
2026-05,INVEST,,1093.0,16.0,9.0,0.083
